date,office,district,race_type,county,party,special,path
2013-01-08,state_house,59,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20House%2059%20Certification%201%2010%202013.pdf
2013-01-15,state_senate,16,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20Senate%2016%20Certification%201%2017%202013.pdf
2013-02-05,state_senate,28,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20Senate%2028%20Certification%202%207%202013.pdf
2013-02-26,state_senate,28,general runoff,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20Senate%2028%20RO%20Certification%202%2028%202013.pdf
2013-03-12,state_house,36,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20House%2036%20Certification%203%2019%202013.pdf
2013-04-02,state_house,36,general runoff,,,1,http://www.sos.ms.gov/links/elections/2013/SE%20House%2036%20RO%20Certification%204%202013.pdf
2013-03-26,state_house,11,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE13%20House%2011%20Results.pdf
2013-04-16,state_house,11,general runoff,,,1,http://www.sos.ms.gov/links/elections/2013/SE13%20House%2011%20Certification.pdf
2013-05-28,state_house,95,general,,,1,http://www.sos.ms.gov/links/elections/2013/SE13%20House%2095%20Results.pdf
2013-11-05,state_house,5,general,,,1,http://www.sos.ms.gov/links/elections/2013/House%205%20SE%20Recaps%2011%205%202013%20(Benton%20and%20Marshall).pdf
2013-11-05,state_house,55,general,,,1,http://www.sos.ms.gov/links/elections/2013/House%2055%20SE%20Recaps%2011%205%202013%20(Warren).pdf
2013-11-05,state_house,110,general,,,1,http://www.sos.ms.gov/links/elections/2013/House%20110%20SE%20Recaps%2011%205%202013%20(Jackson).pdf
2013-11-26,state_house,5,general runoff,,,1,http://www.sos.ms.gov/links/elections/2013/House%205%20SE%20RO%20Recaps%2011%2026%202013%20(Benton%20and%20Marshall).pdf
2013-11-26,state_house,110,general runoff,,,1,http://www.sos.ms.gov/links/elections/2013/House%20110%20SE%20RO%20Recaps%2011%2026%202013%20(Jackson).pdf
2012-11-06,,,general,Adams,,,http://www.sos.ms.gov/elections/electionresults/2012General/county%20Recaps/Adams.pdf
2012-11-06,,,general,Alcorn,,,http://www.sos.ms.gov/elections/electionresults/2012General/county%20Recaps/Alcorn.pdf
2012-11-06,,,general,Amite,,,http://www.sos.ms.gov/elections/electionresults/2012General/county%20Recaps/Amite.pdf
2012-11-06,,,general,Attala,,,http://www.sos.ms.gov/elections/electionresults/2012General/county%20Recaps/Attala.pdf
