candidate,office,district,county,Looxahoma,Senatobia 1,Senatobia 3,Senatobia 4,Thyatira,Tyro,Wyatte,Total,Pct
Mashall Bartlett,State House,11,Tate,28,118,1,12,0,14,16,189,41.81
Anderson Boothe,State House,11,Tate,7,12,2,0,0,3,0,24,5.31
Lataisha M. Jackson,State House,11,Tate,22,18,10,4,1,21,9,85,18.81
Ederic L. Kerney,State House,11,Tate,27,37,46,2,1,23,18,154,34.07
