candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Benton,Ashland District 3,384,
Mitt Romney,President,,Republican,Benton,Ashland District 3,441,
Virgil Goode,President,,Constitution,Benton,Ashland District 3,1,
Gary Johnson,President,,Libertarian,Benton,Ashland District 3,1,
Jill Stein,President,,Green,Benton,Ashland District 3,1,
Barbara Dale Washer,President,,Reform,Benton,Ashland District 3,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Benton,Ashland District 3,342,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Ashland District 3,427,
Thomas Cramer,U.S. Senate,,Constitution,Benton,Ashland District 3,13,
Shawn O'Hara,U.S. Senate,,Reform,Benton,Ashland District 3,10,
Brad Morris,U.S. House,1,Democrat,Benton,Ashland District 3,330,
Alan Nunnelee,U.S. House,1,Republican,Benton,Ashland District 3,405,
Danny Bedwell,U.S. House,1,Libertarian,Benton,Ashland District 3,17,
Jim R. Bourland,U.S. House,1,Constitution,Benton,Ashland District 3,8,
Chris Potts,U.S. House,1,Reform,Benton,Ashland District 3,8,
Barack Obama,President,,Democrat,Benton,Canaan District 1,581,
Mitt Romney,President,,Republican,Benton,Canaan District 1,280,
Virgil Goode,President,,Constitution,Benton,Canaan District 1,1,
Gary Johnson,President,,Libertarian,Benton,Canaan District 1,0,
Jill Stein,President,,Green,Benton,Canaan District 1,0,
Barbara Dale Washer,President,,Reform,Benton,Canaan District 1,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Benton,Canaan District 1,503,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Canaan District 1,283,
Thomas Cramer,U.S. Senate,,Constitution,Benton,Canaan District 1,14,
Shawn O'Hara,U.S. Senate,,Reform,Benton,Canaan District 1,12,
Brad Morris,U.S. House,1,Democrat,Benton,Canaan District 1,479,
Alan Nunnelee,U.S. House,1,Republican,Benton,Canaan District 1,281,
Danny Bedwell,U.S. House,1,Libertarian,Benton,Canaan District 1,6,
Jim R. Bourland,U.S. House,1,Constitution,Benton,Canaan District 1,12,
Chris Potts,U.S. House,1,Reform,Benton,Canaan District 1,14,
Barack Obama,President,,Democrat,Benton,Floyd District 4,227,
Mitt Romney,President,,Republican,Benton,Floyd District 4,525,
Virgil Goode,President,,Constitution,Benton,Floyd District 4,1,
Gary Johnson,President,,Libertarian,Benton,Floyd District 4,3,
Jill Stein,President,,Green,Benton,Floyd District 4,3,
Barbara Dale Washer,President,,Reform,Benton,Floyd District 4,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Benton,Floyd District 4,231,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Floyd District 4,488,
Thomas Cramer,U.S. Senate,,Constitution,Benton,Floyd District 4,6,
Shawn O'Hara,U.S. Senate,,Reform,Benton,Floyd District 4,10,
Brad Morris,U.S. House,1,Democrat,Benton,Floyd District 4,218,
Alan Nunnelee,U.S. House,1,Republican,Benton,Floyd District 4,467,
Danny Bedwell,U.S. House,1,Libertarian,Benton,Floyd District 4,4,
Jim R. Bourland,U.S. House,1,Constitution,Benton,Floyd District 4,6,
Chris Potts,U.S. House,1,Reform,Benton,Floyd District 4,17,
Barack Obama,President,,Democrat,Benton,Hickory Flat District 5,179,
Mitt Romney,President,,Republican,Benton,Hickory Flat District 5,613,
Virgil Goode,President,,Constitution,Benton,Hickory Flat District 5,2,
Gary Johnson,President,,Libertarian,Benton,Hickory Flat District 5,5,
Jill Stein,President,,Green,Benton,Hickory Flat District 5,2,
Barbara Dale Washer,President,,Reform,Benton,Hickory Flat District 5,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Benton,Hickory Flat District 5,149,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Hickory Flat District 5,631,
Thomas Cramer,U.S. Senate,,Constitution,Benton,Hickory Flat District 5,2,
Shawn O'Hara,U.S. Senate,,Reform,Benton,Hickory Flat District 5,10,
Brad Morris,U.S. House,1,Democrat,Benton,Hickory Flat District 5,190,
Alan Nunnelee,U.S. House,1,Republican,Benton,Hickory Flat District 5,558,
Danny Bedwell,U.S. House,1,Libertarian,Benton,Hickory Flat District 5,5,
Jim R. Bourland,U.S. House,1,Constitution,Benton,Hickory Flat District 5,4,
Chris Potts,U.S. House,1,Reform,Benton,Hickory Flat District 5,9,
Barack Obama,President,,Democrat,Benton,Lamar District 2,680,
Mitt Romney,President,,Republican,Benton,Lamar District 2,182,
Virgil Goode,President,,Constitution,Benton,Lamar District 2,1,
Gary Johnson,President,,Libertarian,Benton,Lamar District 2,0,
Jill Stein,President,,Green,Benton,Lamar District 2,0,
Barbara Dale Washer,President,,Reform,Benton,Lamar District 2,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Benton,Lamar District 2,641,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Lamar District 2,181,
Thomas Cramer,U.S. Senate,,Constitution,Benton,Lamar District 2,11,
Shawn O'Hara,U.S. Senate,,Reform,Benton,Lamar District 2,5,
Brad Morris,U.S. House,1,Democrat,Benton,Lamar District 2,613,
Alan Nunnelee,U.S. House,1,Republican,Benton,Lamar District 2,180,
Danny Bedwell,U.S. House,1,Libertarian,Benton,Lamar District 2,6,
Jim R. Bourland,U.S. House,1,Constitution,Benton,Lamar District 2,3,
Chris Potts,U.S. House,1,Reform,Benton,Lamar District 2,8,
Barack Obama,President,,Democrat,Total,,2051,1
Mitt Romney,President,,Republican,Total,,2041,
Virgil Goode,President,,Constitution,Total,,6,
Gary Johnson,President,,Libertarian,Total,,9,
Jill Stein,President,,Green,Total,,6,
Barbara Dale Washer,President,,Reform,Total,,3,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Total,,1866,
Roger F. Wicker,U.S. Senate,,Republican,Total,,2010,1
Thomas Cramer,U.S. Senate,,Constitution,Total,,46,
Shawn O'Hara,U.S. Senate,,Reform,Total,,47,
Brad Morris,U.S. House,1,Democrat,Total,,1830,
Alan Nunnelee,U.S. House,1,Republican,Total,,1891,1
Danny Bedwell,U.S. House,1,Libertarian,Total,,38,
Jim R. Bourland,U.S. House,1,Constitution,Total,,33,
Chris Potts,U.S. House,1,Reform,Total,,56,
