candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 1/Harperville,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 1/Harperville,49,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 1/Harperville,43,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 1/Harperville,3,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Harperville,85,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,39,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,40,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 1/Hillsboro,6,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Hillsboro,69,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 1/North Forest,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 1/North Forest,34,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 1/North Forest,30,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 1/North Forest,0,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/North Forest,60,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 2/High Hill,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 2/High Hill,25,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 2/High Hill,27,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 2/High Hill,2,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/High Hill,50,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 2/Homewood,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 2/Homewood,34,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 2/Homewood,37,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 2/Homewood,1,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Homewood,64,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 2/Lake,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 2/Lake,24,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 2/Lake,35,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 2/Lake,5,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Lake,54,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 2/South Forest,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 2/South Forest,103,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 2/South Forest,58,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 2/South Forest,9,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/South Forest,144,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 2/Usry,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 2/Usry,42,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 2/Usry,33,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 2/Usry,0,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Usry,71,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 3/Cooperville,3,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 3/Cooperville,37,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 3/Cooperville,51,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 3/Cooperville,8,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Cooperville,77,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,113,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,112,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 3/Eastwest Morton,13,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Eastwest Morton,206,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,26,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,25,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 3/Northwest Forest,0,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Northwest Forest,47,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 3/Pulaski,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 3/Pulaski,28,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 3/Pulaski,42,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 3/Pulaski,4,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Pulaski,69,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 3/Springfield,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 3/Springfield,63,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 3/Springfield,46,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 3/Springfield,10,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Springfield,96,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/Clifton,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/Clifton,13,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/Clifton,9,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/Clifton,1,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/Clifton,22,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/Contrell,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/Contrell,19,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/Contrell,18,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/Contrell,6,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/Contrell,30,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/Forkville,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/Forkville,53,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/Forkville,52,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/Forkville,6,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/Forkville,96,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/Liberty,2,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/Liberty,79,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/Liberty,73,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/Liberty,4,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/Liberty,140,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/Ludlow,3,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/Ludlow,47,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/Ludlow,74,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/Ludlow,2,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/Ludlow,110,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 4/North Morton,2,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 4/North Morton,54,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 4/North Morton,31,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 4/North Morton,8,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 4/North Morton,77,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 5/Langs Mill,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 5/Langs Mill,44,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 5/Langs Mill,63,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 5/Langs Mill,7,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 5/Langs Mill,98,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 5/Northeast Forest,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 5/Northeast Forest,119,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 5/Northeast Forest,74,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 5/Northeast Forest,11,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 5/Northeast Forest,173,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 5/Salem,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 5/Salem,18,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 5/Salem,47,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 5/Salem,8,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 5/Salem,53,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 5/Sebastopol,1,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 5/Sebastopol,36,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 5/Sebastopol,57,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 5/Sebastopol,6,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 5/Sebastopol,84,
Thomas L. Carey,U.S. Senate,,Republican,Scott,Beat 5/Steele,0,
Thad Cochran,U.S. Senate,,Republican,Scott,Beat 5/Steele,36,
Chris McDaniel,U.S. Senate,,Republican,Scott,Beat 5/Steele,30,
Hardy Caraway,U.S. House,3,Republican,Scott,Beat 5/Steele,4,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 5/Steele,54,
Thomas L. Carey,U.S. Senate,,Republican,Scott,,19,
Thad Cochran,U.S. Senate,,Republican,Scott,,1135,TRUE
Chris McDaniel,U.S. Senate,,Republican,Scott,,1107,
Hardy Caraway,U.S. House,3,Republican,Scott,,124,
Gregg Harper,U.S. House,3,Republican,Scott,,2029,TRUE
