candidate,office,district,party,county,precinct,votes,winner
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Strayhorn 1,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Strayhorn 1,4,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Strayhorn 1,2,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Strayhorn 2,5,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Strayhorn 2,0,
Bill Marcy,U.S. Senate,,Democrat,Tate,Strayhorn 2,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Strayhorn 2,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Strayhorn 2,3,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Strayhorn 2,1,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Taylor,35,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Taylor,3,
Bill Marcy,U.S. Senate,,Democrat,Tate,Taylor,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Taylor,1,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Taylor,21,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Taylor,14,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Thyatira,10,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Thyatira,1,
Bill Marcy,U.S. Senate,,Democrat,Tate,Thyatira,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Thyatira,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Thyatira,6,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Thyatira,5,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Tyro,39,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Tyro,4,
Bill Marcy,U.S. Senate,,Democrat,Tate,Tyro,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Tyro,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Tyro,27,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Tyro,12,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Wyatte,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Wyatte,0,
Bill Marcy,U.S. Senate,,Democrat,Tate,Wyatte,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Wyatte,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Wyatte,5,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Wyatte,1,
Travis W. Childers,U.S. Senate,,Democrat,Tate,,503,TRUE
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,,45,
Bill Marcy,U.S. Senate,,Democrat,Tate,,29,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,,10,
Ron E. Dickey,U.S. House,1,Democrat,Tate,,355,TRUE
Rex N. Weathers,U.S. House,1,Democrat,Tate,,155,
