candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,2,112,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,2,36,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,2,44,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,2,7,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,2,5,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,2,237,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,1-A,19,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,1-A,5,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,1-A,7,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,1-A,0,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,1-A,0,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,1-A,38,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,1-B,60,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,1-B,18,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,1-B,35,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,1-B,1,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,1-B,2,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,1-B,131,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,1-C,50,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,1-C,12,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,1-C,19,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,1-C,4,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,1-C,1,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,1-C,93,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,3-A,100,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,3-A,21,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,3-A,20,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,3-A,8,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,3-A,7,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,3-A,174,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,3-B,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,3-B,1,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,3-B,1,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,3-B,0,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,3-B,0,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,3-B,9,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,4-A,52,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,4-A,15,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,4-A,15,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,4-A,1,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,4-A,6,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,4-A,87,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,4-B,42,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,4-B,32,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,4-B,38,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,4-B,8,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,4-B,16,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,4-B,116,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,4-C,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,4-C,2,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,4-C,5,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,4-C,0,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,4-C,0,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,4-C,12,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,5-A,49,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,5-A,36,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,5-A,34,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,5-A,3,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,5-A,5,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,5-A,136,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,5-B,39,
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,5-B,22,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,5-B,23,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,5-B,9,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,5-B,2,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,5-B,105,
Travis W. Childers,U.S. Senate,,Democrat,Claiborne,,533,TRUE
William Bond Compton Jr.,U.S. Senate,,Democrat,Claiborne,,200,
Bill Marcy,U.S. Senate,,Democrat,Claiborne,,241,
Jonathan Rawl,U.S. Senate,,Democrat,Claiborne,,41,
Damien Fairconetue,U.S. House,2,Democrat,Claiborne,,44,
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,,1138,TRUE
