candidate,office,district,party,county,votes
Thad Cochran,U.S. Senate,,R,Adams,2071
Chris McDaniel,U.S. Senate,,R,Adams,1567
Thad Cochran,U.S. Senate,,R,Alcorn,1855
Chris McDaniel,U.S. Senate,,R,Alcorn,1842
Thad Cochran,U.S. Senate,,R,Amite,682
Chris McDaniel,U.S. Senate,,R,Amite,1263
Thad Cochran,U.S. Senate,,R,Attala,1064
Chris McDaniel,U.S. Senate,,R,Attala,1235
Thad Cochran,U.S. Senate,,R,Benton,262
Chris McDaniel,U.S. Senate,,R,Benton,404
Thad Cochran,U.S. Senate,,R,Bolivar,1996
Chris McDaniel,U.S. Senate,,R,Bolivar,761
Thad Cochran,U.S. Senate,,R,Calhoun,946
Chris McDaniel,U.S. Senate,,R,Calhoun,753
Thad Cochran,U.S. Senate,,R,Carroll,926
Chris McDaniel,U.S. Senate,,R,Carroll,829
Thad Cochran,U.S. Senate,,R,Chickasaw,855
Chris McDaniel,U.S. Senate,,R,Chickasaw,771
Thad Cochran,U.S. Senate,,R,Choctaw,654
Chris McDaniel,U.S. Senate,,R,Choctaw,643
Thad Cochran,U.S. Senate,,R,Clairborne,298
Chris McDaniel,U.S. Senate,,R,Clairborne,113
Thad Cochran,U.S. Senate,,R,Clarke,936
Chris McDaniel,U.S. Senate,,R,Clarke,1518
Thad Cochran,U.S. Senate,,R,Clay,1386
Chris McDaniel,U.S. Senate,,R,Clay,766
Thad Cochran,U.S. Senate,,R,Coahoma,1050
Chris McDaniel,U.S. Senate,,R,Coahoma,345
Thad Cochran,U.S. Senate,,R,Copiah,1841
Chris McDaniel,U.S. Senate,,R,Copiah,1479
Thad Cochran,U.S. Senate,,R,Covington,816
Chris McDaniel,U.S. Senate,,R,Covington,2120
Thad Cochran,U.S. Senate,,R,DeSoto,6014
Chris McDaniel,U.S. Senate,,R,DeSoto,13758
Thad Cochran,U.S. Senate,,R,Forrest,5666
Chris McDaniel,U.S. Senate,,R,Forrest,5847
Thad Cochran,U.S. Senate,,R,Franklin,634
Chris McDaniel,U.S. Senate,,R,Franklin,748
Thad Cochran,U.S. Senate,,R,George,967
