candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Washington,Arcola Technology Center,39,
Chris McDaniel,U.S. Senate,,Republican,Washington,Arcola Technology Center,24,
Thad Cochran,U.S. Senate,,Republican,Washington,Buster Brown Community Center,222,
Chris McDaniel,U.S. Senate,,Republican,Washington,Buster Brown Community Center,39,
Thad Cochran,U.S. Senate,,Republican,Washington,Covenant Presbyterian,406,
Chris McDaniel,U.S. Senate,,Republican,Washington,Covenant Presbyterian,140,
Thad Cochran,U.S. Senate,,Republican,Washington,Darlove,20,
Chris McDaniel,U.S. Senate,,Republican,Washington,Darlove,1,
Thad Cochran,U.S. Senate,,Republican,Washington,Elks Lodge,56,
Chris McDaniel,U.S. Senate,,Republican,Washington,Elks Lodge,9,
Thad Cochran,U.S. Senate,,Republican,Washington,Extension Building,20,
Chris McDaniel,U.S. Senate,,Republican,Washington,Extension Building,2,
Thad Cochran,U.S. Senate,,Republican,Washington,Glen Allen Library,122,
Chris McDaniel,U.S. Senate,,Republican,Washington,Glen Allen Library,45,
Thad Cochran,U.S. Senate,,Republican,Washington,Greenville Daycare Center,4,
Chris McDaniel,U.S. Senate,,Republican,Washington,Greenville Daycare Center,0,
Thad Cochran,U.S. Senate,,Republican,Washington,Greenville Industrial College,27,
Chris McDaniel,U.S. Senate,,Republican,Washington,Greenville Industrial College,4,
Thad Cochran,U.S. Senate,,Republican,Washington,Hollandale City Hall,179,
Chris McDaniel,U.S. Senate,,Republican,Washington,Hollandale City Hall,34,
Thad Cochran,U.S. Senate,,Republican,Washington,Lake Vista Masonic Lodge,101,
Chris McDaniel,U.S. Senate,,Republican,Washington,Lake Vista Masonic Lodge,47,
Thad Cochran,U.S. Senate,,Republican,Washington,Leland Health Department,219,
Chris McDaniel,U.S. Senate,,Republican,Washington,Leland Health Department,74,
Thad Cochran,U.S. Senate,,Republican,Washington,Leland Rotary Club,235,
Chris McDaniel,U.S. Senate,,Republican,Washington,Leland Rotary Club,65,
Thad Cochran,U.S. Senate,,Republican,Washington,Metcalfe Municipal Building,3,
Chris McDaniel,U.S. Senate,,Republican,Washington,Metcalfe Municipal Building,0,
Thad Cochran,U.S. Senate,,Republican,Washington,St. James Episcopal Church,260,
Chris McDaniel,U.S. Senate,,Republican,Washington,St. James Episcopal Church,114,
Thad Cochran,U.S. Senate,,Republican,Washington,Swiftwater Baptist Church,73,
Chris McDaniel,U.S. Senate,,Republican,Washington,Swiftwater Baptist Church,78,
Thad Cochran,U.S. Senate,,Republican,Washington,Tampa Drive,24,
Chris McDaniel,U.S. Senate,,Republican,Washington,Tampa Drive,11,
Thad Cochran,U.S. Senate,,Republican,Washington,Ward's Recreation Center,294,
Chris McDaniel,U.S. Senate,,Republican,Washington,Ward's Recreation Center,138,
Thad Cochran,U.S. Senate,,Republican,Washington,Washington County Convention Center,50,
Chris McDaniel,U.S. Senate,,Republican,Washington,Washington County Convention Center,29,
Thad Cochran,U.S. Senate,,Republican,Washington,,2354,TRUE
Chris McDaniel,U.S. Senate,,Republican,Washington,,854,
