candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,11-Inverness,2,
Thad Cochran,U.S. Senate,,Republican,Sunflower,11-Inverness,161,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,11-Inverness,48,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,12-Moorhead,1,
Thad Cochran,U.S. Senate,,Republican,Sunflower,12-Moorhead,46,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,12-Moorhead,13,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,13-Indianola #1 Southeast,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,13-Indianola #1 Southeast,0,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,13-Indianola #1 Southeast,0,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,22-Indianola #2 East,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,22-Indianola #2 East,68,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,22-Indianola #2 East,23,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,22-Indianola #2 West,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,22-Indianola #2 West,0,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,22-Indianola #2 West,0,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,31-Indianola #3 South,1,
Thad Cochran,U.S. Senate,,Republican,Sunflower,31-Indianola #3 South,171,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,31-Indianola #3 South,73,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,32-Indianola #3 North,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,32-Indianola #3 North,28,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,32-Indianola #3 North,21,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,33-Indianola #3 Northeast,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,33-Indianola #3 Northeast,65,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,33-Indianola #3 Northeast,43,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,41-Fairview-Hale,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,41-Fairview-Hale,22,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,41-Fairview-Hale,8,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,42-Boyer-Linn,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,42-Boyer-Linn,42,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,42-Boyer-Linn,20,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,43-Doddsville,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,43-Doddsville,7,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,43-Doddsville,2,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,44-Ruleville,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,44-Ruleville,20,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,44-Ruleville,10,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,45-Sunflower 4,1,
Thad Cochran,U.S. Senate,,Republican,Sunflower,45-Sunflower 4,25,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,45-Sunflower 4,9,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,51-Ruleville North,1,
Thad Cochran,U.S. Senate,,Republican,Sunflower,51-Ruleville North,35,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,51-Ruleville North,16,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,52-Sunflower Plantation,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,52-Sunflower Plantation,14,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,52-Sunflower Plantation,19,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,53-Rome,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,53-Rome,4,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,53-Rome,10,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,54-Drew,0,
Thad Cochran,U.S. Senate,,Republican,Sunflower,54-Drew,66,
Chris McDaniel,U.S. Senate,,Republican,Sunflower,54-Drew,44,
Thomas L. Carey,U.S. Senate,,Republican,Sunflower,,6,
Thad Cochran,U.S. Senate,,Republican,Sunflower,,774,TRUE
Chris McDaniel,U.S. Senate,,Republican,Sunflower,,359,
