candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Bowie,24,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Bowie,1,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Bowie,2,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Bowie,1,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Bowie,4,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Bowie,20,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Bowie,1,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Braxton,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Braxton,2,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Braxton,0,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Braxton,0,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Braxton,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Braxton,5,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Braxton,2,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Bridgeport,42,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Bridgeport,4,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Bridgeport,5,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Bridgeport,3,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Bridgeport,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Bridgeport,43,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Bridgeport,7,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,D'Lo,2,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,D'Lo,0,
Bill Marcy,U.S. Senate,,Democrat,Simpson,D'Lo,0,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,D'Lo,0,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,D'Lo,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,D'Lo,1,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,D'Lo,1,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Dry Creek,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Dry Creek,0,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Dry Creek,3,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Dry Creek,2,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Dry Creek,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Dry Creek,11,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Dry Creek,2,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Fork Church,36,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Fork Church,8,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Fork Church,3,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Fork Church,2,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Fork Church,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Fork Church,29,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Fork Church,16,
Travis W. Childers,U.S. Senate,,Democrat,Simpson,Harrisville,12,
William Bond Compton Jr.,U.S. Senate,,Democrat,Simpson,Harrisville,1,
Bill Marcy,U.S. Senate,,Democrat,Simpson,Harrisville,1,
Jonathan Rawl,U.S. Senate,,Democrat,Simpson,Harrisville,0,
Jim Lilijeberg,U.S. House,3,Democrat,Simpson,Harrisville,4,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Simpson,Harrisville,3,
Dennis C. Quinn,U.S. House,3,Democrat,Simpson,Harrisville,4,
