candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Benoit,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Benoit,26,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Benoit,15,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Beulah,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Beulah,4,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Beulah,0,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Boyle,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Boyle,131,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Boyle,64,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Choctaw,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Choctaw,4,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Choctaw,4,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Cleveland Courthouse,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Cleveland Courthouse,62,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Cleveland Courthouse,26,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Duncan-Alligator,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Duncan-Alligator,12,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Duncan-Alligator,18,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,East Central Cleveland,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,East Central Cleveland,0,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,East Central Cleveland,0,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,East Cleveland,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,East Cleveland,12,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,East Cleveland,0,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,East Rosedale,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,East Rosedale,13,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,East Rosedale,2,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Eastgate,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Eastgate,2,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Eastgate,4,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Gunnison,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Gunnison,12,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Gunnison,11,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Longshot,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Longshot,35,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Longshot,4,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Merigold,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Merigold,44,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Merigold,21,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Mound Bayou,1,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Mound Bayou,11,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Mound Bayou,6,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,North Cleveland,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,North Cleveland,21,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,North Cleveland,15,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,North West Cleveland,2,
Thad Cochran,U.S. Senate,,Republican,Bolivar,North West Cleveland,249,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,North West Cleveland,70,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Pace,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Pace,3,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Pace,12,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Renova,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Renova,7,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Renova,1,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Scott,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Scott,14,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Scott,8,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Shaw,1,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Shaw,25,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Shaw,31,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Shelby,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Shelby,20,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Shelby,6,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Skene,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,Skene,50,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,Skene,16,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,South Cleveland,0,
Thad Cochran,U.S. Senate,,Republican,Bolivar,South Cleveland,3,
Chris McDaniel,U.S. Senate,,Republican,Bolivar,South Cleveland,5,
Thomas L. Carey,U.S. Senate,,Republican,Bolivar,Stringtown,0,
