candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,3-1 West,88,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,3-1 West,11,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,3-1 West,0,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-1 West,106,,2
Troy Ray,U.S. House,2,Independent,Yazoo,3-1 West,1,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,3-1 West,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,3-2 West,164,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,3-2 West,79,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,3-2 West,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-2 West,211,,2
Troy Ray,U.S. House,2,Independent,Yazoo,3-2 West,27,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,3-2 West,18,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,3-4 South,71,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,3-4 South,100,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,3-4 South,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-4 South,88,,2
Troy Ray,U.S. House,2,Independent,Yazoo,3-4 South,55,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,3-4 South,20,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Benton,97,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Benton,222,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Benton,7,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Benton,131,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Benton,123,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Benton,46,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Center Ridge,37,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Center Ridge,200,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Center Ridge,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Center Ridge,65,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Center Ridge,115,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Center Ridge,31,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Deasonville,97,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Deasonville,145,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Deasonville,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Deasonville,135,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Deasonville,72,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Deasonville,21,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Dover,37,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Dover,112,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Dover,5,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Dover,49,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Dover,65,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Dover,27,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,East Bentonia,70,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,East Bentonia,100,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,East Bentonia,0,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,East Bentonia,91,,2
Troy Ray,U.S. House,2,Independent,Yazoo,East Bentonia,47,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,East Bentonia,19,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,East Midway,70,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,East Midway,41,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,East Midway,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,East Midway,78,,2
Troy Ray,U.S. House,2,Independent,Yazoo,East Midway,22,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,East Midway,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Eden,34,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Eden,94,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Eden,2,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Eden,44,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Eden,58,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Eden,15,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Free Run,11,,2
Thad Cochran,U.S. Senate,,Republican,Yazoo,Free Run,88,,2
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Free Run,0,,2
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Free Run,29,,2
Troy Ray,U.S. House,2,Independent,Yazoo,Free Run,46,,2
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Free Run,14,,2
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Fugaces,107,,3
Thad Cochran,U.S. Senate,,Republican,Yazoo,Fugaces,121,,3
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Fugaces,1,,3
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Fugaces,127,,3
Troy Ray,U.S. House,2,Independent,Yazoo,Fugaces,73,,3
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Fugaces,15,,3
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Hartown,86,,3
Thad Cochran,U.S. Senate,,Republican,Yazoo,Hartown,33,,3
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Hartown,1,,3
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Hartown,102,,3
Troy Ray,U.S. House,2,Independent,Yazoo,Hartown,17,,3
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Hartown,5,,3
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Holly Bluff,26,,3
Thad Cochran,U.S. Senate,,Republican,Yazoo,Holly Bluff,53,,3
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Holly Bluff,0,,3
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Holly Bluff,41,,3
Troy Ray,U.S. House,2,Independent,Yazoo,Holly Bluff,24,,3
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Holly Bluff,3,,3
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Jonestown,94,,3
Thad Cochran,U.S. Senate,,Republican,Yazoo,Jonestown,6,,3
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Jonestown,3,,3
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Jonestown,107,,3
Troy Ray,U.S. House,2,Independent,Yazoo,Jonestown,1,,3
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Jonestown,0,,3
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Lake City,16,,3
Thad Cochran,U.S. Senate,,Republican,Yazoo,Lake City,84,,3
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Lake City,0,,3
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Lake City,30,,3
Troy Ray,U.S. House,2,Independent,Yazoo,Lake City,47,,3
Shelley Shoemake,U.S. House,2,Reform,Yazoo,Lake City,10,,3
Travis W. Childers,U.S. Senate,,Democrat,Yazoo,Mechanicsburg,44,,3
