candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Jones,Antioch,2,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Antioch,4,
Bill Marcy,U.S. Senate,,Democrat,Jones,Antioch,2,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Antioch,1,
Trish Causey,U.S. House,4,Democrat,Jones,Antioch,4,
Matt Moore,U.S. House,4,Democrat,Jones,Antioch,7,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Big Creek,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Big Creek,0,
Bill Marcy,U.S. Senate,,Democrat,Jones,Big Creek,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Big Creek,0,
Trish Causey,U.S. House,4,Democrat,Jones,Big Creek,0,
Matt Moore,U.S. House,4,Democrat,Jones,Big Creek,1,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Blackwell,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Blackwell,0,
Bill Marcy,U.S. Senate,,Democrat,Jones,Blackwell,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Blackwell,0,
Trish Causey,U.S. House,4,Democrat,Jones,Blackwell,0,
Matt Moore,U.S. House,4,Democrat,Jones,Blackwell,0,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Calhoun,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Calhoun,4,
Bill Marcy,U.S. Senate,,Democrat,Jones,Calhoun,1,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Calhoun,1,
Trish Causey,U.S. House,4,Democrat,Jones,Calhoun,8,
Matt Moore,U.S. House,4,Democrat,Jones,Calhoun,7,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Centerville,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Centerville,0,
Bill Marcy,U.S. Senate,,Democrat,Jones,Centerville,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Centerville,0,
Trish Causey,U.S. House,4,Democrat,Jones,Centerville,0,
Matt Moore,U.S. House,4,Democrat,Jones,Centerville,0,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Currie,43,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Currie,5,
Bill Marcy,U.S. Senate,,Democrat,Jones,Currie,2,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Currie,5,
Trish Causey,U.S. House,4,Democrat,Jones,Currie,15,
Matt Moore,U.S. House,4,Democrat,Jones,Currie,36,
Travis W. Childers,U.S. Senate,,Democrat,Jones,Erata,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,Erata,3,
Bill Marcy,U.S. Senate,,Democrat,Jones,Erata,5,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,Erata,2,
Trish Causey,U.S. House,4,Democrat,Jones,Erata,20,
Matt Moore,U.S. House,4,Democrat,Jones,Erata,16,
Travis W. Childers,U.S. Senate,,Democrat,Jones,First Assembly of God,61,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jones,First Assembly of God,10,
Bill Marcy,U.S. Senate,,Democrat,Jones,First Assembly of God,3,
Jonathan Rawl,U.S. Senate,,Democrat,Jones,First Assembly of God,5,
Trish Causey,U.S. House,4,Democrat,Jones,First Assembly of God,27,
Matt Moore,U.S. House,4,Democrat,Jones,First Assembly of God,45,
