candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Alphaba-Cockrum,7,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Alphaba-Cockrum,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Alphaba-Cockrum,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Alphaba-Cockrum,0,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Alphaba-Cockrum,9,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Alphaba-Cockrum,2,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Bridgetown,26,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Bridgetown,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Bridgetown,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Bridgetown,0,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Bridgetown,22,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Bridgetown,5,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Colonial Hills,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Colonial Hills,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Colonial Hills,3,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Colonial Hills,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Colonial Hills,10,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Colonial Hills,10,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Cumberland,29,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Cumberland,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Cumberland,2,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Cumberland,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Cumberland,22,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Cumberland,8,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Desoto Central,47,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Desoto Central,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Desoto Central,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Desoto Central,0,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Desoto Central,35,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Desoto Central,12,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Elmore,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Elmore,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Elmore,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Elmore,2,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Elmore,6,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Elmore,1,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Eudora,28,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Eudora,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Eudora,2,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Eudora,3,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Eudora,20,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Eudora,15,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Fairhaven,33,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Fairhaven,3,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Fairhaven,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Fairhaven,0,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Fairhaven,26,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Fairhaven,10,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Greenbrook North,41,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Greenbrook North,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Greenbrook North,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Greenbrook North,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Greenbrook North,33,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Greenbrook North,11,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Greenbrook South,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Greenbrook South,3,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Greenbrook South,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Greenbrook South,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Greenbrook South,27,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Greenbrook South,7,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Hacks Cross Road,42,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Hacks Cross Road,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Hacks Cross Road,4,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Hacks Cross Road,2,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Hacks Cross Road,31,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Hacks Cross Road,13,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Hernando Central,36,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Hernando Central,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Hernando Central,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Hernando Central,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Hernando Central,27,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Hernando Central,7,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Hernando East,38,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Hernando East,0,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Hernando East,4,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Hernando East,4,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Hernando East,31,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Hernando East,11,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Hernando West,58,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Hernando West,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Hernando West,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Hernando West,2,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Hernando West,44,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Hernando West,14,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Horn Lake Central,15,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Horn Lake Central,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Horn Lake Central,2,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Horn Lake Central,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Horn Lake Central,9,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Horn Lake Central,11,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Horn Lake East,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Horn Lake East,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Horn Lake East,2,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Horn Lake East,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Horn Lake East,18,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Horn Lake East,6,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Horn Lake High School,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Horn Lake High School,2,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Horn Lake High School,0,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Horn Lake High School,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Horn Lake High School,26,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Horn Lake High School,8,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Horn Lake Intermediate,24,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Horn Lake Intermediate,1,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Horn Lake Intermediate,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Horn Lake Intermediate,1,
Ron E. Dickey,U.S. House,1,Democrat,DeSoto,Horn Lake Intermediate,17,
Rex N. Weathers,U.S. House,1,Democrat,DeSoto,Horn Lake Intermediate,9,
Travis W. Childers,U.S. Senate,,Democrat,DeSoto,Horn Lake North,36,
William Bond Compton Jr.,U.S. Senate,,Democrat,DeSoto,Horn Lake North,3,
Bill Marcy,U.S. Senate,,Democrat,DeSoto,Horn Lake North,1,
Jonathan Rawl,U.S. Senate,,Democrat,DeSoto,Horn Lake North,3,
