candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Lee,Auburn,112,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Auburn,362,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Auburn,8,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Auburn,13,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Auburn,58,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Auburn,412,,2
Lajena Walley,U.S.House,1,Reform,Lee,Auburn,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Baldwyn,228,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Baldwyn,177,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Baldwyn,3,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Baldwyn,8,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Baldwyn,171,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Baldwyn,213,,2
Lajena Walley,U.S.House,1,Reform,Lee,Baldwyn,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Beech Springs,112,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Beech Springs,201,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Beech Springs,2,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Beech Springs,6,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Beech Springs,81,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Beech Springs,226,,2
Lajena Walley,U.S.House,1,Reform,Lee,Beech Springs,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Belden,284,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Belden,571,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Belden,16,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Belden,21,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Belden,201,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Belden,623,,2
Lajena Walley,U.S.House,1,Reform,Lee,Belden,6,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Birmingham Ridge,131,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Birmingham Ridge,469,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Birmingham Ridge,5,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Birmingham Ridge,13,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Birmingham Ridge,69,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Birmingham Ridge,511,,2
Lajena Walley,U.S.House,1,Reform,Lee,Birmingham Ridge,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Bissell,477,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Bissell,1717,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Bissell,25,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Bissell,56,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Bissell,309,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Bissell,1039,,2
Lajena Walley,U.S.House,1,Reform,Lee,Bissell,8,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Brewer,60,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Brewer,195,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Brewer,4,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Brewer,7,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Brewer,33,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Brewer,214,,2
Lajena Walley,U.S.House,1,Reform,Lee,Brewer,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Cedar Hill,221,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Cedar Hill,441,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Cedar Hill,15,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Cedar Hill,28,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Cedar Hill,108,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Cedar Hill,533,,2
Lajena Walley,U.S.House,1,Reform,Lee,Cedar Hill,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Davis Box,52,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Davis Box,61,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Davis Box,1,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Davis Box,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Davis Box,39,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Davis Box,72,,2
Lajena Walley,U.S.House,1,Reform,Lee,Davis Box,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,East Heights,56,,2
Thad Cochran,U.S. Senate,,Republican,Lee,East Heights,179,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,East Heights,0,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,East Heights,4,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,East Heights,35,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,East Heights,186,,2
Lajena Walley,U.S.House,1,Reform,Lee,East Heights,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Eggville,57,,2
Thad Cochran,U.S. Senate,,Republican,Lee,Eggville,167,,2
Shawn O'Hara,U.S. Senate,,Reform,Lee,Eggville,6,,2
Danny Bedwell,U.S.House,1,Libertarian,Lee,Eggville,6,,2
Ron E. Dickey,U.S.House,1,Democrat,Lee,Eggville,21,,2
Alan Nunnelea,U.S.House,1,Republican,Lee,Eggville,197,,2
Lajena Walley,U.S.House,1,Reform,Lee,Eggville,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lee,Euclatubba,40,,3
Thad Cochran,U.S. Senate,,Republican,Lee,Euclatubba,102,,3
Shawn O'Hara,U.S. Senate,,Reform,Lee,Euclatubba,5,,3
Danny Bedwell,U.S.House,1,Libertarian,Lee,Euclatubba,7,,3
Ron E. Dickey,U.S.House,1,Democrat,Lee,Euclatubba,7,,3
