candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Antioch,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Antioch,0,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Antioch,1,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Antioch,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Antioch,2,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Antioch,0,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Antioch,0,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Brandon Central,14,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Brandon Central,1,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Brandon Central,8,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Brandon Central,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Brandon Central,6,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Brandon Central,9,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Brandon Central,5,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Briar Hill,27,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Briar Hill,5,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Briar Hill,5,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Briar Hill,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Briar Hill,6,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Briar Hill,9,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Briar Hill,19,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Castlewoods East,39,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Castlewoods East,4,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Castlewoods East,6,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Castlewoods East,1,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Castlewoods East,10,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Castlewoods East,15,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Castlewoods East,15,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Castlewoods West,29,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Castlewoods West,2,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Castlewoods West,6,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Castlewoods West,3,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Castlewoods West,4,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Castlewoods West,21,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Castlewoods West,15,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Cato,11,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Cato,0,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Cato,3,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Cato,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Cato,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Cato,5,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Cato,3,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,City Hall,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,City Hall,0,
Bill Marcy,U.S. Senate,,Democrat,Rankin,City Hall,3,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,City Hall,2,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,City Hall,2,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,City Hall,5,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,City Hall,6,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Clear Branch,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Clear Branch,2,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Clear Branch,4,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Clear Branch,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Clear Branch,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Clear Branch,9,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Clear Branch,11,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Cleary,22,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Cleary,0,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Cleary,1,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Cleary,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Cleary,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Cleary,13,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Cleary,7,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Crest Park,13,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Crest Park,1,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Crest Park,4,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Crest Park,0,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Crest Park,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Crest Park,6,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Crest Park,9,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Crossroads,2,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Crossroads,2,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Crossroads,4,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Crossroads,2,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Crossroads,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Crossroads,5,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Crossroads,4,
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Cunningham Heights,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Rankin,Cunningham Heights,2,
Bill Marcy,U.S. Senate,,Democrat,Rankin,Cunningham Heights,1,
Jonathan Rawl,U.S. Senate,,Democrat,Rankin,Cunningham Heights,1,
Jim Lilijeberg,U.S. House,3,Democrat,Rankin,Cunningham Heights,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Cunningham Heights,7,
Dennis C. Quinn,U.S. House,3,Democrat,Rankin,Cunningham Heights,4,
