candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Crenshaw,75,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Crenshaw,10,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Crenshaw,5,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Crenshaw,91,,2
Troy Ray,U.S. House,2,Independent,Quitman,Crenshaw,1,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Crenshaw,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Crowder,49,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Crowder,158,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Crowder,4,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Crowder,56,,2
Troy Ray,U.S. House,2,Independent,Quitman,Crowder,109,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Crowder,32,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Darling,84,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Darling,37,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Darling,1,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Darling,102,,2
Troy Ray,U.S. House,2,Independent,Quitman,Darling,22,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Darling,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,District 3 North,128,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,District 3 North,180,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,District 3 North,4,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,District 3 North,175,,2
Troy Ray,U.S. House,2,Independent,Quitman,District 3 North,107,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,District 3 North,22,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,District 3 South,129,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,District 3 South,163,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,District 3 South,4,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,District 3 South,162,,2
Troy Ray,U.S. House,2,Independent,Quitman,District 3 South,104,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,District 3 South,23,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Lambert,170,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Lambert,90,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Lambert,8,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Lambert,240,,2
Troy Ray,U.S. House,2,Independent,Quitman,Lambert,27,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Lambert,14,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,North West Marks,270,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,North West Marks,139,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,North West Marks,3,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,North West Marks,341,,2
Troy Ray,U.S. House,2,Independent,Quitman,North West Marks,51,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,North West Marks,11,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Sledge,216,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Sledge,60,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Sledge,6,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Sledge,266,,2
Troy Ray,U.S. House,2,Independent,Quitman,Sledge,17,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Sledge,7,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,South West Marks,176,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,South West Marks,80,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,South West Marks,5,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,South West Marks,220,,2
Troy Ray,U.S. House,2,Independent,Quitman,South West Marks,44,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,South West Marks,8,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,West Lambert,167,,2
Thad Cochran,U.S. Senate,,Republican,Quitman,West Lambert,81,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,West Lambert,10,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,West Lambert,231,,2
Troy Ray,U.S. House,2,Independent,Quitman,West Lambert,32,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,West Lambert,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Quitman,Total,1464,WINNER,2
Thad Cochran,U.S. Senate,,Republican,Quitman,Total,998,,2
Shawn O'Hara,U.S. Senate,,Reform,Quitman,Total,50,,2
Bennie G. Thompson,U.S. House,2,Democrat,Quitman,Total,1884,WINNER,2
Troy Ray,U.S. House,2,Independent,Quitman,Total,514,,2
Shelley Shoemake,U.S. House,2,Reform,Quitman,Total,129,,2
