candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,R,Issaquena,Addie Voting Precinct,17,
Chris McDaniel,U.S. Senate,,R,Issaquena,Addie Voting Precinct,9,
Thad Cochran,U.S. Senate,,R,Issaquena,Grace Voting Precinct,33,
Chris McDaniel,U.S. Senate,,R,Issaquena,Grace Voting Precinct,16,
Thad Cochran,U.S. Senate,,R,Issaquena,Mayersville Courthouse,9,
Chris McDaniel,U.S. Senate,,R,Issaquena,Mayersville Courthouse,2,
Thad Cochran,U.S. Senate,,R,Issaquena,Talluia Community Center,37,
Chris McDaniel,U.S. Senate,,R,Issaquena,Talluia Community Center,12,
Thad Cochran,U.S. Senate,,R,Issaquena,Valley Park Community Center,31,
Chris McDaniel,U.S. Senate,,R,Issaquena,Valley Park Community Center,11,
Thad Cochran,U.S. Senate,,R,Issaquena,,127,TRUE
Chris McDaniel,U.S. Senate,,R,Issaquena,,50,
