candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Rankin,Antioch,53,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Antioch,82,
Thad Cochran,U.S. Senate,,Republican,Rankin,Castlewoods East,640,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Castlewoods East,411,
Thad Cochran,U.S. Senate,,Republican,Rankin,Castlewoods West,607,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Castlewoods West,443,
Thad Cochran,U.S. Senate,,Republican,Rankin,Cato,177,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Cato,213,
Thad Cochran,U.S. Senate,,Republican,Rankin,Clear Branch,127,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Clear Branch,172,
Thad Cochran,U.S. Senate,,Republican,Rankin,Cleary,311,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Cleary,355,
Thad Cochran,U.S. Senate,,Republican,Rankin,Crest Park,287,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Crest Park,291,
Thad Cochran,U.S. Senate,,Republican,Rankin,Crossroads,138,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Crossroads,140,
Thad Cochran,U.S. Senate,,Republican,Rankin,Cunningham Heights,146,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Cunningham Heights,159,
Thad Cochran,U.S. Senate,,Republican,Rankin,Dry Creek,161,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Dry Creek,174,
Thad Cochran,U.S. Senate,,Republican,Rankin,East Brandon,438,
Chris McDaniel,U.S. Senate,,Republican,Rankin,East Brandon,381,
Thad Cochran,U.S. Senate,,Republican,Rankin,East Crossgates,740,
Chris McDaniel,U.S. Senate,,Republican,Rankin,East Crossgates,659,
Thad Cochran,U.S. Senate,,Republican,Rankin,East Steen Creek,389,
Chris McDaniel,U.S. Senate,,Republican,Rankin,East Steen Creek,463,
Thad Cochran,U.S. Senate,,Republican,Rankin,Eldorado,340,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Eldorado,285,
Thad Cochran,U.S. Senate,,Republican,Rankin,Fannin,314,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Fannin,284,
Thad Cochran,U.S. Senate,,Republican,Rankin,Flowood,477,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Flowood,408,
Thad Cochran,U.S. Senate,,Republican,Rankin,Grant's Ferry,586,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Grant's Ferry,483,
Thad Cochran,U.S. Senate,,Republican,Rankin,Greenfield,280,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Greenfield,304,
Thad Cochran,U.S. Senate,,Republican,Rankin,Highlands/Patrick Farms,229,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Highlands/Patrick Farms,207,
Thad Cochran,U.S. Senate,,Republican,Rankin,Johns,130,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Johns,97,
Thad Cochran,U.S. Senate,,Republican,Rankin,Leesburg,120,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Leesburg,165,
Thad Cochran,U.S. Senate,,Republican,Rankin,Liberty,416,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Liberty,268,
Thad Cochran,U.S. Senate,,Republican,Rankin,Mayton,42,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Mayton,42,
Thad Cochran,U.S. Senate,,Republican,Rankin,Mountain Creek,74,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Mountain Creek,90,
Thad Cochran,U.S. Senate,,Republican,Rankin,North Brandon,453,
Chris McDaniel,U.S. Senate,,Republican,Rankin,North Brandon,349,
Thad Cochran,U.S. Senate,,Republican,Rankin,North Mclaurin,163,
Chris McDaniel,U.S. Senate,,Republican,Rankin,North Mclaurin,184,
Thad Cochran,U.S. Senate,,Republican,Rankin,North Richland,222,
Chris McDaniel,U.S. Senate,,Republican,Rankin,North Richland,271,
Thad Cochran,U.S. Senate,,Republican,Rankin,Northeast Brandon,523,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Northeast Brandon,460,
Thad Cochran,U.S. Senate,,Republican,Rankin,Northshore,648,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Northshore,426,
Thad Cochran,U.S. Senate,,Republican,Rankin,Oakdale,484,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Oakdale,542,
Thad Cochran,U.S. Senate,,Republican,Rankin,Pelahatchie,384,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Pelahatchie,338,
Thad Cochran,U.S. Senate,,Republican,Rankin,Pisgah,85,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Pisgah,84,
Thad Cochran,U.S. Senate,,Republican,Rankin,Puckett,123,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Puckett,117,
Thad Cochran,U.S. Senate,,Republican,Rankin,Reservoir East,514,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Reservoir East,370,
Thad Cochran,U.S. Senate,,Republican,Rankin,Reservoir West,404,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Reservoir West,350,
Thad Cochran,U.S. Senate,,Republican,Rankin,Shiloh,66,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Shiloh,65,
Thad Cochran,U.S. Senate,,Republican,Rankin,South Brandon,141,
Chris McDaniel,U.S. Senate,,Republican,Rankin,South Brandon,155,
Thad Cochran,U.S. Senate,,Republican,Rankin,South Mclaurin,214,
Chris McDaniel,U.S. Senate,,Republican,Rankin,South Mclaurin,213,
Thad Cochran,U.S. Senate,,Republican,Rankin,South Pearson,79,
Chris McDaniel,U.S. Senate,,Republican,Rankin,South Pearson,44,
Thad Cochran,U.S. Senate,,Republican,Rankin,South Richland,333,
Chris McDaniel,U.S. Senate,,Republican,Rankin,South Richland,421,
Thad Cochran,U.S. Senate,,Republican,Rankin,Springhill,371,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Springhill,265,
Thad Cochran,U.S. Senate,,Republican,Rankin,Star,121,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Star,177,
Thad Cochran,U.S. Senate,,Republican,Rankin,West Brandon,286,
Chris McDaniel,U.S. Senate,,Republican,Rankin,West Brandon,202,
Thad Cochran,U.S. Senate,,Republican,Rankin,West Crossgates,651,
Chris McDaniel,U.S. Senate,,Republican,Rankin,West Crossgates,436,
Thad Cochran,U.S. Senate,,Republican,Rankin,West Pearl,147,
Chris McDaniel,U.S. Senate,,Republican,Rankin,West Pearl,156,
Thad Cochran,U.S. Senate,,Republican,Rankin,West Steen Creek,336,
Chris McDaniel,U.S. Senate,,Republican,Rankin,West Steen Creek,375,
Thad Cochran,U.S. Senate,,Republican,Rankin,Brandon Central,348,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Brandon Central,268,
Thad Cochran,U.S. Senate,,Republican,Rankin,Briar Hill,111,
Chris McDaniel,U.S. Senate,,Republican,Rankin,Briar Hill,129,
Thad Cochran,U.S. Senate,,Republican,Rankin,City Hall,271,
Chris McDaniel,U.S. Senate,,Republican,Rankin,City Hall,227,
Thad Cochran,U.S. Senate,,Republican,Rankin,YMCA,203,
Chris McDaniel,U.S. Senate,,Republican,Rankin,YMCA,174,
Thad Cochran,U.S. Senate,,Republican,Rankin,,14903,TRUE
Chris McDaniel,U.S. Senate,,Republican,Rankin,,13374,
