candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,R,Calhoun,Banner,58,
Chris McDaniel,U.S. Senate,,R,Calhoun,Banner,57,
Thad Cochran,U.S. Senate,,R,Calhoun,Bruce #3,146,
Chris McDaniel,U.S. Senate,,R,Calhoun,Bruce #3,139,
Thad Cochran,U.S. Senate,,R,Calhoun,Calhoun City #1,66,
Chris McDaniel,U.S. Senate,,R,Calhoun,Calhoun City #1,49,
Thad Cochran,U.S. Senate,,R,Calhoun,Calhoun City #4,203,
Chris McDaniel,U.S. Senate,,R,Calhoun,Calhoun City #4,121,
Thad Cochran,U.S. Senate,,R,Calhoun,Derma #4,74,
Chris McDaniel,U.S. Senate,,R,Calhoun,Derma #4,51,
Thad Cochran,U.S. Senate,,R,Calhoun,Derma #5,79,
Chris McDaniel,U.S. Senate,,R,Calhoun,Derma #5,56,
Thad Cochran,U.S. Senate,,R,Calhoun,Northeast Calhoun,111,
Chris McDaniel,U.S. Senate,,R,Calhoun,Northeast Calhoun,121,
Thad Cochran,U.S. Senate,,R,Calhoun,Pittsboro #1,17,
Chris McDaniel,U.S. Senate,,R,Calhoun,Pittsboro #1,10,
Thad Cochran,U.S. Senate,,R,Calhoun,Pittsboro #2,74,
Chris McDaniel,U.S. Senate,,R,Calhoun,Pittsboro #2,65,
Thad Cochran,U.S. Senate,,R,Calhoun,Vardaman,118,
Chris McDaniel,U.S. Senate,,R,Calhoun,Vardaman,84,
Thad Cochran,U.S. Senate,,R,Calhoun,,946,TRUE
Chris McDaniel,U.S. Senate,,R,Calhoun,,753,
