candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Bobo,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Bobo,4,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Bobo,4,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Bobo,0,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Bobo,1,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Bobo,14,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Cagle Crossing,2,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Cagle Crossing,2,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Cagle Crossing,0,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Cagle Crossing,0,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Cagle Crossing,0,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Cagle Crossing,6,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Clarksdale #2,83,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Clarksdale #2,10,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Clarksdale #2,12,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Clarksdale #2,0,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Clarksdale #2,15,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Clarksdale #2,97,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Clarksdale #3,57,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Clarksdale #3,6,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Clarksdale #3,3,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Clarksdale #3,6,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Clarksdale #3,2,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Clarksdale #3,97,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Clarksdale #4,139,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Clarksdale #4,36,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Clarksdale #4,16,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Clarksdale #4,8,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Clarksdale #4,5,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Clarksdale #4,240,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Clarksdale #4 North,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Clarksdale #4 North,1,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Clarksdale #4 North,2,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Clarksdale #4 North,3,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Clarksdale #4 North,6,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Clarksdale #4 North,24,
Travis W. Childers,U.S. Senate,,Democrat,Coahoma,Clarksdale #5,114,
William Bond Compton Jr.,U.S. Senate,,Democrat,Coahoma,Clarksdale #5,22,
Bill Marcy,U.S. Senate,,Democrat,Coahoma,Clarksdale #5,7,
Jonathan Rawl,U.S. Senate,,Democrat,Coahoma,Clarksdale #5,10,
Damien Fairconetue,U.S. House,2,Democrat,Coahoma,Clarksdale #5,9,
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,Clarksdale #5,180,
