candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Antioch,14,,2
Thad Cochran,U.S. Senate,,Republican,Rankin,Antioch,113,,2
Shawn O'Hara,U.S. Senate,,Reform,Rankin,Antioch,2,,2
Gregg Harper,U.S. House,3,Republican,Rankin,Antioch,128,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Antioch,4,,2
Roger Gerrard,U.S. House,3,Independent,Rankin,Antioch,1,,2
Barbara Dale Washer,U.S. House,3,Reform,Rankin,Antioch,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Brandon Central,92,,2
Thad Cochran,U.S. Senate,,Republican,Rankin,Brandon Central,558,,2
Shawn O'Hara,U.S. Senate,,Reform,Rankin,Brandon Central,12,,2
Gregg Harper,U.S. House,3,Republican,Rankin,Brandon Central,578,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Brandon Central,63,,2
Roger Gerrard,U.S. House,3,Independent,Rankin,Brandon Central,25,,2
Barbara Dale Washer,U.S. House,3,Reform,Rankin,Brandon Central,6,,2
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Briar Hill,90,,2
Thad Cochran,U.S. Senate,,Republican,Rankin,Briar Hill,209,,2
Shawn O'Hara,U.S. Senate,,Reform,Rankin,Briar Hill,11,,2
Gregg Harper,U.S. House,3,Republican,Rankin,Briar Hill,227,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Briar Hill,72,,2
Roger Gerrard,U.S. House,3,Independent,Rankin,Briar Hill,8,,2
Barbara Dale Washer,U.S. House,3,Reform,Rankin,Briar Hill,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Castlewoods East,179,,2
Thad Cochran,U.S. Senate,,Republican,Rankin,Castlewoods East,924,,2
Shawn O'Hara,U.S. Senate,,Reform,Rankin,Castlewoods East,15,,2
Gregg Harper,U.S. House,3,Republican,Rankin,Castlewoods East,954,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Castlewoods East,123,,2
Roger Gerrard,U.S. House,3,Independent,Rankin,Castlewoods East,45,,2
Barbara Dale Washer,U.S. House,3,Reform,Rankin,Castlewoods East,6,,2
Travis W. Childers,U.S. Senate,,Democrat,Rankin,Castlewoods West,224,,2
Thad Cochran,U.S. Senate,,Republican,Rankin,Castlewoods West,892,,2
Shawn O'Hara,U.S. Senate,,Reform,Rankin,Castlewoods West,21,,2
Gregg Harper,U.S. House,3,Republican,Rankin,Castlewoods West,931,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Rankin,Castlewoods West,168,,2
Roger Gerrard,U.S. House,3,Independent,Rankin,Castlewoods West,35,,2
Barbara Dale Washer,U.S. House,3,Reform,Rankin,Castlewoods West,6,,2
