candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Lee,Auburn,22,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Auburn,0,
Bill Marcy,U.S. Senate,,Democrat,Lee,Auburn,3,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Auburn,0,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Auburn,8,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Auburn,15,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Baldwyn,108,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Baldwyn,0,
Bill Marcy,U.S. Senate,,Democrat,Lee,Baldwyn,0,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Baldwyn,0,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Baldwyn,48,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Baldwyn,44,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Beech Springs,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Beech Springs,1,
Bill Marcy,U.S. Senate,,Democrat,Lee,Beech Springs,0,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Beech Springs,1,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Beech Springs,12,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Beech Springs,17,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Belden,84,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Belden,1,
Bill Marcy,U.S. Senate,,Democrat,Lee,Belden,1,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Belden,1,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Belden,33,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Belden,45,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Birmingham Ridge,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Birmingham Ridge,0,
Bill Marcy,U.S. Senate,,Democrat,Lee,Birmingham Ridge,0,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Birmingham Ridge,0,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Birmingham Ridge,8,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Birmingham Ridge,8,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Bissell,98,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Bissell,4,
Bill Marcy,U.S. Senate,,Democrat,Lee,Bissell,0,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Bissell,2,
Ron E. Dickey,U.S. House,1,Democrat,Lee,Bissell,46,
Rex N. Weathers,U.S. House,1,Democrat,Lee,Bissell,45,
Travis W. Childers,U.S. Senate,,Democrat,Lee,Brewer,13,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lee,Brewer,0,
Bill Marcy,U.S. Senate,,Democrat,Lee,Brewer,0,
Jonathan Rawl,U.S. Senate,,Democrat,Lee,Brewer,0,
