candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Neshoba,Arlington,3,
William Bond Compton Jr.,U.S. Senate,,Democrat,Neshoba,Arlington,0,
Bill Marcy,U.S. Senate,,Democrat,Neshoba,Arlington,0,
Jonathan Rawl,U.S. Senate,,Democrat,Neshoba,Arlington,0,
Jim Lilijeberg,U.S. House,3,Democrat,Neshoba,Arlington,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Neshoba,Arlington,3,
Dennis C. Quinn,U.S. House,3,Democrat,Neshoba,Arlington,0,
Travis W. Childers,U.S. Senate,,Democrat,Neshoba,Bogue Chitto,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,Neshoba,Bogue Chitto,1,
Bill Marcy,U.S. Senate,,Democrat,Neshoba,Bogue Chitto,2,
Jonathan Rawl,U.S. Senate,,Democrat,Neshoba,Bogue Chitto,0,
Jim Lilijeberg,U.S. House,3,Democrat,Neshoba,Bogue Chitto,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Neshoba,Bogue Chitto,3,
Dennis C. Quinn,U.S. House,3,Democrat,Neshoba,Bogue Chitto,4,
Travis W. Childers,U.S. Senate,,Democrat,Neshoba,Burnside,27,
William Bond Compton Jr.,U.S. Senate,,Democrat,Neshoba,Burnside,6,
Bill Marcy,U.S. Senate,,Democrat,Neshoba,Burnside,5,
Jonathan Rawl,U.S. Senate,,Democrat,Neshoba,Burnside,4,
Jim Lilijeberg,U.S. House,3,Democrat,Neshoba,Burnside,7,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Neshoba,Burnside,23,
Dennis C. Quinn,U.S. House,3,Democrat,Neshoba,Burnside,4,
Travis W. Childers,U.S. Senate,,Democrat,Neshoba,Center,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Neshoba,Center,2,
Bill Marcy,U.S. Senate,,Democrat,Neshoba,Center,0,
Jonathan Rawl,U.S. Senate,,Democrat,Neshoba,Center,0,
Jim Lilijeberg,U.S. House,3,Democrat,Neshoba,Center,2,
