candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,2nd District Central,123,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,2nd District Central,366,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,2nd District Central,12,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,2nd District Central,70,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,2nd District Central,395,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,2nd District Central,16,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,2nd District Central,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Bethel,18,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Bethel,28,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Bethel,0,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Bethel,8,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Bethel,34,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Bethel,0,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Bethel,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Biggersville,91,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Biggersville,203,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Biggersville,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Biggersville,55,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Biggersville,234,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Biggersville,5,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Biggersville,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,College Hill,83,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,College Hill,130,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,College Hill,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,College Hill,64,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,College Hill,229,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,College Hill,11,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,College Hill,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,East Corinth,150,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,East Corinth,442,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,East Corinth,10,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,East Corinth,105,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,East Corinth,472,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,East Corinth,14,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,East Corinth,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Five Points 1st District,128,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Five Points 1st District,467,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Five Points 1st District,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Five Points 1st District,88,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Five Points 1st District,492,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Five Points 1st District,12,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Five Points 1st District,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Glen,120,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Glen,272,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Glen,12,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Glen,68,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Glen,298,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Glen,15,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Glen,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Jacinto,59,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Jacinto,101,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Jacinto,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Jacinto,37,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Jacinto,116,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Jacinto,3,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Jacinto,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Kossutt,97,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Kossutt,444,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Kossutt,9,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Kossutt,59,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Kossutt,469,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Kossutt,9,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Kossutt,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,North Corinth,85,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,North Corinth,368,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,North Corinth,4,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,North Corinth,60,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,North Corinth,375,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,North Corinth,10,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,North Corinth,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Pinecrest,55,,2
Thad Cochran,U.S. Senate,,Republican,Alcorn,Pinecrest,179,,2
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Pinecrest,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Pinecrest,36,,2
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Pinecrest,193,,2
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Pinecrest,9,,2
Lafena Walley,U.S.House,1,Reform,Alcorn,Pinecrest,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Rienzi,148,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,Rienzi,258,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Rienzi,6,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Rienzi,102,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Rienzi,295,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Rienzi,6,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,Rienzi,4,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Shady Grove,63,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,Shady Grove,221,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Shady Grove,8,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Shady Grove,45,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Shady Grove,238,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Shady Grove,5,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,Shady Grove,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,South Corinth,191,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,South Corinth,171,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,South Corinth,6,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,South Corinth,166,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,South Corinth,174,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,South Corinth,6,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,South Corinth,6,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Union Center,110,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,Union Center,231,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Union Center,2,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Union Center,69,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Union Center,260,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Union Center,4,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,Union Center,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Wenasoga,96,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,Wenasoga,234,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Wenasoga,6,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Wenasoga,66,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Wenasoga,252,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Wenasoga,12,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,Wenasoga,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,West Corinth,69,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,West Corinth,185,,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,West Corinth,4,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,West Corinth,41,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,West Corinth,199,,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,West Corinth,4,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,West Corinth,3,,3
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Total,1686,,3
Thad Cochran,U.S. Senate,,Republican,Alcorn,Total,4300,WINNER,3
Shawn O'Hara,U.S. Senate,,Reform,Alcorn,Total,91,,3
Ron E. Dickey,U.S.House,1,Democrat,Alcorn,Total,1139,,3
Alan Nunnelea,U.S.House,1,Republican,Alcorn,Total,4625,WINNER,3
Danny Bedwell,U.S.House,1,Libertarian,Alcorn,Total,141,,3
Lafena Walley,U.S.House,1,Reform,Alcorn,Total,41,,3
