candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Winston,American Legion,351,,2
Thad Cochran,U.S. Senate,,Republican,Winston,American Legion,85,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,American Legion,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,American Legion,327,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,American Legion,87,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,American Legion,4,,2
Lafena Walley,U.S.House,1,Reform,Winston,American Legion,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,County Agent,338,,2
Thad Cochran,U.S. Senate,,Republican,Winston,County Agent,67,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,County Agent,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,County Agent,324,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,County Agent,74,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,County Agent,6,,2
Lafena Walley,U.S.House,1,Reform,Winston,County Agent,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,East Winston,100,,2
Thad Cochran,U.S. Senate,,Republican,Winston,East Winston,229,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,East Winston,4,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,East Winston,73,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,East Winston,249,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,East Winston,1,,2
Lafena Walley,U.S.House,1,Reform,Winston,East Winston,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Fairground,276,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Fairground,676,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Fairground,13,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Fairground,247,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Fairground,686,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Fairground,12,,2
Lafena Walley,U.S.House,1,Reform,Winston,Fairground,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Lovorn Tractor,109,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Lovorn Tractor,124,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Lovorn Tractor,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Lovorn Tractor,90,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Lovorn Tractor,137,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Lovorn Tractor,5,,2
Lafena Walley,U.S.House,1,Reform,Winston,Lovorn Tractor,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Mars Hill,116,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Mars Hill,155,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Mars Hill,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Mars Hill,104,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Mars Hill,161,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Mars Hill,3,,2
Lafena Walley,U.S.House,1,Reform,Winston,Mars Hill,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Mill Creek,257,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Mill Creek,383,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Mill Creek,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Mill Creek,225,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Mill Creek,399,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Mill Creek,9,,2
Lafena Walley,U.S.House,1,Reform,Winston,Mill Creek,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Nanih Waiya,136,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Nanih Waiya,485,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Nanih Waiya,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Nanih Waiya,112,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Nanih Waiya,499,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Nanih Waiya,5,,2
Lafena Walley,U.S.House,1,Reform,Winston,Nanih Waiya,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,New National Guard,39,,2
Thad Cochran,U.S. Senate,,Republican,Winston,New National Guard,134,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,New National Guard,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,New National Guard,32,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,New National Guard,135,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,New National Guard,1,,2
Lafena Walley,U.S.House,1,Reform,Winston,New National Guard,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Noxapater,151,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Noxapater,235,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Noxapater,9,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Noxapater,121,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Noxapater,274,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Noxapater,10,,2
Lafena Walley,U.S.House,1,Reform,Winston,Noxapater,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Shilon,53,,2
Thad Cochran,U.S. Senate,,Republican,Winston,Shilon,152,,2
Shawn O'Hara,U.S. Senate,,Reform,Winston,Shilon,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Winston,Shilon,48,,2
Alan Nunnelea,U.S.House,1,Republican,Winston,Shilon,156,,2
Danny Bedwell,U.S.House,1,Libertarian,Winston,Shilon,1,,2
Lafena Walley,U.S.House,1,Reform,Winston,Shilon,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Winston,Zion Ridge,229,,3
Thad Cochran,U.S. Senate,,Republican,Winston,Zion Ridge,38,,3
Shawn O'Hara,U.S. Senate,,Reform,Winston,Zion Ridge,2,,3
Ron E. Dickey,U.S.House,1,Democrat,Winston,Zion Ridge,221,,3
Alan Nunnelea,U.S.House,1,Republican,Winston,Zion Ridge,33,,3
Danny Bedwell,U.S.House,1,Libertarian,Winston,Zion Ridge,6,,3
Lafena Walley,U.S.House,1,Reform,Winston,Zion Ridge,2,,3
Travis W. Childers,U.S. Senate,,Democrat,Winston,Total,2155,,3
Thad Cochran,U.S. Senate,,Republican,Winston,Total,2783,WINNER,3
Shawn O'Hara,U.S. Senate,,Reform,Winston,Total,57,,3
Ron E. Dickey,U.S.House,1,Democrat,Winston,Total,1934,,3
Alan Nunnelea,U.S.House,1,Republican,Winston,Total,2890,WINNER,3
Danny Bedwell,U.S.House,1,Libertarian,Winston,Total,63,,3
Lafena Walley,U.S.House,1,Reform,Winston,Total,19,,3
