candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 1, Bellemont Precinct",265,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 1, Bellemont Precinct",882,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, Bellemont Precinct",15,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, Bellemont Precinct",897,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 1, Bellemont Precinct",217,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 1, Bellemont Precinct",21,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 1, Bellemont Precinct",6,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 1, By-Pass Fire",313,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 1, By-Pass Fire",164,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, By-Pass Fire",5,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, By-Pass Fire",158,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 1, By-Pass Fire",284,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 1, By-Pass Fire",8,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 1, By-Pass Fire",6,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 1, Courthouse Precinct",92,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 1, Courthouse Precinct",362,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, Courthouse Precinct",7,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, Courthouse Precinct",363,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 1, Courthouse Precinct",63,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 1, Courthouse Precinct",11,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 1, Courthouse Precinct",2,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 2, Beau Pre Precinct",153,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 2, Beau Pre Precinct",300,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 2, Beau Pre Precinct",2,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 2, Beau Pre Precinct",298,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 2, Beau Pre Precinct",138,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 2, Beau Pre Precinct",7,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 2, Beau Pre Precinct",1,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 2, Duncan Park Precinct",158,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 2, Duncan Park Precinct",366,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 2, Duncan Park Precinct",7,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 2, Duncan Park Precinct",365,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 2, Duncan Park Precinct",149,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 2, Duncan Park Precinct",8,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 2, Duncan Park Precinct",2,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 2, Kingston Precinct",72,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 2, Kingston Precinct",311,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 2, Kingston Precinct",13,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 2, Kingston Precinct",330,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Adams,"Dist. 2, Kingston Precinct",53,,2
Roger Gerrard,U.S. House,3,Independent,Adams,"Dist. 2, Kingston Precinct",12,,2
Barbara Dale Washer,U.S. House,3,Reform,Adams,"Dist. 2, Kingston Precinct",1,,2
Travis W. Childers,U.S. Senate,,Democrat,Adams,"Dist. 2, Liberty Park Precinct",80,,2
Thad Cochran,U.S. Senate,,Republican,Adams,"Dist. 2, Liberty Park Precinct",416,,2
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 2, Liberty Park Precinct",14,,2
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 2, Liberty Park Precinct",420,,2
