candidate,office,district,party,county,precinct,votes,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,2nd District Central,40,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,2nd District Central,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,2nd District Central,0,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,2nd District Central,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,2nd District Central,21,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,2nd District Central,16,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Bethel,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Bethel,0,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Bethel,0,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Bethel,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Bethel,2,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Bethel,5,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Biggersville,33,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Biggersville,3,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Biggersville,2,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Biggersville,1,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Biggersville,15,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Biggersville,13,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,College Hill,48,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,College Hill,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,College Hill,0,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,College Hill,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,College Hill,28,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,College Hill,13,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,East Corinth,48,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,East Corinth,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,East Corinth,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,East Corinth,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,East Corinth,26,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,East Corinth,20,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Five Points 1st Dist,58,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Five Points 1st Dist,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Five Points 1st Dist,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Five Points 1st Dist,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Five Points 1st Dist,32,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Five Points 1st Dist,21,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Glen,45,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Glen,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Glen,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Glen,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Glen,22,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Glen,21,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Jacinto,27,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Jacinto,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Jacinto,2,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Jacinto,1,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Jacinto,15,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Jacinto,12,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Kossuth,32,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Kossuth,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Kossuth,3,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Kossuth,1,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Kossuth,18,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Kossuth,16,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,North Corinth,32,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,North Corinth,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,North Corinth,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,North Corinth,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,North Corinth,21,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,North Corinth,7,
