candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Leake,Conway,118,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Conway,53,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Conway,1,,2
Troy Ray,U.S. House,2,Independent,Leake,Conway,27,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Conway,13,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Conway,129,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,East Carthage,77,,2
Thad Cochran,U.S. Senate,,Republican,Leake,East Carthage,267,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,East Carthage,7,,2
Troy Ray,U.S. House,2,Independent,Leake,East Carthage,145,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,East Carthage,70,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,East Carthage,109,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Edinburg,23,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Edinburg,195,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Edinburg,8,,2
Troy Ray,U.S. House,2,Independent,Leake,Edinburg,118,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Edinburg,39,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Edinburg,50,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Freeny,61,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Freeny,196,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Freeny,7,,2
Troy Ray,U.S. House,2,Independent,Leake,Freeny,100,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Freeny,48,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Freeny,79,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Good Hope,68,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Good Hope,174,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Good Hope,3,,2
Troy Ray,U.S. House,2,Independent,Leake,Good Hope,96,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Good Hope,41,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Good Hope,88,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,HARMONY,124,,2
Thad Cochran,U.S. Senate,,Republican,Leake,HARMONY,54,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,HARMONY,5,,2
Troy Ray,U.S. House,2,Independent,Leake,HARMONY,17,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,HARMONY,13,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,HARMONY,148,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Lena,105,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Lena,106,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Lena,2,,2
Troy Ray,U.S. House,2,Independent,Leake,Lena,52,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Lena,17,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Lena,126,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Madden,53,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Madden,203,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Madden,5,,2
Troy Ray,U.S. House,2,Independent,Leake,Madden,119,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Madden,37,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Madden,77,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,North Carthage,150,,2
Thad Cochran,U.S. Senate,,Republican,Leake,North Carthage,274,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,North Carthage,4,,2
Troy Ray,U.S. House,2,Independent,Leake,North Carthage,140,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,North Carthage,66,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,North Carthage,191,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Ofahoma,122,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Ofahoma,36,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Ofahoma,0,,2
Troy Ray,U.S. House,2,Independent,Leake,Ofahoma,15,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Ofahoma,7,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Ofahoma,129,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Renfroe,25,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Renfroe,132,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Renfroe,3,,2
Troy Ray,U.S. House,2,Independent,Leake,Renfroe,71,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Renfroe,30,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Renfroe,40,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Salem,27,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Salem,149,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Salem,5,,2
Troy Ray,U.S. House,2,Independent,Leake,Salem,72,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Salem,33,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Salem,48,,2
Travis W. Childers,U.S. Senate,,Democrat,Leake,Singleton,90,,2
Thad Cochran,U.S. Senate,,Republican,Leake,Singleton,181,,2
Shawn O'Hara,U.S. Senate,,Reform,Leake,Singleton,17,,2
Troy Ray,U.S. House,2,Independent,Leake,Singleton,121,,2
Shelley Shoemake,U.S. House,2,Reform,Leake,Singleton,47,,2
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Singleton,106,,3
Travis W. Childers,U.S. Senate,,Democrat,Leake,South Carthage,49,,3
Thad Cochran,U.S. Senate,,Republican,Leake,South Carthage,120,,3
Shawn O'Hara,U.S. Senate,,Reform,Leake,South Carthage,8,,3
Troy Ray,U.S. House,2,Independent,Leake,South Carthage,81,,3
Shelley Shoemake,U.S. House,2,Reform,Leake,South Carthage,25,,3
Bennie G. Thompson,U.S. House,2,Democrat,Leake,South Carthage,61,,3
Travis W. Childers,U.S. Senate,,Democrat,Leake,Sunrise,28,,3
Thad Cochran,U.S. Senate,,Republican,Leake,Sunrise,155,,3
Shawn O'Hara,U.S. Senate,,Reform,Leake,Sunrise,0,,3
Troy Ray,U.S. House,2,Independent,Leake,Sunrise,86,,3
Shelley Shoemake,U.S. House,2,Reform,Leake,Sunrise,33,,3
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Sunrise,43,,3
Travis W. Childers,U.S. Senate,,Democrat,Leake,Thomastown,105,,3
Thad Cochran,U.S. Senate,,Republican,Leake,Thomastown,92,,3
Shawn O'Hara,U.S. Senate,,Reform,Leake,Thomastown,5,,3
Troy Ray,U.S. House,2,Independent,Leake,Thomastown,56,,3
Shelley Shoemake,U.S. House,2,Reform,Leake,Thomastown,27,,3
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Thomastown,103,,3
Travis W. Childers,U.S. Senate,,Democrat,Leake,Walnut Grove,282,,3
Thad Cochran,U.S. Senate,,Republican,Leake,Walnut Grove,129,,3
Shawn O'Hara,U.S. Senate,,Reform,Leake,Walnut Grove,5,,3
Troy Ray,U.S. House,2,Independent,Leake,Walnut Grove,62,,3
Shelley Shoemake,U.S. House,2,Reform,Leake,Walnut Grove,24,,3
Bennie G. Thompson,U.S. House,2,Democrat,Leake,Walnut Grove,312,,3
Travis W. Childers,U.S. Senate,,Democrat,Leake,West Carthage,322,,3
Thad Cochran,U.S. Senate,,Republican,Leake,West Carthage,86,,3
Shawn O'Hara,U.S. Senate,,Reform,Leake,West Carthage,9,,3
Troy Ray,U.S. House,2,Independent,Leake,West Carthage,40,,3
