candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Algoma Al,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Algoma Al,1,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Algoma Al,1,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Algoma Al,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Algoma Al,9,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Algoma Al,7,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Bankhead Ba,65,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Bankhead Ba,0,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Bankhead Ba,0,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Bankhead Ba,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Bankhead Ba,27,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Bankhead Ba,18,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Beckham Bec,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Beckham Bec,0,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Beckham Bec,1,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Beckham Bec,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Beckham Bec,13,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Beckham Bec,4,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Bethel/Endville Be,15,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Bethel/Endville Be,0,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Bethel/Endville Be,0,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Bethel/Endville Be,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Bethel/Endville Be,9,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Bethel/Endville Be,3,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Buchanan Bu,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Buchanan Bu,0,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Buchanan Bu,0,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Buchanan Bu,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Buchanan Bu,4,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Buchanan Bu,3,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Cherry Creek Cc,11,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Cherry Creek Cc,1,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Cherry Creek Cc,1,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Cherry Creek Cc,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Cherry Creek Cc,4,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Cherry Creek Cc,9,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Ecru Ec,34,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Ecru Ec,1,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Ecru Ec,0,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Ecru Ec,0,
Ron E. Dickey,U.S. House,1,Democrat,Pontotoc,Ecru Ec,21,
Rex N. Weathers,U.S. House,1,Democrat,Pontotoc,Ecru Ec,9,
Travis W. Childers,U.S. Senate,,Democrat,Pontotoc,Friendship Fr,10,
William Bond Compton Jr.,U.S. Senate,,Democrat,Pontotoc,Friendship Fr,0,
Bill Marcy,U.S. Senate,,Democrat,Pontotoc,Friendship Fr,0,
Jonathan Rawl,U.S. Senate,,Democrat,Pontotoc,Friendship Fr,0,
