page,candidate,office,district,party,county,precinct,votes,winner,,
3,Travis W. Childers  ,United States Senate,,Democrat,Holmes,Beat 5 Lexington,110,,,
3,Thad Cochran ,United States Senate,,Republican ,Holmes,Beat 5 Lexington,134,,,
3,Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 5 Lexington,1,,,
3,Travis W. Childers  ,United States Senate,,Democrat,Holmes,Beat 5 Tchula,436,,,
3,Thad Cochran ,United States Senate,,Republican ,Holmes,Beat 5 Tchula,134,,,
3,Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 5 Tchula,6,,,
3,Travis W. Childers  ,United States Senate,,Democrat,Holmes,TOTAL ,3069,,,
3,Thad Cochran ,United States Senate,,Republican ,Holmes,TOTAL ,1313,,,
3,Shawn O'Hara,United States Senate,,Reform,Holmes,TOTAL ,40,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,1 Acona,280,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,1 Acona,15,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,1 Acona,1,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,1 Durant St Anderson ,129,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,1 Durant St Anderson ,10,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,1 Durant St Anderson ,5,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,2 Lexington Sandhill,0,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,2 Lexington Sandhill,0,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,2 Lexington Sandhill,0,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 1 Lexington ,531,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 1 Lexington ,44,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 1 Lexington ,11,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 Durant ,189,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 2 Durant ,72,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 Durant ,9,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 Sub Durant ,210,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 2 Sub Durant ,20,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 Sub Durant ,7,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 West ,169,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 2 West ,73,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 West ,2,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Coxburg,44,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 3 Coxburg,42,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Coxburg,11,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Ebenezer,138,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 3 Ebenezer,26,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Ebenezer,7,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Goodman,226,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 3 Goodman,25,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Goodman,6,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Pickens ,307,,,
2,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 3 Pickens ,32,,,
2,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Pickens ,6,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Lexington ,667,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 4 Lexington ,51,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Lexington ,8,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Thornton,139,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 4 Thornton,7,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Thornton,4,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Walden Chapel,88,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 4 Walden Chapel,6,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Walden Chapel,0,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Cruger,111,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 5 Cruger,39,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Cruger,4,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Lexington,144,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 5 Lexington,85,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Lexington,13,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Tchula,549,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,Beat 5 Tchula,35,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Tchula,10,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Holmes,TOTAL ,3921,,,
3,Troy Ray,U.S. House,2,Independent ,Holmes,TOTAL ,582,,,
3,Shelley Shoemake,U.S. House,2,Reform,Holmes,TOTAL ,104,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
