candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Abbeville,258,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Abbeville,220,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Abbeville,7,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Abbeville,256,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Abbeville,216,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Abbeville,4,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Abbeville,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Airport Grocery,63,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Airport Grocery,237,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Airport Grocery,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Airport Grocery,51,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Airport Grocery,242,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Airport Grocery,12,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Airport Grocery,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Anchor Taylor 4,31,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Anchor Taylor 4,225,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Anchor Taylor 4,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Anchor Taylor 4,22,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Anchor Taylor 4,224,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Anchor Taylor 4,11,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Anchor Taylor 4,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Burgess,55,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Burgess,168,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Burgess,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Burgess,56,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Burgess,161,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Burgess,6,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Burgess,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,College Hill,278,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,College Hill,512,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,College Hill,8,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,College Hill,273,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,College Hill,500,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,College Hill,21,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,College Hill,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Denmark Laf Springs Pine Bluff,51,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Denmark Laf Springs Pine Bluff,210,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Denmark Laf Springs Pine Bluff,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Denmark Laf Springs Pine Bluff,24,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Denmark Laf Springs Pine Bluff,228,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Denmark Laf Springs Pine Bluff,6,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Denmark Laf Springs Pine Bluff,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Harmontowm,38,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Harmontowm,139,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Harmontowm,4,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Harmontowm,24,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Harmontowm,141,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Harmontowm,5,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Harmontowm,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Oxford 1,356,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Oxford 1,870,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Oxford 1,16,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Oxford 1,342,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Oxford 1,841,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Oxford 1,37,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Oxford 1,7,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Oxford 2,708,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Oxford 2,1363,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Oxford 2,31,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Oxford 2,676,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Oxford 2,1307,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Oxford 2,64,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Oxford 2,12,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Oxford 3,427,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Oxford 3,459,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Oxford 3,7,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Oxford 3,415,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Oxford 3,448,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Oxford 3,15,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Oxford 3,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Oxford 4,441,,2
Thad Cochran,U.S. Senate,,Republican,Lafayette,Oxford 4,852,,2
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Oxford 4,16,,2
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Oxford 4,389,,2
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Oxford 4,843,,2
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Oxford 4,45,,2
Lafena Walley,U.S.House,1,Reform,Lafayette,Oxford 4,9,,2
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Oxford 5,182,,3
Thad Cochran,U.S. Senate,,Republican,Lafayette,Oxford 5,335,,3
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Oxford 5,4,,3
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Oxford 5,161,,3
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Oxford 5,326,,3
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Oxford 5,25,,3
Lafena Walley,U.S.House,1,Reform,Lafayette,Oxford 5,2,,3
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Paris,8,,3
Thad Cochran,U.S. Senate,,Republican,Lafayette,Paris,139,,3
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Paris,11,,3
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Paris,7,,3
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Paris,145,,3
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Paris,3,,3
Lafena Walley,U.S.House,1,Reform,Lafayette,Paris,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Philadelphia,43,,3
Thad Cochran,U.S. Senate,,Republican,Lafayette,Philadelphia,77,,3
Shawn O'Hara,U.S. Senate,,Reform,Lafayette,Philadelphia,1,,3
Ron E. Dickey,U.S.House,1,Democrat,Lafayette,Philadelphia,40,,3
Alan Nunnelea,U.S.House,1,Republican,Lafayette,Philadelphia,75,,3
Danny Bedwell,U.S.House,1,Libertarian,Lafayette,Philadelphia,6,,3
Lafena Walley,U.S.House,1,Reform,Lafayette,Philadelphia,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Lafayette,Taylor 3,204,,3
Thad Cochran,U.S. Senate,,Republican,Lafayette,Taylor 3,63,,3
