candidate,office,district,party,county,precinct,votes,winner,page
Thad Cochran,U.S. Senate,,Republican,Lauderdale,206 - Six,128,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,206 - Six,2,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,206 - Six,123,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,206 - Six,313,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,206 - Six,8,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,206 - Six,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,121,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,214 - Fourteen,28,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,214 - Fourteen,2,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,214 - Fourteen,34,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,214 - Fourteen,106,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,214 - Fourteen,1,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,214 - Fourteen,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,235 - Daleville,91,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,235 - Daleville,58,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,235 - Daleville,3,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,235 - Daleville,49,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,235 - Daleville,93,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,235 - Daleville,9,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,235 - Daleville,3,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,237 - East Lauderdale,105,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,237 - East Lauderdale,331,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,237 - East Lauderdale,13,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,237 - East Lauderdale,345,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,237 - East Lauderdale,97,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,237 - East Lauderdale,8,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,237 - East Lauderdale,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,238 - Marion,110,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,238 - Marion,209,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,238 - Marion,8,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,238 - Marion,214,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,238 - Marion,102,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,238 - Marion,3,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,238 - Marion,4,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,240 - Kewanee,39,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,240 - Kewanee,56,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,240 - Kewanee,3,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,240 - Kewanee,60,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,240 - Kewanee,36,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,240 - Kewanee,4,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,240 - Kewanee,3,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,254 - Russell,109,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,254 - Russell,277,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,254 - Russell,1,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,254 - Russell,296,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,254 - Russell,87,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,254 - Russell,7,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,254 - Russell,2,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,262 - Toomsuba,47,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,262 - Toomsuba,103,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,262 - Toomsuba,3,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,262 - Toomsuba,99,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,262 - Toomsuba,41,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,262 - Toomsuba,3,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,262 - Toomsuba,3,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,303 - Three,248,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,303 - Three,146,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,303 - Three,4,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,303 - Three,151,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,303 - Three,243,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,303 - Three,5,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,303 - Three,2,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,313 - Thirteen,183,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,313 - Thirteen,542,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,313 - Thirteen,18,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,313 - Thirteen,546,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,313 - Thirteen,172,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,313 - Thirteen,19,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,313 - Thirteen,8,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,329 - Center Hill,62,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,329 - Center Hill,526,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,329 - Center Hill,9,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,329 - Center Hill,528,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,329 - Center Hill,41,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,329 - Center Hill,27,,3
