county,Circuit Clerk,Coroner,County Prosecuting Attorney,Court of Appeals,President,School Bond Election,Supreme Court,Tax Assessor,U.S. House,U.S. Senate,Yazoo-Mississippi Delta Levee Board,Yazoo-Mississippi Delta Levee Commissioner
Adams,,,,,X,,X,,X,X,,
Alcorn,,,,,X,,X,,X,X,,
Amite,,,,,X,,X,,X,X,,
Attala,,,,X,X,,X,,X,X,,
Benton,,,,,X,,X,,X,X,,
Bolivar,,,,X,X,,X,,X,X,,
Calhoun,,,,,X,,X,,X,X,,
Carroll,,,,X,X,,X,,X,X,,
Chickasaw,,,,,X,,X,,X,X,,
Choctaw,,,,,X,,X,,X,X,,
Claiborne,,,,X,X,,X,,X,X,,
Clarke,,X,,X,X,,X,,X,X,,
Clay,,,,X,X,,X,,X,X,,
Coahoma,,,,X,X,,X,,X,X,,X
Copiah,,,,,X,,X,,X,X,,
Covington,,,,,X,,X,,X,X,,
Desoto,,,,,X,,X,,X,X,,
Forrest,,,,X,X,,X,,X,X,,
Franklin,,,,,X,,X,,X,X,,
George,,,,X,X,,X,,X,X,,
Greene,,,,X,X,,X,,X,X,,
Grenada,,,,X,X,,X,,X,X,,
Hancock,,,,X,X,,X,,X,X,,
Harrison,,,,X,X,,X,,X,X,,
Hinds,,,,X,X,,X,,X,X,,
Holmes,,,,X,X,,X,,X,X,,
Humphreys,,,,X,X,,X,,X,X,,
Issaquena,,,,X,X,,X,,X,X,,
Itawamba,,,,,X,,X,,X,X,,
Jackson,,,,X,X,,X,,X,X,,
Jasper,,,,X,X,,X,,X,X,,
Jefferson,,,,X,X,,X,,X,X,,
Jefferson Davis,,,,,X,,X,,X,X,,
Jones,,,,X,X,,X,,X,X,,
Kemper,,,,X,X,,X,,X,X,,
Lafayette,,,,,X,,X,,X,X,,
Lamar,,,,X,X,,X,,X,X,,
Lauderdale,,,,X,X,,X,X,X,X,,
Lawrence,,,,,X,,X,,X,X,,
Leake,,,,X,X,,X,,X,X,,
Lee,,,,,X,,X,,X,X,,
Leflore,X,,,X,X,X,X,,X,X,,X
Lincoln,,,,,X,,X,,X,X,,
Lowndes,,,,X,X,,X,,X,X,,
Madison,,,,X,X,,X,,X,X,,
Marion,,,,,X,,X,,X,X,,
Marshall,,,,,X,,X,,X,X,,
Monroe,,,,,X,,X,,X,X,,
Montgomery,,,,X,X,,X,,X,X,,
Neshoba,,,,X,X,,X,,X,X,,
Newton,,,,X,X,,X,,X,X,,
Noxubee,,,,X,X,,X,,X,X,,
Oktibbeha,,,,X,X,,X,,X,X,,
Panola,,,,X,X,,X,,X,X,,
Pearl River,,,,X,X,,X,,X,X,,
Perry,,,,X,X,,X,,X,X,,
Pike,,,,,X,,X,,X,X,,
Pontotoc,,,,,X,,X,,X,X,,
Prentiss,,,,,X,,X,,X,X,,
Quitman,,,,X,X,,X,,X,X,,
Rankin,,,,X,X,,X,,X,X,,
Scott,,,,X,X,,X,,X,X,,
Sharkey,,,,X,X,,X,,X,X,,
Simpson,,,,,X,,X,,X,X,,
Smith,,,,X,X,,X,,X,X,,
Stone,,,,X,X,,X,,X,X,,
Sunflower,,,,X,X,,X,,X,X,X,
Tallahatchie,,,X,X,X,,X,,X,X,X,
Tate,,,,,X,,X,,X,X,,
Tippah,,,,,X,,X,,X,X,,
Tishomingo,,,,,X,,X,,X,X,,
Tunica,,,,X,X,,X,,X,X,X,
Union,,,,,X,,X,,X,X,,
Walthall,,,,,X,,X,,X,X,,
Warren,,,,X,X,,X,,X,X,,
Washington,,,,X,X,,X,,X,X,,
Wayne,,,,X,X,,X,,X,X,,
Webster,,,,,X,,X,,X,X,,
Wilkinson,,,,,X,,X,,X,X,,
Winston,,,,X,X,,X,,X,X,,
Yalobusha,,,,,X,,X,,X,X,,
Yazoo,,,,X,X,,X,,X,X,X,
