county,precinct,office,district,candidate,party,votes,winner
Bolivar,Beulah,Governor,,Phil Bryant,R,16,
Bolivar,Beulah,Governor,,Johnny L. DuPree,D,115,
Bolivar,Benolt Precinct,Governor,,Phil Bryant,R,86,
Bolivar,Benolt Precinct,Governor,,Johnny L. DuPree,D,130,
Bolivar,Boyle,Governor,,Phil Bryant,R,399,
Bolivar,Boyle,Governor,,Johnny L. DuPree,D,120,
Bolivar,Cleveland Courthouse,Governor,,Phil Bryant,R,180,
Bolivar,Cleveland Courthouse,Governor,,Johnny L. DuPree,D,35,
Bolivar,Choctaw,Governor,,Phil Bryant,R,32,
Bolivar,Choctaw,Governor,,Johnny L. DuPree,D,101,
Bolivar,Duncan-Alligator,Governor,,Phil Bryant,R,58,
Bolivar,Duncan-Alligator,Governor,,Johnny L. DuPree,D,124,
Bolivar,East Central Cleveland,Governor,,Phil Bryant,R,7,
Bolivar,East Central Cleveland,Governor,,Johnny L. DuPree,D,297,
Bolivar,Eastgate,Governor,,Phil Bryant,R,63,
Bolivar,Eastgate,Governor,,Johnny L. DuPree,D,328,
Bolivar,East Rosedale,Governor,,Phil Bryant,R,21,
Bolivar,East Rosedale,Governor,,Johnny L. DuPree,D,294,
Bolivar,East Cleveland,Governor,,Phil Bryant,R,33,
Bolivar,East Cleveland,Governor,,Johnny L. DuPree,D,827,
Bolivar,Gunnison,Governor,,Phil Bryant,R,66,
Bolivar,Gunnison,Governor,,Johnny L. DuPree,D,151,
Bolivar,Longshot,Governor,,Phil Bryant,R,47,
Bolivar,Longshot,Governor,,Johnny L. DuPree,D,17,
Bolivar,Mound Bayou,Governor,,Phil Bryant,R,66,
Bolivar,Mound Bayou,Governor,,Johnny L. DuPree,D,720,
Bolivar,Merigold,Governor,,Phil Bryant,R,106,
Bolivar,Merigold,Governor,,Johnny L. DuPree,D,111,
Bolivar,North Cleveland,Governor,,Phil Bryant,R,99,
Bolivar,North Cleveland,Governor,,Johnny L. DuPree,D,223,
Bolivar,North West Cleveland,Governor,,Phil Bryant,R,570,
Bolivar,North West Cleveland,Governor,,Johnny L. DuPree,D,53,
Bolivar,Pace,Governor,,Phil Bryant,R,51,
Bolivar,Pace,Governor,,Johnny L. DuPree,D,162,
Bolivar,Renova,Governor,,Phil Bryant,R,10,
Bolivar,Renova,Governor,,Johnny L. DuPree,D,193,
Bolivar,Shelby Precinct,Governor,,Phil Bryant,R,91,
Bolivar,Shelby Precinct,Governor,,Johnny L. DuPree,D,645,
Bolivar,South Cleveland,Governor,,Phil Bryant,R,39,
Bolivar,South Cleveland,Governor,,Johnny L. DuPree,D,542,
Bolivar,Scott,Governor,,Phil Bryant,R,41,
Bolivar,Scott,Governor,,Johnny L. DuPree,D,46,
Bolivar,Skene,Governor,,Phil Bryant,R,151,
Bolivar,Skene,Governor,,Johnny L. DuPree,D,12,
Bolivar,Stringtown,Governor,,Phil Bryant,R,31,
Bolivar,Stringtown,Governor,,Johnny L. DuPree,D,6,
Bolivar,Shaw,Governor,,Phil Bryant,R,155,
Bolivar,Shaw,Governor,,Johnny L. DuPree,D,618,
Bolivar,West Central Cleveland,Governor,,Phil Bryant,R,597,
Bolivar,West Central Cleveland,Governor,,Johnny L. DuPree,D,75,
Bolivar,West Rosedale,Governor,,Phil Bryant,R,79,
Bolivar,West Rosedale,Governor,,Johnny L. DuPree,D,236,
Bolivar,West Cleveland,Governor,,Phil Bryant,R,977,
Bolivar,West Cleveland,Governor,,Johnny L. DuPree,D,142,
Bolivar,Winstonville,Governor,,Phil Bryant,R,12,
Bolivar,Winstonville,Governor,,Johnny L. DuPree,D,159,
Bolivar,Beulah,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,54,
Bolivar,Beulah,Lieutenant Governor,,Tate Reeves,R,26,
Bolivar,Benolt Precinct,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,55,
Bolivar,Benolt Precinct,Lieutenant Governor,,Tate Reeves,R,103,
Bolivar,Boyle,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,53,
Bolivar,Boyle,Lieutenant Governor,,Tate Reeves,R,413,
Bolivar,Cleveland Courthouse,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,20,
Bolivar,Cleveland Courthouse,Lieutenant Governor,,Tate Reeves,R,191,
Bolivar,Choctaw,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,47,
Bolivar,Choctaw,Lieutenant Governor,,Tate Reeves,R,56,
