county,precinct,office,district,candidate,party,votes,winner
Hinds,Precinct 01,Governor,,Phil Bryant,R,111,
Hinds,Precinct 01,Governor,,Johnny L. DuPree,D,265,
Hinds,Precinct 02,Governor,,Phil Bryant,R,3,
Hinds,Precinct 02,Governor,,Johnny L. DuPree,D,89,
Hinds,Precinct 04,Governor,,Phil Bryant,R,7,
Hinds,Precinct 04,Governor,,Johnny L. DuPree,D,251,
Hinds,Precinct 06,Governor,,Phil Bryant,R,22,
Hinds,Precinct 06,Governor,,Johnny L. DuPree,D,209,
Hinds,Precinct 08,Governor,,Phil Bryant,R,195,
Hinds,Precinct 08,Governor,,Johnny L. DuPree,D,253,
Hinds,Precinct 09,Governor,,Phil Bryant,R,404,
Hinds,Precinct 09,Governor,,Johnny L. DuPree,D,306,
Hinds,Precinct 10,Governor,,Phil Bryant,R,6,
Hinds,Precinct 10,Governor,,Johnny L. DuPree,D,173,
Hinds,Precinct 11,Governor,,Phil Bryant,R,4,
Hinds,Precinct 11,Governor,,Johnny L. DuPree,D,212,
Hinds,Precinct 12,Governor,,Phil Bryant,R,5,
Hinds,Precinct 12,Governor,,Johnny L. DuPree,D,300,
Hinds,Precinct 13,Governor,,Phil Bryant,R,7,
Hinds,Precinct 13,Governor,,Johnny L. DuPree,D,307,
Hinds,Precinct 14,Governor,,Phil Bryant,R,343,
Hinds,Precinct 14,Governor,,Johnny L. DuPree,D,155,
Hinds,Precinct 16,Governor,,Phil Bryant,R,174,
Hinds,Precinct 16,Governor,,Johnny L. DuPree,D,375,
Hinds,Precinct 17,Governor,,Phil Bryant,R,213,
Hinds,Precinct 17,Governor,,Johnny L. DuPree,D,186,
Hinds,Precinct 18,Governor,,Phil Bryant,R,7,
Hinds,Precinct 18,Governor,,Johnny L. DuPree,D,244,
Hinds,Precinct 19,Governor,,Phil Bryant,R,1,
Hinds,Precinct 19,Governor,,Johnny L. DuPree,D,68,
Hinds,Precinct 20,Governor,,Phil Bryant,R,9,
Hinds,Precinct 20,Governor,,Johnny L. DuPree,D,286,
Hinds,Precinct 21,Governor,,Phil Bryant,R,5,
Hinds,Precinct 21,Governor,,Johnny L. DuPree,D,186,
Hinds,Precinct 22,Governor,,Phil Bryant,R,14,
Hinds,Precinct 22,Governor,,Johnny L. DuPree,D,687,
Hinds,Precinct 23,Governor,,Phil Bryant,R,12,
Hinds,Precinct 23,Governor,,Johnny L. DuPree,D,539,
Hinds,Precinct 24,Governor,,Phil Bryant,R,20,
Hinds,Precinct 24,Governor,,Johnny L. DuPree,D,299,
Hinds,Precinct 25,Governor,,Phil Bryant,R,24,
