county,precinct,office,district,candidate,party,votes,winner
Claiborne,County Precinct 1-A,Governor,,Johnny L. DuPree,D,94,
Claiborne,County Precinct 1-A,Governor,,Phil Bryant,R,57,
Claiborne,County Precinct 1-B,Governor,,Johnny L. DuPree,D,393,
Claiborne,County Precinct 1-B,Governor,,Phil Bryant,R,43,
Claiborne,County Precinct 1-C,Governor,,Johnny L. DuPree,D,280,
Claiborne,County Precinct 1-C,Governor,,Phil Bryant,R,4,
Claiborne,County Precinct 2,Governor,,Johnny L. DuPree,D,685,
Claiborne,County Precinct 2,Governor,,Phil Bryant,R,64,
Claiborne,County Precinct 3-A,Governor,,Johnny L. DuPree,D,381,
Claiborne,County Precinct 3-A,Governor,,Phil Bryant,R,244,
Claiborne,County Precinct 3-B,Governor,,Johnny L. DuPree,D,36,
Claiborne,County Precinct 3-B,Governor,,Phil Bryant,R,81,
Claiborne,County Precinct 4-A,Governor,,Johnny L. DuPree,D,307,
Claiborne,County Precinct 4-A,Governor,,Phil Bryant,R,29,
Claiborne,County Precinct 4-B,Governor,,Johnny L. DuPree,D,364,
Claiborne,County Precinct 4-B,Governor,,Phil Bryant,R,50,
Claiborne,County Precinct 4-C,Governor,,Johnny L. DuPree,D,65,
Claiborne,County Precinct 4-C,Governor,,Phil Bryant,R,0,
Claiborne,County Precinct 5-A,Governor,,Johnny L. DuPree,D,366,
Claiborne,County Precinct 5-A,Governor,,Phil Bryant,R,34,
Claiborne,County Precinct 5-B,Governor,,Johnny L. DuPree,D,167,
Claiborne,County Precinct 5-B,Governor,,Phil Bryant,R,21,
Claiborne,County Precinct 1-A,Lieutenant Governor,,Tate Reeves,R,92,
Claiborne,County Precinct 1-A,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,35,
Claiborne,County Precinct 1-B,Lieutenant Governor,,Tate Reeves,R,176,
Claiborne,County Precinct 1-B,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,187,
Claiborne,County Precinct 1-C,Lieutenant Governor,,Tate Reeves,R,95,
Claiborne,County Precinct 1-C,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,151,
Claiborne,County Precinct 2,Lieutenant Governor,,Tate Reeves,R,327,
