candidate,office,district,party,county,precinct,votes,winner,
James Broadwater,Governor,,R,Carroll,430 School,0,,
Phil Bryant,Governor,,R,Carroll,430 School,1,,
Dave Dennis,Governor,,R,Carroll,430 School,3,,
Hudson Holliday,Governor,,R,Carroll,430 School,0,,
Ron Williams,Governor,,R,Carroll,430 School,1,,
James Broadwater,Governor,,R,Carroll,Black Hawk,0,,
Phil Bryant,Governor,,R,Carroll,Black Hawk,5,,
Dave Dennis,Governor,,R,Carroll,Black Hawk,0,,
Hudson Holliday,Governor,,R,Carroll,Black Hawk,2,,
Ron Williams,Governor,,R,Carroll,Black Hawk,0,,
James Broadwater,Governor,,R,Carroll,Calvary,0,,
Phil Bryant,Governor,,R,Carroll,Calvary,0,,
Dave Dennis,Governor,,R,Carroll,Calvary,0,,
Hudson Holliday,Governor,,R,Carroll,Calvary,0,,
Ron Williams,Governor,,R,Carroll,Calvary,0,,
James Broadwater,Governor,,R,Carroll,Carrollton,0,,
Phil Bryant,Governor,,R,Carroll,Carrollton,6,,
Dave Dennis,Governor,,R,Carroll,Carrollton,2,,
Hudson Holliday,Governor,,R,Carroll,Carrollton,0,,
Ron Williams,Governor,,R,Carroll,Carrollton,1,,
James Broadwater,Governor,,R,Carroll,East Vaiden,0,,
Phil Bryant,Governor,,R,Carroll,East Vaiden,9,,
Dave Dennis,Governor,,R,Carroll,East Vaiden,4,,
Hudson Holliday,Governor,,R,Carroll,East Vaiden,0,,
Ron Williams,Governor,,R,Carroll,East Vaiden,1,,
James Broadwater,Governor,,R,Carroll,Fire Tower,0,,
Phil Bryant,Governor,,R,Carroll,Fire Tower,6,,
Dave Dennis,Governor,,R,Carroll,Fire Tower,0,,
Hudson Holliday,Governor,,R,Carroll,Fire Tower,0,,
Ron Williams,Governor,,R,Carroll,Fire Tower,0,,
James Broadwater,Governor,,R,Carroll,Gravel Hill,0,,
Phil Bryant,Governor,,R,Carroll,Gravel Hill,19,,
Dave Dennis,Governor,,R,Carroll,Gravel Hill,4,,
Hudson Holliday,Governor,,R,Carroll,Gravel Hill,0,,
Ron Williams,Governor,,R,Carroll,Gravel Hill,0,,
James Broadwater,Governor,,R,Carroll,Rays Shop,1,,
Phil Bryant,Governor,,R,Carroll,Rays Shop,12,,
Dave Dennis,Governor,,R,Carroll,Rays Shop,4,,
Hudson Holliday,Governor,,R,Carroll,Rays Shop,0,,
Ron Williams,Governor,,R,Carroll,Rays Shop,1,,
James Broadwater,Governor,,R,Carroll,Salem,0,,
Phil Bryant,Governor,,R,Carroll,Salem,6,,
Dave Dennis,Governor,,R,Carroll,Salem,1,,
Hudson Holliday,Governor,,R,Carroll,Salem,0,,
Ron Williams,Governor,,R,Carroll,Salem,0,,
James Broadwater,Governor,,R,Carroll,West Carroll,0,,
Phil Bryant,Governor,,R,Carroll,West Carroll,19,,
Dave Dennis,Governor,,R,Carroll,West Carroll,5,,
Hudson Holliday,Governor,,R,Carroll,West Carroll,0,,
Ron Williams,Governor,,R,Carroll,West Carroll,0,,
James Broadwater,Governor,,R,Carroll,West Vaiden,0,,
Phil Bryant,Governor,,R,Carroll,West Vaiden,5,,
Dave Dennis,Governor,,R,Carroll,West Vaiden,1,,
Hudson Holliday,Governor,,R,Carroll,West Vaiden,0,,
Ron Williams,Governor,,R,Carroll,West Vaiden,0,,
James Broadwater,Governor,,R,Carroll,McCarley,0,,
Phil Bryant,Governor,,R,Carroll,McCarley,4,,
Dave Dennis,Governor,,R,Carroll,McCarley,2,,
Hudson Holliday,Governor,,R,Carroll,McCarley,0,,
Ron Williams,Governor,,R,Carroll,McCarley,0,,
James Broadwater,Governor,,R,Carroll,North Carrollton,0,,
Phil Bryant,Governor,,R,Carroll,North Carrollton,2,,
Dave Dennis,Governor,,R,Carroll,North Carrollton,0,,
Hudson Holliday,Governor,,R,Carroll,North Carrollton,0,,
Ron Williams,Governor,,R,Carroll,North Carrollton,1,,
James Broadwater,Governor,,R,Carroll,Jefferson,0,,
Phil Bryant,Governor,,R,Carroll,Jefferson,2,,
Dave Dennis,Governor,,R,Carroll,Jefferson,0,,
Hudson Holliday,Governor,,R,Carroll,Jefferson,0,,
Ron Williams,Governor,,R,Carroll,Jefferson,0,,
James Broadwater,Governor,,R,Carroll,TOTAL,1,,
Phil Bryant,Governor,,R,Carroll,TOTAL,96,,
Dave Dennis,Governor,,R,Carroll,TOTAL,26,,
Hudson Holliday,Governor,,R,Carroll,TOTAL,2,,
Ron Williams,Governor,,R,Carroll,TOTAL,5,,
Billy Hewes,Lieutenant Governor,,R,Carroll,430 School,3,,
Tate Reeves,Lieutenant Governor,,R,Carroll,430 School,2,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Black Hawk,2,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Black Hawk,5,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Calvary,0,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Calvary,0,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Carrollton,4,,
