county,precinct,office,district,candidate,party,votes,winner
Alcorn,Bethel,Governor,,Phil Bryant,R,63,
Alcorn,Bethel,Governor,,Johnny L. DuPree,D,15,
Alcorn,Biggersville,Governor,,Phil Bryant,R,389,
Alcorn,Biggersville,Governor,,Johnny L. DuPree,D,160,
Alcorn,2nd District Central Precinct,Governor,,Phil Bryant,R,831,
Alcorn,2nd District Central Precinct,Governor,,Johnny L. DuPree,D,260,
Alcorn,College Hill,Governor,,Phil Bryant,R,803,
Alcorn,College Hill,Governor,,Johnny L. DuPree,D,319,
Alcorn,East Third Street,Governor,,Phil Bryant,R,234,
Alcorn,East Third Street,Governor,,Johnny L. DuPree,D,85,
Alcorn,East Corinth,Governor,,Phil Bryant,R,682,
Alcorn,East Corinth,Governor,,Johnny L. DuPree,D,268,
Alcorn,Five Points 1st Dist,Governor,,Phil Bryant,R,798,
Alcorn,Five Points 1st Dist,Governor,,Johnny L. DuPree,D,233,
Alcorn,Glen,Governor,,Phil Bryant,R,546,
Alcorn,Glen,Governor,,Johnny L. DuPree,D,236,
Alcorn,Jacinto,Governor,,Phil Bryant,R,186,
Alcorn,Jacinto,Governor,,Johnny L. DuPree,D,66,
Alcorn,Kossuth,Governor,,Phil Bryant,R,975,
Alcorn,Kossuth,Governor,,Johnny L. DuPree,D,211,
Alcorn,North Corinth,Governor,,Phil Bryant,R,611,
Alcorn,North Corinth,Governor,,Johnny L. DuPree,D,152,
Alcorn,Rienzi,Governor,,Phil Bryant,R,492,
Alcorn,Rienzi,Governor,,Johnny L. DuPree,D,206,
Alcorn,South Corinth,Governor,,Phil Bryant,R,294,
Alcorn,South Corinth,Governor,,Johnny L. DuPree,D,422,
Alcorn,Union Center,Governor,,Phil Bryant,R,551,
Alcorn,Union Center,Governor,,Johnny L. DuPree,D,199,
Alcorn,West Corinth,Governor,,Phil Bryant,R,295,
Alcorn,West Corinth,Governor,,Johnny L. DuPree,D,97,
Alcorn,Wenasoga,Governor,,Phil Bryant,R,460,
Alcorn,Wenasoga,Governor,,Johnny L. DuPree,D,181,
Alcorn,Bethel,Lieutenant Governor,,Tate Reeves,R,70,
Alcorn,Bethel,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,8,
Alcorn,Biggersville,Lieutenant Governor,,Tate Reeves,R,432,
Alcorn,Biggersville,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,55,
Alcorn,2nd District Central Precinct,Lieutenant Governor,,Tate Reeves,R,884,
Alcorn,2nd District Central Precinct,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,136,
Alcorn,College Hill,Lieutenant Governor,,Tate Reeves,R,886,
Alcorn,College Hill,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,156,
Alcorn,East Third Street,Lieutenant Governor,,Tate Reeves,R,259,
Alcorn,East Third Street,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,33,
Alcorn,East Corinth,Lieutenant Governor,,Tate Reeves,R,736,
Alcorn,East Corinth,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,105,
Alcorn,Five Points 1st Dist,Lieutenant Governor,,Tate Reeves,R,863,
Alcorn,Five Points 1st Dist,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,124,
Alcorn,Glen,Lieutenant Governor,,Tate Reeves,R,642,
Alcorn,Glen,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,99,
Alcorn,Jacinto,Lieutenant Governor,,Tate Reeves,R,208,
Alcorn,Jacinto,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,34,
Alcorn,Kossuth,Lieutenant Governor,,Tate Reeves,R,1057,
