county,precinct,office,district,candidate,party,votes,winner
Benton,Ashland Precinct District 3,Governor,,Johnny L. DuPree,D,268,
Benton,Ashland Precinct District 3,Governor,,Phil Bryant,R,407,
Benton,Canaan Precinct District 1,Governor,,Johnny L. DuPree,D,432,
Benton,Canaan Precinct District 1,Governor,,Phil Bryant,R,335,
Benton,Floyd Precinct Dist 4,Governor,,Johnny L. DuPree,D,175,
Benton,Floyd Precinct Dist 4,Governor,,Phil Bryant,R,421,
Benton,Hickory Flat Prec Dist 5,Governor,,Johnny L. DuPree,D,167,
Benton,Hickory Flat Prec Dist 5,Governor,,Phil Bryant,R,592,
Benton,Lamar Precinct District 2,Governor,,Johnny L. DuPree,D,463,
Benton,Lamar Precinct District 2,Governor,,Phil Bryant,R,169,
Benton,Ashland Precinct District 3,Lieutenant Governor,,Tate Reeves,R,456,
Benton,Ashland Precinct District 3,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,124,
Benton,Canaan Precinct District 1,Lieutenant Governor,,Tate Reeves,R,433,
Benton,Canaan Precinct District 1,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,203,
Benton,Floyd Precinct Dist 4,Lieutenant Governor,,Tate Reeves,R,464,
Benton,Floyd Precinct Dist 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,67,
Benton,Hickory Flat Prec Dist 5,Lieutenant Governor,,Tate Reeves,R,635,
Benton,Hickory Flat Prec Dist 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,73,
Benton,Lamar Precinct District 2,Lieutenant Governor,,Tate Reeves,R,287,
Benton,Lamar Precinct District 2,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,193,
Benton,Ashland Precinct District 3,Secretary of State,,Delbert Hosemann,R,492,
Benton,Canaan Precinct District 1,Secretary of State,,Delbert Hosemann,R,498,
Benton,Floyd Precinct Dist 4,Secretary of State,,Delbert Hosemann,R,463,
Benton,Hickory Flat Prec Dist 5,Secretary of State,,Delbert Hosemann,R,601,
Benton,Lamar Precinct District 2,Secretary of State,,Delbert Hosemann,R,348,
