county,precinct,office,district,candidate,party,votes,winner
DeSoto,Ingrams Mill,Governor,,Phil Bryant,R,370,
DeSoto,Ingrams Mill,Governor,,Johnny L. DuPree,D,149,
DeSoto,Lewisburg East,Governor,,Phil Bryant,R,226,
DeSoto,Lewisburg East,Governor,,Johnny L. DuPree,D,20,
DeSoto,Miller,Governor,,Phil Bryant,R,995,
DeSoto,Miller,Governor,,Johnny L. DuPree,D,384,
DeSoto,Fairhaven,Governor,,Phil Bryant,R,538,
DeSoto,Fairhaven,Governor,,Johnny L. DuPree,D,282,
DeSoto,Olive Branch South,Governor,,Phil Bryant,R,1205,
DeSoto,Olive Branch South,Governor,,Johnny L. DuPree,D,225,
DeSoto,Olive Branch North,Governor,,Phil Bryant,R,750,
DeSoto,Olive Branch North,Governor,,Johnny L. DuPree,D,229,
DeSoto,Mineral Wells,Governor,,Phil Bryant,R,1050,
DeSoto,Mineral Wells,Governor,,Johnny L. DuPree,D,247,
DeSoto,Greenbrook North,Governor,,Phil Bryant,R,754,
DeSoto,Greenbrook North,Governor,,Johnny L. DuPree,D,379,
DeSoto,Southaven North,Governor,,Phil Bryant,R,895,
DeSoto,Southaven North,Governor,,Johnny L. DuPree,D,187,
DeSoto,Greenbrook South,Governor,,Phil Bryant,R,1413,
DeSoto,Greenbrook South,Governor,,Johnny L. DuPree,D,314,
DeSoto,Summershill,Governor,,Phil Bryant,R,959,
DeSoto,Summershill,Governor,,Johnny L. DuPree,D,223,
DeSoto,Pleasant Hill North,Governor,,Phil Bryant,R,990,
DeSoto,Pleasant Hill North,Governor,,Johnny L. DuPree,D,152,
DeSoto,Elmore,Governor,,Phil Bryant,R,425,
DeSoto,Elmore,Governor,,Johnny L. DuPree,D,81,
DeSoto,Cherry Valley,Governor,,Phil Bryant,R,435,
DeSoto,Cherry Valley,Governor,,Johnny L. DuPree,D,83,
DeSoto,Southaven West,Governor,,Phil Bryant,R,612,
DeSoto,Southaven West,Governor,,Johnny L. DuPree,D,259,
DeSoto,Horn Lake North,Governor,,Phil Bryant,R,374,
DeSoto,Horn Lake North,Governor,,Johnny L. DuPree,D,256,
DeSoto,Horn Lake West,Governor,,Phil Bryant,R,417,
DeSoto,Horn Lake West,Governor,,Johnny L. DuPree,D,248,
DeSoto,Walls,Governor,,Phil Bryant,R,725,
DeSoto,Walls,Governor,,Johnny L. DuPree,D,343,
DeSoto,Lake Cormorant,Governor,,Phil Bryant,R,173,
DeSoto,Lake Cormorant,Governor,,Johnny L. DuPree,D,80,
DeSoto,Southaven South,Governor,,Phil Bryant,R,151,
DeSoto,Southaven South,Governor,,Johnny L. DuPree,D,160,
DeSoto,Horn Lake East,Governor,,Phil Bryant,R,299,
DeSoto,Horn Lake East,Governor,,Johnny L. DuPree,D,252,
DeSoto,Nesbit West,Governor,,Phil Bryant,R,625,
DeSoto,Nesbit West,Governor,,Johnny L. DuPree,D,231,
DeSoto,Eudora,Governor,,Phil Bryant,R,761,
DeSoto,Eudora,Governor,,Johnny L. DuPree,D,189,
DeSoto,Desoto Central,Governor,,Phil Bryant,R,1224,
DeSoto,Desoto Central,Governor,,Johnny L. DuPree,D,336,
DeSoto,Nesbit East,Governor,,Phil Bryant,R,548,
DeSoto,Nesbit East,Governor,,Johnny L. DuPree,D,223,
DeSoto,Bridgetown,Governor,,Phil Bryant,R,962,
DeSoto,Bridgetown,Governor,,Johnny L. DuPree,D,164,
DeSoto,Lewisburg,Governor,,Phil Bryant,R,1043,
DeSoto,Lewisburg,Governor,,Johnny L. DuPree,D,214,
DeSoto,Hernando East,Governor,,Phil Bryant,R,2207,
DeSoto,Hernando East,Governor,,Johnny L. DuPree,D,316,
DeSoto,Hernando West,Governor,,Phil Bryant,R,1225,
DeSoto,Hernando West,Governor,,Johnny L. DuPree,D,419,
DeSoto,Love,Governor,,Phil Bryant,R,673,
DeSoto,Love,Governor,,Johnny L. DuPree,D,118,
DeSoto,Alphaba-Cockrum,Governor,,Phil Bryant,R,429,
DeSoto,Alphaba-Cockrum,Governor,,Johnny L. DuPree,D,54,
