candidate,office,district,party,county,precinct,votes,winner,
Phil Bryant,Governor,,R,Copiah,Beauregard,394,,
Johnny L. DuPree,Governor,,D,Copiah,Beauregard,99,,
Phil Bryant,Governor,,R,Copiah,Centerpoint,386,,
Johnny L. DuPree,Governor,,D,Copiah,Centerpoint,222,,
Phil Bryant,Governor,,R,Copiah,Carpenter,59,,
Johnny L. DuPree,Governor,,D,Copiah,Carpenter,104,,
Phil Bryant,Governor,,R,Copiah,Crystal Springs East,894,,
Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs East,420,,
Phil Bryant,Governor,,R,Copiah,Crystal Springs North,86,,
Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs North,197,,
Phil Bryant,Governor,,R,Copiah,Crystal Springs South,354,,
Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs South,595,,
Phil Bryant,Governor,,R,Copiah,Crystal Springs West,388,,
Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs West,243,,
Phil Bryant,Governor,,R,Copiah,Dentville,118,,
Johnny L. DuPree,Governor,,D,Copiah,Dentville,28,,
Phil Bryant,Governor,,R,Copiah,Georgetown North,67,,
Johnny L. DuPree,Governor,,D,Copiah,Georgetown North,120,,
Phil Bryant,Governor,,R,Copiah,Georgetown South,186,,
Johnny L. DuPree,Governor,,D,Copiah,Georgetown South,94,,
Phil Bryant,Governor,,R,Copiah,Hazlehurst East,45,,
Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst East,605,,
Phil Bryant,Governor,,R,Copiah,Hazlehurst North,73,,
Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst North,103,,
Phil Bryant,Governor,,R,Copiah,Hazlehurst South,108,,
Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst South,217,,
Phil Bryant,Governor,,R,Copiah,Hazlehurst West,240,,
Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst West,700,,
Phil Bryant,Governor,,R,Copiah,Martinsville,102,,
Johnny L. DuPree,Governor,,D,Copiah,Martinsville,161,,
Phil Bryant,Governor,,R,Copiah,Shady Grove,237,,
Johnny L. DuPree,Governor,,D,Copiah,Shady Grove,64,,
Phil Bryant,Governor,,R,Copiah,Stronghope Union,266,,
Johnny L. DuPree,Governor,,D,Copiah,Stronghope Union,21,,
Phil Bryant,Governor,,R,Copiah,Wesson,395,,
Johnny L. DuPree,Governor,,D,Copiah,Wesson,66,,
Phil Bryant,Governor,,R,Copiah,Gallman,675,,
Johnny L. DuPree,Governor,,D,Copiah,Gallman,450,,
Phil Bryant,Governor,,R,Copiah,TOTAL,5073,,
Johnny L. DuPree,Governor,,D,Copiah,TOTAL,4509,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Beauregard,433,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Beauregard,47,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Centerpoint,450,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Centerpoint,102,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Carpenter,90,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Carpenter,53,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs East,1048,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Crystal Springs East,177,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs North,157,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Crystal Springs North,95,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs South,559,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Crystal Springs South,271,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs West,463,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Crystal Springs West,113,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Dentville,127,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Dentville,17,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Georgetown North,107,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Georgetown North,64,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Georgetown South,209,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Georgetown South,45,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst East,243,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Hazlehurst East,281,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst North,112,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Hazlehurst North,40,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst South,175,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Hazlehurst South,102,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst West,471,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Hazlehurst West,312,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Martinsville,153,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Martinsville,71,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Shady Grove,261,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Shady Grove,28,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Stronghope Union,269,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Stronghope Union,15,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Wesson,418,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Wesson,29,,
Tate Reeves,Lieutenant Governor,,R,Copiah,Gallman,812,,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,Gallman,220,,
Tate Reeves,Lieutenant Governor,,R,Copiah,TOTAL,6557,,
