county,precinct,office,district,candidate,party,votes,winner
Grenada,Box 1,Governor,,Phil Bryant,R,509,
Grenada,Box 1,Governor,,Johnny L. DuPree,D,53,
Grenada,Box 2 Grenada Co Office,Governor,,Phil Bryant,R,210,
Grenada,Box 2 Grenada Co Office,Governor,,Johnny L. DuPree,D,320,
Grenada,Box 3 City Auditorium,Governor,,Phil Bryant,R,215,
Grenada,Box 3 City Auditorium,Governor,,Johnny L. DuPree,D,668,
Grenada,Holcomb Community Center,Governor,,Phil Bryant,R,400,
Grenada,Holcomb Community Center,Governor,,Johnny L. DuPree,D,121,
Grenada,Box 4,Governor,,Phil Bryant,R,192,
Grenada,Box 4,Governor,,Johnny L. DuPree,D,902,
Grenada,Box 5,Governor,,Phil Bryant,R,770,
Grenada,Box 5,Governor,,Johnny L. DuPree,D,177,
Grenada,Tie Plant,Governor,,Phil Bryant,R,526,
Grenada,Tie Plant,Governor,,Johnny L. DuPree,D,263,
Grenada,Elliott Vol Fire Station,Governor,,Phil Bryant,R,205,
Grenada,Elliott Vol Fire Station,Governor,,Johnny L. DuPree,D,43,
Grenada,Sweethome Hol #2 Fire Stat,Governor,,Phil Bryant,R,161,
Grenada,Sweethome Hol #2 Fire Stat,Governor,,Johnny L. DuPree,D,65,
Grenada,Gore Springs Comm Center,Governor,,Phil Bryant,R,266,
Grenada,Gore Springs Comm Center,Governor,,Johnny L. DuPree,D,92,
Grenada,Futheyville 1st Pentecost,Governor,,Phil Bryant,R,321,
Grenada,Futheyville 1st Pentecost,Governor,,Johnny L. DuPree,D,128,
Grenada,Providence Gore Spr Comm,Governor,,Phil Bryant,R,0,
Grenada,Providence Gore Spr Comm,Governor,,Johnny L. DuPree,D,0,
Grenada,Mt Nebo Parker's Grocery,Governor,,Phil Bryant,R,0,
Grenada,Mt Nebo Parker's Grocery,Governor,,Johnny L. DuPree,D,0,
Grenada,Pleasant Grove Commun Cen,Governor,,Phil Bryant,R,169,
Grenada,Pleasant Grove Commun Cen,Governor,,Johnny L. DuPree,D,229,
Grenada,Geeslin,Governor,,Phil Bryant,R,551,
Grenada,Geeslin,Governor,,Johnny L. DuPree,D,110,
Grenada,Hardy,Governor,,Phil Bryant,R,0,
Grenada,Hardy,Governor,,Johnny L. DuPree,D,0,
Grenada,Box 1,Lieutenant Governor,,Tate Reeves,R,532,
Grenada,Box 1,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,22,
Grenada,Box 2 Grenada Co Office,Lieutenant Governor,,Tate Reeves,R,261,
Grenada,Box 2 Grenada Co Office,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,146,
Grenada,Box 3 City Auditorium,Lieutenant Governor,,Tate Reeves,R,320,
Grenada,Box 3 City Auditorium,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,305,
Grenada,Holcomb Community Center,Lieutenant Governor,,Tate Reeves,R,430,
Grenada,Holcomb Community Center,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,68,
Grenada,Box 4,Lieutenant Governor,,Tate Reeves,R,325,
Grenada,Box 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,406,
Grenada,Box 5,Lieutenant Governor,,Tate Reeves,R,809,
Grenada,Box 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,90,
Grenada,Tie Plant,Lieutenant Governor,,Tate Reeves,R,586,
Grenada,Tie Plant,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,118,
Grenada,Elliott Vol Fire Station,Lieutenant Governor,,Tate Reeves,R,209,
Grenada,Elliott Vol Fire Station,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,25,
Grenada,Sweethome Hol #2 Fire Stat,Lieutenant Governor,,Tate Reeves,R,176,
Grenada,Sweethome Hol #2 Fire Stat,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,31,
Grenada,Gore Springs Comm Center,Lieutenant Governor,,Tate Reeves,R,277,
Grenada,Gore Springs Comm Center,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,43,
Grenada,Futheyville 1st Pentecost,Lieutenant Governor,,Tate Reeves,R,340,
Grenada,Futheyville 1st Pentecost,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,63,
Grenada,Providence Gore Spr Comm,Lieutenant Governor,,Tate Reeves,R,0,
Grenada,Providence Gore Spr Comm,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,0,
Grenada,Mt Nebo Parker's Grocery,Lieutenant Governor,,Tate Reeves,R,0,
Grenada,Mt Nebo Parker's Grocery,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,0,
Grenada,Pleasant Grove Commun Cen,Lieutenant Governor,,Tate Reeves,R,198,
Grenada,Pleasant Grove Commun Cen,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,99,
Grenada,Geeslin,Lieutenant Governor,,Tate Reeves,R,578,
Grenada,Geeslin,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,51,
Grenada,Hardy,Lieutenant Governor,,Tate Reeves,R,0,
Grenada,Hardy,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,0,
Grenada,Box 1,Secretary of State,,Delbert Hosemann,R,524,
Grenada,Box 2 Grenada Co Office,Secretary of State,,Delbert Hosemann,R,347,
Grenada,Box 3 City Auditorium,Secretary of State,,Delbert Hosemann,R,461,
Grenada,Holcomb Community Center,Secretary of State,,Delbert Hosemann,R,452,
Grenada,Box 4,Secretary of State,,Delbert Hosemann,R,525,
Grenada,Box 5,Secretary of State,,Delbert Hosemann,R,824,
Grenada,Tie Plant,Secretary of State,,Delbert Hosemann,R,625,
