county,precinct,office,district,candidate,party,votes,winner
Humphreys,Fourmile North - 1fn 1010,Governor,,Phil Bryant,R,29,
Humphreys,Fourmile North - 1fn 1010,Governor,,Johnny L. DuPree,D,1,
Humphreys,Belzoni North - 1bnh51 1020,Governor,,Phil Bryant,R,97,
Humphreys,Belzoni North - 1bnh51 1020,Governor,,Johnny L. DuPree,D,460,
Humphreys,Belzoni North - 1bnh34 1021,Governor,,Phil Bryant,R,50,
Humphreys,Belzoni North - 1bnh34 1021,Governor,,Johnny L. DuPree,D,9,
Humphreys,Isola North - 2ln 2010,Governor,,Phil Bryant,R,213,
Humphreys,Isola North - 2ln 2010,Governor,,Johnny L. DuPree,D,449,
Humphreys,Belzoni North - 2bn 2020,Governor,,Phil Bryant,R,19,
Humphreys,Belzoni North - 2bn 2020,Governor,,Johnny L. DuPree,D,209,
Humphreys,Gooden Lake North - 2gn 2030,Governor,,Phil Bryant,R,43,
Humphreys,Gooden Lake North - 2gn 2030,Governor,,Johnny L. DuPree,D,8,
Humphreys,Belzoni South - 3bs 3010,Governor,,Phil Bryant,R,26,
Humphreys,Belzoni South - 3bs 3010,Governor,,Johnny L. DuPree,D,230,
Humphreys,Silver City South - 3ss 3020,Governor,,Phil Bryant,R,100,
Humphreys,Silver City South - 3ss 3020,Governor,,Johnny L. DuPree,D,178,
Humphreys,Lale City South - 3ls 3030,Governor,,Phil Bryant,R,62,
Humphreys,Lale City South - 3ls 3030,Governor,,Johnny L. DuPree,D,13,
Humphreys,Belzoni North - 4bn 4010,Governor,,Phil Bryant,R,238,
Humphreys,Belzoni North - 4bn 4010,Governor,,Johnny L. DuPree,D,227,
Humphreys,Belzoni South - 4bs 4020,Governor,,Phil Bryant,R,156,
Humphreys,Belzoni South - 4bs 4020,Governor,,Johnny L. DuPree,D,185,
Humphreys,Putnam South - 4ps 4030,Governor,,Phil Bryant,R,148,
Humphreys,Putnam South - 4ps 4030,Governor,,Johnny L. DuPree,D,38,
Humphreys,Belzoni South - 5bs 5010,Governor,,Phil Bryant,R,16,
Humphreys,Belzoni South - 5bs 5010,Governor,,Johnny L. DuPree,D,208,
Humphreys,Midnight South - 5ms 5020,Governor,,Phil Bryant,R,55,
Humphreys,Midnight South - 5ms 5020,Governor,,Johnny L. DuPree,D,53,
Humphreys,Louise South - 5ls 5030,Governor,,Phil Bryant,R,115,
Humphreys,Louise South - 5ls 5030,Governor,,Johnny L. DuPree,D,234,
Humphreys,Fourmile North - 1fn 1010,Lieutenant Governor,,Tate Reeves,R,29,
Humphreys,Fourmile North - 1fn 1010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,1,
Humphreys,Belzoni North - 1bnh51 1020,Lieutenant Governor,,Tate Reeves,R,236,
Humphreys,Belzoni North - 1bnh51 1020,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,203,
Humphreys,Belzoni North - 1bnh34 1021,Lieutenant Governor,,Tate Reeves,R,56,
Humphreys,Belzoni North - 1bnh34 1021,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,3,
Humphreys,Isola North - 2ln 2010,Lieutenant Governor,,Tate Reeves,R,313,
Humphreys,Isola North - 2ln 2010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,215,
Humphreys,Belzoni North - 2bn 2020,Lieutenant Governor,,Tate Reeves,R,73,
Humphreys,Belzoni North - 2bn 2020,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,108,
Humphreys,Gooden Lake North - 2gn 2030,Lieutenant Governor,,Tate Reeves,R,45,
Humphreys,Gooden Lake North - 2gn 2030,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,2,
Humphreys,Belzoni South - 3bs 3010,Lieutenant Governor,,Tate Reeves,R,85,
Humphreys,Belzoni South - 3bs 3010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,132,
Humphreys,Silver City South - 3ss 3020,Lieutenant Governor,,Tate Reeves,R,137,
Humphreys,Silver City South - 3ss 3020,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,101,
Humphreys,Lale City South - 3ls 3030,Lieutenant Governor,,Tate Reeves,R,66,
Humphreys,Lale City South - 3ls 3030,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,4,
Humphreys,Belzoni North - 4bn 4010,Lieutenant Governor,,Tate Reeves,R,302,
Humphreys,Belzoni North - 4bn 4010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,104,
Humphreys,Belzoni South - 4bs 4020,Lieutenant Governor,,Tate Reeves,R,212,
Humphreys,Belzoni South - 4bs 4020,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,91,
Humphreys,Putnam South - 4ps 4030,Lieutenant Governor,,Tate Reeves,R,155,
Humphreys,Putnam South - 4ps 4030,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,19,
Humphreys,Belzoni South - 5bs 5010,Lieutenant Governor,,Tate Reeves,R,71,
Humphreys,Belzoni South - 5bs 5010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,116,
Humphreys,Midnight South - 5ms 5020,Lieutenant Governor,,Tate Reeves,R,75,
