county,precinct,office,district,candidate,party,votes,winner
Choctaw,District 5,Governor,,Phil Bryant,R,657,
Choctaw,District 5,Governor,,Johnny L. DuPree,D,105,
Choctaw,Chester,Governor,,Phil Bryant,R,140,
Choctaw,Chester,Governor,,Johnny L. DuPree,D,44,
Choctaw,East Weir,Governor,,Phil Bryant,R,63,
Choctaw,East Weir,Governor,,Johnny L. DuPree,D,164,
Choctaw,French Camp,Governor,,Phil Bryant,R,176,
Choctaw,French Camp,Governor,,Johnny L. DuPree,D,44,
Choctaw,Fentress,Governor,,Phil Bryant,R,169,
Choctaw,Fentress,Governor,,Johnny L. DuPree,D,55,
Choctaw,Hebron,Governor,,Phil Bryant,R,118,
Choctaw,Hebron,Governor,,Johnny L. DuPree,D,20,
Choctaw,Kenego,Governor,,Phil Bryant,R,158,
Choctaw,Kenego,Governor,,Johnny L. DuPree,D,14,
Choctaw,Panhandle,Governor,,Phil Bryant,R,110,
Choctaw,Panhandle,Governor,,Johnny L. DuPree,D,66,
Choctaw,Reform,Governor,,Phil Bryant,R,142,
Choctaw,Reform,Governor,,Johnny L. DuPree,D,80,
Choctaw,Sherwood,Governor,,Phil Bryant,R,226,
Choctaw,Sherwood,Governor,,Johnny L. DuPree,D,19,
Choctaw,Southwest Ackerman,Governor,,Phil Bryant,R,33,
Choctaw,Southwest Ackerman,Governor,,Johnny L. DuPree,D,141,
Choctaw,Bywy,Governor,,Phil Bryant,R,107,
Choctaw,Bywy,Governor,,Johnny L. DuPree,D,48,
Choctaw,West Weir,Governor,,Phil Bryant,R,126,
Choctaw,West Weir,Governor,,Johnny L. DuPree,D,68,
Choctaw,District 5,Lieutenant Governor,,Tate Reeves,R,681,
Choctaw,District 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,53,
Choctaw,Chester,Lieutenant Governor,,Tate Reeves,R,149,
Choctaw,Chester,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,24,
Choctaw,East Weir,Lieutenant Governor,,Tate Reeves,R,98,
Choctaw,East Weir,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,80,
Choctaw,French Camp,Lieutenant Governor,,Tate Reeves,R,183,
Choctaw,French Camp,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,18,
Choctaw,Fentress,Lieutenant Governor,,Tate Reeves,R,185,
Choctaw,Fentress,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,23,
Choctaw,Hebron,Lieutenant Governor,,Tate Reeves,R,127,
Choctaw,Hebron,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,9,
Choctaw,Kenego,Lieutenant Governor,,Tate Reeves,R,159,
Choctaw,Kenego,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,6,
Choctaw,Panhandle,Lieutenant Governor,,Tate Reeves,R,125,
Choctaw,Panhandle,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,27,
Choctaw,Reform,Lieutenant Governor,,Tate Reeves,R,150,
Choctaw,Reform,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,43,
Choctaw,Sherwood,Lieutenant Governor,,Tate Reeves,R,233,
Choctaw,Sherwood,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,12,
Choctaw,Southwest Ackerman,Lieutenant Governor,,Tate Reeves,R,59,
Choctaw,Southwest Ackerman,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,67,
Choctaw,Bywy,Lieutenant Governor,,Tate Reeves,R,118,
Choctaw,Bywy,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,23,
Choctaw,West Weir,Lieutenant Governor,,Tate Reeves,R,154,
Choctaw,West Weir,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,21,
Choctaw,District 5,Secretary of State,,Delbert Hosemann,R,685,
Choctaw,Chester,Secretary of State,,Delbert Hosemann,R,158,
Choctaw,East Weir,Secretary of State,,Delbert Hosemann,R,138,
Choctaw,French Camp,Secretary of State,,Delbert Hosemann,R,190,
Choctaw,Fentress,Secretary of State,,Delbert Hosemann,R,195,
Choctaw,Hebron,Secretary of State,,Delbert Hosemann,R,132,
Choctaw,Kenego,Secretary of State,,Delbert Hosemann,R,159,
Choctaw,Panhandle,Secretary of State,,Delbert Hosemann,R,132,
Choctaw,Reform,Secretary of State,,Delbert Hosemann,R,170,
Choctaw,Sherwood,Secretary of State,,Delbert Hosemann,R,238,
Choctaw,Southwest Ackerman,Secretary of State,,Delbert Hosemann,R,92,
Choctaw,Bywy,Secretary of State,,Delbert Hosemann,R,123,
Choctaw,West Weir,Secretary of State,,Delbert Hosemann,R,158,
Choctaw,District 5,Attorney General,,Jim Hood,D,410,
Choctaw,District 5,Attorney General,,Steve Simpson,R,348,
Choctaw,Chester,Attorney General,,Jim Hood,D,103,
Choctaw,Chester,Attorney General,,Steve Simpson,R,79,
Choctaw,East Weir,Attorney General,,Jim Hood,D,163,
Choctaw,East Weir,Attorney General,,Steve Simpson,R,53,
Choctaw,French Camp,Attorney General,,Jim Hood,D,102,
Choctaw,French Camp,Attorney General,,Steve Simpson,R,114,
Choctaw,Fentress,Attorney General,,Jim Hood,D,142,
Choctaw,Fentress,Attorney General,,Steve Simpson,R,79,
Choctaw,Hebron,Attorney General,,Jim Hood,D,65,
Choctaw,Hebron,Attorney General,,Steve Simpson,R,72,
Choctaw,Kenego,Attorney General,,Jim Hood,D,80,
Choctaw,Kenego,Attorney General,,Steve Simpson,R,89,
Choctaw,Panhandle,Attorney General,,Jim Hood,D,110,
Choctaw,Panhandle,Attorney General,,Steve Simpson,R,62,
Choctaw,Reform,Attorney General,,Jim Hood,D,133,
Choctaw,Reform,Attorney General,,Steve Simpson,R,83,
Choctaw,Sherwood,Attorney General,,Jim Hood,D,116,
Choctaw,Sherwood,Attorney General,,Steve Simpson,R,128,
Choctaw,Southwest Ackerman,Attorney General,,Jim Hood,D,144,
Choctaw,Southwest Ackerman,Attorney General,,Steve Simpson,R,21,
Choctaw,Bywy,Attorney General,,Jim Hood,D,92,
Choctaw,Bywy,Attorney General,,Steve Simpson,R,62,
Choctaw,West Weir,Attorney General,,Jim Hood,D,117,
Choctaw,West Weir,Attorney General,,Steve Simpson,R,67,
Choctaw,District 5,State Auditor,,Stacey E. Pickering,R,652,
Choctaw,District 5,State Auditor,,Ashley Norwood,Reform,72,
Choctaw,Chester,State Auditor,,Stacey E. Pickering,R,140,
Choctaw,Chester,State Auditor,,Ashley Norwood,Reform,24,
Choctaw,East Weir,State Auditor,,Stacey E. Pickering,R,82,
Choctaw,East Weir,State Auditor,,Ashley Norwood,Reform,89,
Choctaw,French Camp,State Auditor,,Stacey E. Pickering,R,172,
