county,precinct,office,district,candidate,party,votes,winner
Harrison,Biloxi # 1,Governor,,Phil Bryant,R,49,
Harrison,Biloxi # 1,Governor,,Johnny L. DuPree,D,15,
Harrison,Biloxi # 2,Governor,,Phil Bryant,R,77,
Harrison,Biloxi # 2,Governor,,Johnny L. DuPree,D,71,
Harrison,Biloxi # 3,Governor,,Phil Bryant,R,55,
Harrison,Biloxi # 3,Governor,,Johnny L. DuPree,D,159,
Harrison,Biloxi # 4,Governor,,Phil Bryant,R,27,
Harrison,Biloxi # 4,Governor,,Johnny L. DuPree,D,340,
Harrison,Biloxi # 5,Governor,,Phil Bryant,R,83,
Harrison,Biloxi # 5,Governor,,Johnny L. DuPree,D,74,
Harrison,Biloxi # 6,Governor,,Phil Bryant,R,39,
Harrison,Biloxi # 6,Governor,,Johnny L. DuPree,D,84,
Harrison,Biloxi # 7,Governor,,Phil Bryant,R,151,
Harrison,Biloxi # 7,Governor,,Johnny L. DuPree,D,86,
Harrison,Biloxi # 8,Governor,,Phil Bryant,R,297,
Harrison,Biloxi # 8,Governor,,Johnny L. DuPree,D,102,
Harrison,Biloxi Central,Governor,,Phil Bryant,R,154,
Harrison,Biloxi Central,Governor,,Johnny L. DuPree,D,72,
Harrison,Biloxi Bay,Governor,,Phil Bryant,R,330,
Harrison,Biloxi Bay,Governor,,Johnny L. DuPree,D,172,
Harrison,North Bay,Governor,,Phil Bryant,R,1253,
Harrison,North Bay,Governor,,Johnny L. DuPree,D,510,
Harrison,White Plains,Governor,,Phil Bryant,R,320,
Harrison,White Plains,Governor,,Johnny L. DuPree,D,72,
Harrison,Poplar Head,Governor,,Phil Bryant,R,137,
Harrison,Poplar Head,Governor,,Johnny L. DuPree,D,37,
Harrison,D'Iberville,Governor,,Phil Bryant,R,173,
Harrison,D'Iberville,Governor,,Johnny L. DuPree,D,46,
Harrison,Advance,Governor,,Phil Bryant,R,438,
Harrison,Advance,Governor,,Johnny L. DuPree,D,103,
Harrison,East Lizana,Governor,,Phil Bryant,R,495,
Harrison,East Lizana,Governor,,Johnny L. DuPree,D,102,
Harrison,East Lyman,Governor,,Phil Bryant,R,424,
