page,candidate,office,district,party,county,precinct,votes,winner,
2,Phil Bryant,Governor,,R,Hancock,Ansley,70,,
2,Johnny L. DuPree,Governor,,D,Hancock,Ansley,26,,
2,Phil Bryant,Governor,,R,Hancock,Lakeshore,369,,
2,Johnny L. DuPree,Governor,,D,Hancock,Lakeshore,106,,
2,Phil Bryant,Governor,,R,Hancock,Clermont Harbor,157,,
2,Johnny L. DuPree,Governor,,D,Hancock,Clermont Harbor,57,,
2,Phil Bryant,Governor,,R,Hancock,Arlington,145,,
2,Johnny L. DuPree,Governor,,D,Hancock,Arlington,85,,
2,Phil Bryant,Governor,,R,Hancock,Waveland East,293,,
2,Johnny L. DuPree,Governor,,D,Hancock,Waveland East,202,,
2,Phil Bryant,Governor,,R,Hancock,Lee Town,386,,
2,Johnny L. DuPree,Governor,,D,Hancock,Lee Town,43,,
2,Phil Bryant,Governor,,R,Hancock,Flat Top,359,,
2,Johnny L. DuPree,Governor,,D,Hancock,Flat Top,46,,
2,Phil Bryant,Governor,,R,Hancock,Catahoula,80,,
2,Johnny L. DuPree,Governor,,D,Hancock,Catahoula,17,,
2,Phil Bryant,Governor,,R,Hancock,Pearlington,237,,
2,Johnny L. DuPree,Governor,,D,Hancock,Pearlington,179,,
2,Phil Bryant,Governor,,R,Hancock,Bayou Phillip,83,,
2,Johnny L. DuPree,Governor,,D,Hancock,Bayou Phillip,31,,
2,Phil Bryant,Governor,,R,Hancock,Waveland West,426,,
2,Johnny L. DuPree,Governor,,D,Hancock,Waveland West,224,,
3,Phil Bryant,Governor,,R,Hancock,Crane Creek,504,,
3,Johnny L. DuPree,Governor,,D,Hancock,Crane Creek,114,,
3,Phil Bryant,Governor,,R,Hancock,Dedeaux,292,,
3,Johnny L. DuPree,Governor,,D,Hancock,Dedeaux,60,,
3,Phil Bryant,Governor,,R,Hancock,North Bay West,402,,
3,Johnny L. DuPree,Governor,,D,Hancock,North Bay West,153,,
3,Phil Bryant,Governor,,R,Hancock,Diamondhead East,1556,,
3,Johnny L. DuPree,Governor,,D,Hancock,Diamondhead East,425,,
3,Phil Bryant,Governor,,R,Hancock,Courthouse,91,,
3,Johnny L. DuPree,Governor,,D,Hancock,Courthouse,48,,
3,Phil Bryant,Governor,,R,Hancock,Kiln West,384,,
3,Johnny L. DuPree,Governor,,D,Hancock,Kiln West,105,,
3,Phil Bryant,Governor,,R,Hancock,West Shoreline Park,114,,
3,Johnny L. DuPree,Governor,,D,Hancock,West Shoreline Park,66,,
3,Phil Bryant,Governor,,R,Hancock,City Hall,86,,
3,Johnny L. DuPree,Governor,,D,Hancock,City Hall,278,,
3,Phil Bryant,Governor,,R,Hancock,South Bay,462,,
