county,precinct,office,district,candidate,party,votes,winner
Coahoma,Lula,Governor,,Phil Bryant,R,93,
Coahoma,Lula,Governor,,Johnny L. DuPree,D,76,
Coahoma,Coahoma,Governor,,Phil Bryant,R,17,
Coahoma,Coahoma,Governor,,Johnny L. DuPree,D,106,
Coahoma,Lyon,Governor,,Phil Bryant,R,461,
Coahoma,Lyon,Governor,,Johnny L. DuPree,D,158,
Coahoma,Clarksdale Courthouse,Governor,,Phil Bryant,R,212,
Coahoma,Clarksdale Courthouse,Governor,,Johnny L. DuPree,D,191,
Coahoma,Friars Point,Governor,,Phil Bryant,R,38,
Coahoma,Friars Point,Governor,,Johnny L. DuPree,D,226,
Coahoma,Farrell,Governor,,Phil Bryant,R,15,
Coahoma,Farrell,Governor,,Johnny L. DuPree,D,63,
Coahoma,Sherard,Governor,,Phil Bryant,R,6,
Coahoma,Sherard,Governor,,Johnny L. DuPree,D,14,
Coahoma,Clarksdale # 2,Governor,,Phil Bryant,R,553,
Coahoma,Clarksdale # 2,Governor,,Johnny L. DuPree,D,298,
Coahoma,Jonestown,Governor,,Phil Bryant,R,8,
Coahoma,Jonestown,Governor,,Johnny L. DuPree,D,270,
Coahoma,Dublin,Governor,,Phil Bryant,R,76,
Coahoma,Dublin,Governor,,Johnny L. DuPree,D,39,
Coahoma,Clarksdale # 3,Governor,,Phil Bryant,R,32,
Coahoma,Clarksdale # 3,Governor,,Johnny L. DuPree,D,220,
Coahoma,Sasse Street Fire Station,Governor,,Phil Bryant,R,7,
Coahoma,Sasse Street Fire Station,Governor,,Johnny L. DuPree,D,302,
Coahoma,Cagle Crossing,Governor,,Phil Bryant,R,32,
Coahoma,Cagle Crossing,Governor,,Johnny L. DuPree,D,13,
Coahoma,Clarksdale # 4,Governor,,Phil Bryant,R,34,
Coahoma,Clarksdale # 4,Governor,,Johnny L. DuPree,D,552,
Coahoma,Clarksdale # 4 North,Governor,,Phil Bryant,R,75,
Coahoma,Clarksdale # 4 North,Governor,,Johnny L. DuPree,D,60,
Coahoma,Rena Lara,Governor,,Phil Bryant,R,116,
Coahoma,Rena Lara,Governor,,Johnny L. DuPree,D,21,
Coahoma,Bobo,Governor,,Phil Bryant,R,24,
Coahoma,Bobo,Governor,,Johnny L. DuPree,D,29,
Coahoma,Roundaway,Governor,,Phil Bryant,R,19,
Coahoma,Roundaway,Governor,,Johnny L. DuPree,D,22,
Coahoma,Clarksdale # 5,Governor,,Phil Bryant,R,204,
Coahoma,Clarksdale # 5,Governor,,Johnny L. DuPree,D,467,
Coahoma,Lula,Lieutenant Governor,,Tate Reeves,R,104,
Coahoma,Lula,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,41,
Coahoma,Coahoma,Lieutenant Governor,,Tate Reeves,R,50,
Coahoma,Coahoma,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,36,
Coahoma,Lyon,Lieutenant Governor,,Tate Reeves,R,514,
Coahoma,Lyon,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,68,
Coahoma,Clarksdale Courthouse,Lieutenant Governor,,Tate Reeves,R,264,
Coahoma,Clarksdale Courthouse,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,99,
Coahoma,Friars Point,Lieutenant Governor,,Tate Reeves,R,74,
Coahoma,Friars Point,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,76,
Coahoma,Farrell,Lieutenant Governor,,Tate Reeves,R,30,
Coahoma,Farrell,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,37,
Coahoma,Sherard,Lieutenant Governor,,Tate Reeves,R,12,
Coahoma,Sherard,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,5,
Coahoma,Clarksdale # 2,Lieutenant Governor,,Tate Reeves,R,616,
Coahoma,Clarksdale # 2,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,150,
Coahoma,Jonestown,Lieutenant Governor,,Tate Reeves,R,68,
Coahoma,Jonestown,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,99,
Coahoma,Dublin,Lieutenant Governor,,Tate Reeves,R,81,
Coahoma,Dublin,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,22,
Coahoma,Clarksdale # 3,Lieutenant Governor,,Tate Reeves,R,83,
Coahoma,Clarksdale # 3,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,121,
Coahoma,Sasse Street Fire Station,Lieutenant Governor,,Tate Reeves,R,70,
Coahoma,Sasse Street Fire Station,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,135,
Coahoma,Cagle Crossing,Lieutenant Governor,,Tate Reeves,R,32,
Coahoma,Cagle Crossing,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,8,
Coahoma,Clarksdale # 4,Lieutenant Governor,,Tate Reeves,R,164,
Coahoma,Clarksdale # 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,245,
Coahoma,Clarksdale # 4 North,Lieutenant Governor,,Tate Reeves,R,85,
Coahoma,Clarksdale # 4 North,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,31,
Coahoma,Rena Lara,Lieutenant Governor,,Tate Reeves,R,122,
Coahoma,Rena Lara,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,6,
Coahoma,Bobo,Lieutenant Governor,,Tate Reeves,R,28,
Coahoma,Bobo,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,11,
Coahoma,Roundaway,Lieutenant Governor,,Tate Reeves,R,22,
Coahoma,Roundaway,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,12,
Coahoma,Clarksdale # 5,Lieutenant Governor,,Tate Reeves,R,294,
Coahoma,Clarksdale # 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,251,
Coahoma,Lula,Attorney General,,Jim Hood,D,98,
Coahoma,Lula,Attorney General,,Steve Simpson,R,64,
Coahoma,Coahoma,Attorney General,,Jim Hood,D,94,
Coahoma,Coahoma,Attorney General,,Steve Simpson,R,16,
Coahoma,Lyon,Attorney General,,Jim Hood,D,289,
Coahoma,Lyon,Attorney General,,Steve Simpson,R,320,
Coahoma,Clarksdale Courthouse,Attorney General,,Jim Hood,D,271,
