county,precinct,office,district,candidate,party,votes,winner
Carroll,430 School,Governor,,Phil Bryant,R,91,
Carroll,430 School,Governor,,Johnny L. DuPree,D,185,
Carroll,Black Hawk,Governor,,Phil Bryant,R,184,
Carroll,Black Hawk,Governor,,Johnny L. DuPree,D,35,
Carroll,Calvary,Governor,,Phil Bryant,R,75,
Carroll,Calvary,Governor,,Johnny L. DuPree,D,3,
Carroll,Carrollton,Governor,,Phil Bryant,R,218,
Carroll,Carrollton,Governor,,Johnny L. DuPree,D,17,
Carroll,East Valden,Governor,,Phil Bryant,R,272,
Carroll,East Valden,Governor,,Johnny L. DuPree,D,185,
Carroll,Fire Tower,Governor,,Phil Bryant,R,188,
Carroll,Fire Tower,Governor,,Johnny L. DuPree,D,255,
Carroll,Gravel Hill,Governor,,Phil Bryant,R,405,
Carroll,Gravel Hill,Governor,,Johnny L. DuPree,D,37,
Carroll,Rays Shop,Governor,,Phil Bryant,R,685,
Carroll,Rays Shop,Governor,,Johnny L. DuPree,D,59,
Carroll,Salem,Governor,,Phil Bryant,R,62,
Carroll,Salem,Governor,,Johnny L. DuPree,D,97,
Carroll,West Carroll,Governor,,Phil Bryant,R,392,
Carroll,West Carroll,Governor,,Johnny L. DuPree,D,38,
Carroll,West Valden,Governor,,Phil Bryant,R,153,
Carroll,West Valden,Governor,,Johnny L. DuPree,D,134,
Carroll,McCarley,Governor,,Phil Bryant,R,183,
Carroll,McCarley,Governor,,Johnny L. DuPree,D,111,
Carroll,North Carrollton,Governor,,Phil Bryant,R,338,
Carroll,North Carrollton,Governor,,Johnny L. DuPree,D,178,
Carroll,Jefferson,Governor,,Phil Bryant,R,112,
Carroll,Jefferson,Governor,,Johnny L. DuPree,D,23,
Carroll,430 School,Lieutenant Governor,,Tate Reeves,R,148,
Carroll,430 School,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,64,
Carroll,Black Hawk,Lieutenant Governor,,Tate Reeves,R,190,
Carroll,Black Hawk,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,25,
Carroll,Calvary,Lieutenant Governor,,Tate Reeves,R,74,
Carroll,Calvary,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,2,
Carroll,Carrollton,Lieutenant Governor,,Tate Reeves,R,219,
Carroll,Carrollton,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,8,
Carroll,East Valden,Lieutenant Governor,,Tate Reeves,R,310,
Carroll,East Valden,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,94,
Carroll,Fire Tower,Lieutenant Governor,,Tate Reeves,R,260,
Carroll,Fire Tower,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,119,
Carroll,Gravel Hill,Lieutenant Governor,,Tate Reeves,R,412,
Carroll,Gravel Hill,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,15,
Carroll,Rays Shop,Lieutenant Governor,,Tate Reeves,R,682,
Carroll,Rays Shop,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,40,
Carroll,Salem,Lieutenant Governor,,Tate Reeves,R,85,
Carroll,Salem,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,53,
Carroll,West Carroll,Lieutenant Governor,,Tate Reeves,R,402,
Carroll,West Carroll,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,13,
Carroll,West Valden,Lieutenant Governor,,Tate Reeves,R,194,
Carroll,West Valden,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,66,
Carroll,McCarley,Lieutenant Governor,,Tate Reeves,R,215,
Carroll,McCarley,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,49,
Carroll,North Carrollton,Lieutenant Governor,,Tate Reeves,R,376,
Carroll,North Carrollton,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,80,
Carroll,Jefferson,Lieutenant Governor,,Tate Reeves,R,116,
Carroll,Jefferson,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,13,
Carroll,430 School,Secretary of State,,Delbert Hosemann,R,161,
Carroll,Black Hawk,Secretary of State,,Delbert Hosemann,R,187,
Carroll,Calvary,Secretary of State,,Delbert Hosemann,R,71,
Carroll,Carrollton,Secretary of State,,Delbert Hosemann,R,219,
Carroll,East Valden,Secretary of State,,Delbert Hosemann,R,344,
Carroll,Fire Tower,Secretary of State,,Delbert Hosemann,R,318,
Carroll,Gravel Hill,Secretary of State,,Delbert Hosemann,R,405,
Carroll,Rays Shop,Secretary of State,,Delbert Hosemann,R,690,
Carroll,Salem,Secretary of State,,Delbert Hosemann,R,108,
Carroll,West Carroll,Secretary of State,,Delbert Hosemann,R,396,
Carroll,West Valden,Secretary of State,,Delbert Hosemann,R,206,
Carroll,McCarley,Secretary of State,,Delbert Hosemann,R,232,
Carroll,North Carrollton,Secretary of State,,Delbert Hosemann,R,398,
