county,precinct,office,district,candidate,party,votes,winner
Holmes,Beat 3 Coxburg (A-Z),Governor,,Phil Bryant,R,113,
Holmes,Beat 3 Coxburg (A-Z),Governor,,Johnny L. DuPree,D,31,
Holmes,Beat 5 Tchula,Governor,,Phil Bryant,R,83,
Holmes,Beat 5 Tchula,Governor,,Johnny L. DuPree,D,701,
Holmes,Beat 4 Walden Chapel (A-Z),Governor,,Phil Bryant,R,8,
Holmes,Beat 4 Walden Chapel (A-Z),Governor,,Johnny L. DuPree,D,126,
Holmes,Beat 2 Durant,Governor,,Phil Bryant,R,177,
Holmes,Beat 2 Durant,Governor,,Johnny L. DuPree,D,230,
Holmes,Beat 5 Lexington (A-Z),Governor,,Phil Bryant,R,153,
Holmes,Beat 5 Lexington (A-Z),Governor,,Johnny L. DuPree,D,99,
Holmes,Beat 1 Lexington,Governor,,Phil Bryant,R,101,
Holmes,Beat 1 Lexington,Governor,,Johnny L. DuPree,D,639,
Holmes,Beat 5 Cruger (A-Z),Governor,,Phil Bryant,R,70,
Holmes,Beat 5 Cruger (A-Z),Governor,,Johnny L. DuPree,D,101,
Holmes,Beat 2 Sub Durant,Governor,,Phil Bryant,R,67,
Holmes,Beat 2 Sub Durant,Governor,,Johnny L. DuPree,D,288,
Holmes,Beat 4 Thornton (A-Z),Governor,,Phil Bryant,R,39,
Holmes,Beat 4 Thornton (A-Z),Governor,,Johnny L. DuPree,D,189,
Holmes,Beat 3 Ebenezer (A-Z),Governor,,Phil Bryant,R,64,
Holmes,Beat 3 Ebenezer (A-Z),Governor,,Johnny L. DuPree,D,157,
Holmes,Beat 3 Goodman,Governor,,Phil Bryant,R,76,
Holmes,Beat 3 Goodman,Governor,,Johnny L. DuPree,D,342,
Holmes,1 Acona,Governor,,Phil Bryant,R,50,
Holmes,1 Acona,Governor,,Johnny L. DuPree,D,337,
Holmes,Beat 3 Pickens,Governor,,Phil Bryant,R,109,
Holmes,Beat 3 Pickens,Governor,,Johnny L. DuPree,D,406,
Holmes,2 Lexington Sandhill,Governor,,Phil Bryant,R,0,
Holmes,2 Lexington Sandhill,Governor,,Johnny L. DuPree,D,0,
Holmes,Beat 2 West,Governor,,Phil Bryant,R,117,
Holmes,Beat 2 West,Governor,,Johnny L. DuPree,D,211,
Holmes,Beat 4 Lexington,Governor,,Phil Bryant,R,168,
Holmes,Beat 4 Lexington,Governor,,Johnny L. DuPree,D,628,
Holmes,1 Durant St. Anderson,Governor,,Phil Bryant,R,26,
Holmes,1 Durant St. Anderson,Governor,,Johnny L. DuPree,D,118,
Holmes,Beat 3 Coxburg (A-Z),Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,23,
Holmes,Beat 3 Coxburg (A-Z),Lieutenant Governor,,Tate Reeves,R,115,
Holmes,Beat 5 Tchula,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,339,
Holmes,Beat 5 Tchula,Lieutenant Governor,,Tate Reeves,R,255,
Holmes,Beat 4 Walden Chapel (A-Z),Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,49,
Holmes,Beat 4 Walden Chapel (A-Z),Lieutenant Governor,,Tate Reeves,R,49,
Holmes,Beat 2 Durant,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,113,
Holmes,Beat 2 Durant,Lieutenant Governor,,Tate Reeves,R,239,
Holmes,Beat 5 Lexington (A-Z),Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,55,
Holmes,Beat 5 Lexington (A-Z),Lieutenant Governor,,Tate Reeves,R,179,
Holmes,Beat 1 Lexington,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,276,
Holmes,Beat 1 Lexington,Lieutenant Governor,,Tate Reeves,R,249,
Holmes,Beat 5 Cruger (A-Z),Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,57,
Holmes,Beat 5 Cruger (A-Z),Lieutenant Governor,,Tate Reeves,R,79,
Holmes,Beat 2 Sub Durant,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,157,
