county,precinct,office,district,candidate,party,votes,winner
Issaquena,Valley Park Community Center,Governor,,Phil Bryant,R,64,
Issaquena,Valley Park Community Center,Governor,,Johnny L. DuPree,D,30,
Issaquena,Tallula Community Center,Governor,,Phil Bryant,R,63,
Issaquena,Tallula Community Center,Governor,,Johnny L. DuPree,D,34,
Issaquena,Mayersville Courthouse,Governor,,Phil Bryant,R,13,
Issaquena,Mayersville Courthouse,Governor,,Johnny L. DuPree,D,74,
Issaquena,Addie Voting Precinct,Governor,,Phil Bryant,R,36,
Issaquena,Addie Voting Precinct,Governor,,Johnny L. DuPree,D,70,
Issaquena,Grace Voting Precinct,Governor,,Phil Bryant,R,77,
Issaquena,Grace Voting Precinct,Governor,,Johnny L. DuPree,D,38,
Issaquena,Valley Park Community Center,Lieutenant Governor,,Tate Reeves,R,74,
Issaquena,Valley Park Community Center,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,9,
Issaquena,Tallula Community Center,Lieutenant Governor,,Tate Reeves,R,69,
Issaquena,Tallula Community Center,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,14,
Issaquena,Mayersville Courthouse,Lieutenant Governor,,Tate Reeves,R,33,
Issaquena,Mayersville Courthouse,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,29,
Issaquena,Addie Voting Precinct,Lieutenant Governor,,Tate Reeves,R,64,
Issaquena,Addie Voting Precinct,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,19,
Issaquena,Grace Voting Precinct,Lieutenant Governor,,Tate Reeves,R,86,
Issaquena,Grace Voting Precinct,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,8,
Issaquena,Valley Park Community Center,Secretary of State,,Delbert Hosemann,R,76,
Issaquena,Tallula Community Center,Secretary of State,,Delbert Hosemann,R,69,
Issaquena,Mayersville Courthouse,Secretary of State,,Delbert Hosemann,R,52,
Issaquena,Addie Voting Precinct,Secretary of State,,Delbert Hosemann,R,73,
Issaquena,Grace Voting Precinct,Secretary of State,,Delbert Hosemann,R,87,
Issaquena,Valley Park Community Center,Attorney General,,Jim Hood,D,52,
Issaquena,Valley Park Community Center,Attorney General,,Steve Simpson,R,42,
Issaquena,Tallula Community Center,Attorney General,,Jim Hood,D,61,
Issaquena,Tallula Community Center,Attorney General,,Steve Simpson,R,33,
Issaquena,Mayersville Courthouse,Attorney General,,Jim Hood,D,77,
Issaquena,Mayersville Courthouse,Attorney General,,Steve Simpson,R,6,
Issaquena,Addie Voting Precinct,Attorney General,,Jim Hood,D,81,
Issaquena,Addie Voting Precinct,Attorney General,,Steve Simpson,R,20,
Issaquena,Grace Voting Precinct,Attorney General,,Jim Hood,D,79,
Issaquena,Grace Voting Precinct,Attorney General,,Steve Simpson,R,34,
Issaquena,Valley Park Community Center,State Auditor,,Stacey E. Pickering,R,65,
Issaquena,Valley Park Community Center,State Auditor,,Ashley Norwood,Reform,18,
Issaquena,Tallula Community Center,State Auditor,,Stacey E. Pickering,R,65,
Issaquena,Tallula Community Center,State Auditor,,Ashley Norwood,Reform,19,
Issaquena,Mayersville Courthouse,State Auditor,,Stacey E. Pickering,R,26,
Issaquena,Mayersville Courthouse,State Auditor,,Ashley Norwood,Reform,37,
Issaquena,Addie Voting Precinct,State Auditor,,Stacey E. Pickering,R,49,
Issaquena,Addie Voting Precinct,State Auditor,,Ashley Norwood,Reform,31,
Issaquena,Grace Voting Precinct,State Auditor,,Stacey E. Pickering,R,79,
Issaquena,Grace Voting Precinct,State Auditor,,Ashley Norwood,Reform,16,
Issaquena,Valley Park Community Center,State Treasurer,,Lynn Fitch,R,61,
Issaquena,Valley Park Community Center,State Treasurer,,Connie Moran,D,28,
Issaquena,Valley Park Community Center,State Treasurer,,Shawn O'Hara,Reform,2,
Issaquena,Tallula Community Center,State Treasurer,,Lynn Fitch,R,63,
Issaquena,Tallula Community Center,State Treasurer,,Connie Moran,D,26,
Issaquena,Tallula Community Center,State Treasurer,,Shawn O'Hara,Reform,3,
Issaquena,Mayersville Courthouse,State Treasurer,,Lynn Fitch,R,14,
Issaquena,Mayersville Courthouse,State Treasurer,,Connie Moran,D,64,
Issaquena,Mayersville Courthouse,State Treasurer,,Shawn O'Hara,Reform,4,
Issaquena,Addie Voting Precinct,State Treasurer,,Lynn Fitch,R,41,
Issaquena,Addie Voting Precinct,State Treasurer,,Connie Moran,D,56,
Issaquena,Addie Voting Precinct,State Treasurer,,Shawn O'Hara,Reform,5,
Issaquena,Grace Voting Precinct,State Treasurer,,Lynn Fitch,R,71,
Issaquena,Grace Voting Precinct,State Treasurer,,Connie Moran,D,40,
Issaquena,Grace Voting Precinct,State Treasurer,,Shawn O'Hara,Reform,0,
Issaquena,Valley Park Community Center,Commissioner of Agriculture & Commerce,,Joel Gill,D,33,
Issaquena,Valley Park Community Center,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,57,
Issaquena,Valley Park Community Center,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0,
Issaquena,Tallula Community Center,Commissioner of Agriculture & Commerce,,Joel Gill,D,46,
Issaquena,Tallula Community Center,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,43,
Issaquena,Tallula Community Center,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,1,
Issaquena,Mayersville Courthouse,Commissioner of Agriculture & Commerce,,Joel Gill,D,66,
Issaquena,Mayersville Courthouse,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,14,
Issaquena,Mayersville Courthouse,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,2,
Issaquena,Addie Voting Precinct,Commissioner of Agriculture & Commerce,,Joel Gill,D,63,
Issaquena,Addie Voting Precinct,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,35,
Issaquena,Addie Voting Precinct,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0,
Issaquena,Grace Voting Precinct,Commissioner of Agriculture & Commerce,,Joel Gill,D,50,
Issaquena,Grace Voting Precinct,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,57,
Issaquena,Grace Voting Precinct,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,1,
Issaquena,Valley Park Community Center,Commissioner of Insurance,,Mike Chaney,R,71,
Issaquena,Valley Park Community Center,Commissioner of Insurance,,Louis Fondren,D,20,
Issaquena,Valley Park Community Center,Commissioner of Insurance,,Barbara Dale Washer,Reform,1,
Issaquena,Tallula Community Center,Commissioner of Insurance,,Mike Chaney,R,68,
Issaquena,Tallula Community Center,Commissioner of Insurance,,Louis Fondren,D,23,
Issaquena,Tallula Community Center,Commissioner of Insurance,,Barbara Dale Washer,Reform,2,
Issaquena,Mayersville Courthouse,Commissioner of Insurance,,Mike Chaney,R,15,
Issaquena,Mayersville Courthouse,Commissioner of Insurance,,Louis Fondren,D,64,
Issaquena,Mayersville Courthouse,Commissioner of Insurance,,Barbara Dale Washer,Reform,2,
Issaquena,Addie Voting Precinct,Commissioner of Insurance,,Mike Chaney,R,50,
Issaquena,Addie Voting Precinct,Commissioner of Insurance,,Louis Fondren,D,48,
Issaquena,Addie Voting Precinct,Commissioner of Insurance,,Barbara Dale Washer,Reform,1,
Issaquena,Grace Voting Precinct,Commissioner of Insurance,,Mike Chaney,R,74,
Issaquena,Grace Voting Precinct,Commissioner of Insurance,,Louis Fondren,D,34,
Issaquena,Grace Voting Precinct,Commissioner of Insurance,,Barbara Dale Washer,Reform,3,
Issaquena,Valley Park Community Center,State Senate,23,Briggs Hopson,R,77,
Issaquena,Tallula Community Center,State Senate,23,Briggs Hopson,R,66,
Issaquena,Mayersville Courthouse,State Senate,23,Briggs Hopson,R,42,
Issaquena,Addie Voting Precinct,State Senate,23,Briggs Hopson,R,68,
Issaquena,Grace Voting Precinct,State Senate,23,Briggs Hopson,R,80,
Issaquena,Tallula Community Center,State House,51,Rufus E. 'Pete' Straughter,D,18,
Issaquena,Mayersville Courthouse,State House,51,Rufus E. 'Pete' Straughter,D,72,
Issaquena,Addie Voting Precinct,State House,51,Rufus E. 'Pete' Straughter,D,1,
Issaquena,Grace Voting Precinct,State House,51,Rufus E. 'Pete' Straughter,D,17,
Issaquena,Valley Park Community Center,State House,54,Alex Monsour,R,75,
Issaquena,Tallula Community Center,State House,54,Alex Monsour,R,50,
Issaquena,Addie Voting Precinct,State House,54,Alex Monsour,R,67,
Issaquena,Grace Voting Precinct,State House,54,Alex Monsour,R,64,
Issaquena,Valley Park Community Center,Measure No. 26 - Definition of a person,,Yes,,42,
Issaquena,Tallula Community Center,Measure No. 26 - Definition of a person,,Yes,,37,
Issaquena,Mayersville Courthouse,Measure No. 26 - Definition of a person,,Yes,,26,
Issaquena,Addie Voting Precinct,Measure No. 26 - Definition of a person,,Yes,,34,
Issaquena,Grace Voting Precinct,Measure No. 26 - Definition of a person,,Yes,,33,
Issaquena,Valley Park Community Center,Measure No. 26 - Definition of a person,,No,,45,
Issaquena,Tallula Community Center,Measure No. 26 - Definition of a person,,No,,56,
Issaquena,Mayersville Courthouse,Measure No. 26 - Definition of a person,,No,,53,
