county,precinct,office,district,candidate,party,votes,winner
Jones,North Laurel,Governor,,Phil Bryant,R,1256,
Jones,North Laurel,Governor,,Johnny L. DuPree,D,453,
Jones,Shady Grove,Governor,,Phil Bryant,R,1178,
Jones,Shady Grove,Governor,,Johnny L. DuPree,D,428,
Jones,Sharon,Governor,,Phil Bryant,R,769,
Jones,Sharon,Governor,,Johnny L. DuPree,D,124,
Jones,Bruce,Governor,,Phil Bryant,R,312,
Jones,Bruce,Governor,,Johnny L. DuPree,D,35,
Jones,Calhoun,Governor,,Phil Bryant,R,1139,
Jones,Calhoun,Governor,,Johnny L. DuPree,D,94,
Jones,Centerville,Governor,,Phil Bryant,R,110,
Jones,Centerville,Governor,,Johnny L. DuPree,D,18,
Jones,Laurel Courthouse,Governor,,Phil Bryant,R,243,
Jones,Laurel Courthouse,Governor,,Johnny L. DuPree,D,170,
Jones,Gitano,Governor,,Phil Bryant,R,145,
Jones,Gitano,Governor,,Johnny L. DuPree,D,59,
Jones,Hebron,Governor,,Phil Bryant,R,193,
Jones,Hebron,Governor,,Johnny L. DuPree,D,325,
Jones,Matthews,Governor,,Phil Bryant,R,385,
Jones,Matthews,Governor,,Johnny L. DuPree,D,48,
Jones,Pleasant Ridge,Governor,,Phil Bryant,R,414,
Jones,Pleasant Ridge,Governor,,Johnny L. DuPree,D,29,
Jones,Cameron Center,Governor,,Phil Bryant,R,158,
Jones,Cameron Center,Governor,,Johnny L. DuPree,D,72,
Jones,Soso,Governor,,Phil Bryant,R,385,
Jones,Soso,Governor,,Johnny L. DuPree,D,313,
Jones,Maulding Community Center,Governor,,Phil Bryant,R,676,
Jones,Maulding Community Center,Governor,,Johnny L. DuPree,D,173,
Jones,Kingston Church,Governor,,Phil Bryant,R,20,
Jones,Kingston Church,Governor,,Johnny L. DuPree,D,149,
Jones,Erata,Governor,,Phil Bryant,R,117,
Jones,Erata,Governor,,Johnny L. DuPree,D,168,
Jones,Glade,Governor,,Phil Bryant,R,671,
Jones,Glade,Governor,,Johnny L. DuPree,D,62,
Jones,Myrick,Governor,,Phil Bryant,R,768,
Jones,Myrick,Governor,,Johnny L. DuPree,D,58,
Jones,Powers Community Center,Governor,,Phil Bryant,R,588,
Jones,Powers Community Center,Governor,,Johnny L. DuPree,D,163,
Jones,Ovett,Governor,,Phil Bryant,R,440,
Jones,Ovett,Governor,,Johnny L. DuPree,D,45,
Jones,Rustin,Governor,,Phil Bryant,R,380,
Jones,Rustin,Governor,,Johnny L. DuPree,D,34,
Jones,Sandersville Civic Center,Governor,,Phil Bryant,R,417,
Jones,Sandersville Civic Center,Governor,,Johnny L. DuPree,D,108,
Jones,Tuckers,Governor,,Phil Bryant,R,525,
Jones,Tuckers,Governor,,Johnny L. DuPree,D,49,
Jones,Antioch,Governor,,Phil Bryant,R,300,
Jones,Antioch,Governor,,Johnny L. DuPree,D,26,
Jones,Blackwell,Governor,,Phil Bryant,R,45,
Jones,Blackwell,Governor,,Johnny L. DuPree,D,7,
Jones,County Barn,Governor,,Phil Bryant,R,414,
Jones,County Barn,Governor,,Johnny L. DuPree,D,127,
Jones,Johnson,Governor,,Phil Bryant,R,355,
Jones,Johnson,Governor,,Johnny L. DuPree,D,38,
Jones,Ellisville Courthouse,Governor,,Phil Bryant,R,413,
Jones,Ellisville Courthouse,Governor,,Johnny L. DuPree,D,151,
Jones,Landrum,Governor,,Phil Bryant,R,241,
Jones,Landrum,Governor,,Johnny L. DuPree,D,26,
Jones,Moselle,Governor,,Phil Bryant,R,489,
Jones,Moselle,Governor,,Johnny L. DuPree,D,146,
Jones,Pine Grove,Governor,,Phil Bryant,R,490,
Jones,Pine Grove,Governor,,Johnny L. DuPree,D,35,
Jones,Rainey,Governor,,Phil Bryant,R,660,
Jones,Rainey,Governor,,Johnny L. DuPree,D,36,
Jones,Sand Hill,Governor,,Phil Bryant,R,659,
Jones,Sand Hill,Governor,,Johnny L. DuPree,D,50,
Jones,Shelton,Governor,,Phil Bryant,R,267,
Jones,Shelton,Governor,,Johnny L. DuPree,D,126,
Jones,Union,Governor,,Phil Bryant,R,470,
Jones,Union,Governor,,Johnny L. DuPree,D,38,
Jones,Old South Jones Elem. Gym,Governor,,Phil Bryant,R,170,
Jones,Old South Jones Elem. Gym,Governor,,Johnny L. DuPree,D,34,
Jones,Cooks Ave. Comm. Center,Governor,,Phil Bryant,R,1,
