county,precinct,office,district,candidate,party,votes,winner
Calhoun,Calhoun City # 1,Governor,,Phil Bryant,R,281,
Calhoun,Calhoun City # 1,Governor,,Johnny L. DuPree,D,300,
Calhoun,Pittsboro # 1,Governor,,Phil Bryant,R,98,
Calhoun,Pittsboro # 1,Governor,,Johnny L. DuPree,D,351,
Calhoun,Northeast Calhoun,Governor,,Phil Bryant,R,561,
Calhoun,Northeast Calhoun,Governor,,Johnny L. DuPree,D,141,
Calhoun,Pittsboro # 2,Governor,,Phil Bryant,R,333,
Calhoun,Pittsboro # 2,Governor,,Johnny L. DuPree,D,113,
Calhoun,Bruce # 3,Governor,,Phil Bryant,R,696,
Calhoun,Bruce # 3,Governor,,Johnny L. DuPree,D,239,
Calhoun,Banner,Governor,,Phil Bryant,R,278,
Calhoun,Banner,Governor,,Johnny L. DuPree,D,45,
Calhoun,Calhoun City 4,Governor,,Phil Bryant,R,732,
Calhoun,Calhoun City 4,Governor,,Johnny L. DuPree,D,225,
Calhoun,Derma # 4,Governor,,Phil Bryant,R,278,
Calhoun,Derma # 4,Governor,,Johnny L. DuPree,D,79,
Calhoun,Derma # 5,Governor,,Phil Bryant,R,369,
Calhoun,Derma # 5,Governor,,Johnny L. DuPree,D,123,
Calhoun,Vardaman,Governor,,Phil Bryant,R,497,
Calhoun,Vardaman,Governor,,Johnny L. DuPree,D,206,
Calhoun,Calhoun City # 1,Lieutenant Governor,,Tate Reeves,R,364,
Calhoun,Calhoun City # 1,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,146,
Calhoun,Pittsboro # 1,Lieutenant Governor,,Tate Reeves,R,211,
Calhoun,Pittsboro # 1,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,171,
Calhoun,Northeast Calhoun,Lieutenant Governor,,Tate Reeves,R,594,
Calhoun,Northeast Calhoun,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,74,
Calhoun,Pittsboro # 2,Lieutenant Governor,,Tate Reeves,R,368,
Calhoun,Pittsboro # 2,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,60,
Calhoun,Bruce # 3,Lieutenant Governor,,Tate Reeves,R,781,
Calhoun,Bruce # 3,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,100,
Calhoun,Banner,Lieutenant Governor,,Tate Reeves,R,295,
Calhoun,Banner,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,25,
Calhoun,Calhoun City 4,Lieutenant Governor,,Tate Reeves,R,795,
Calhoun,Calhoun City 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,123,
Calhoun,Derma # 4,Lieutenant Governor,,Tate Reeves,R,304,
Calhoun,Derma # 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,37,
Calhoun,Derma # 5,Lieutenant Governor,,Tate Reeves,R,397,
Calhoun,Derma # 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,70,
Calhoun,Vardaman,Lieutenant Governor,,Tate Reeves,R,564,
Calhoun,Vardaman,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,99,
Calhoun,Calhoun City # 1,Secretary of State,,Delbert Hosemann,R,456,
Calhoun,Pittsboro # 1,Secretary of State,,Delbert Hosemann,R,302,
Calhoun,Northeast Calhoun,Secretary of State,,Delbert Hosemann,R,636,
Calhoun,Pittsboro # 2,Secretary of State,,Delbert Hosemann,R,397,
Calhoun,Bruce # 3,Secretary of State,,Delbert Hosemann,R,829,
Calhoun,Banner,Secretary of State,,Delbert Hosemann,R,307,
Calhoun,Calhoun City 4,Secretary of State,,Delbert Hosemann,R,871,
Calhoun,Derma # 4,Secretary of State,,Delbert Hosemann,R,329,
Calhoun,Derma # 5,Secretary of State,,Delbert Hosemann,R,444,
Calhoun,Vardaman,Secretary of State,,Delbert Hosemann,R,615,
Calhoun,Calhoun City # 1,Attorney General,,Jim Hood,D,428,
Calhoun,Calhoun City # 1,Attorney General,,Steve Simpson,R,143,
Calhoun,Pittsboro # 1,Attorney General,,Jim Hood,D,394,
Calhoun,Pittsboro # 1,Attorney General,,Steve Simpson,R,51,
Calhoun,Northeast Calhoun,Attorney General,,Jim Hood,D,429,
Calhoun,Northeast Calhoun,Attorney General,,Steve Simpson,R,257,
Calhoun,Pittsboro # 2,Attorney General,,Jim Hood,D,287,
Calhoun,Pittsboro # 2,Attorney General,,Steve Simpson,R,159,
Calhoun,Bruce # 3,Attorney General,,Jim Hood,D,612,
Calhoun,Bruce # 3,Attorney General,,Steve Simpson,R,316,
Calhoun,Banner,Attorney General,,Jim Hood,D,192,
Calhoun,Banner,Attorney General,,Steve Simpson,R,129,
Calhoun,Calhoun City 4,Attorney General,,Jim Hood,D,606,
Calhoun,Calhoun City 4,Attorney General,,Steve Simpson,R,346,
Calhoun,Derma # 4,Attorney General,,Jim Hood,D,225,
Calhoun,Derma # 4,Attorney General,,Steve Simpson,R,138,
Calhoun,Derma # 5,Attorney General,,Jim Hood,D,300,
Calhoun,Derma # 5,Attorney General,,Steve Simpson,R,188,
Calhoun,Vardaman,Attorney General,,Jim Hood,D,512,
Calhoun,Vardaman,Attorney General,,Steve Simpson,R,191,
Calhoun,Calhoun City # 1,State Auditor,,Stacey E. Pickering,R,300,
Calhoun,Calhoun City # 1,State Auditor,,Ashley Norwood,Reform,203,
Calhoun,Pittsboro # 1,State Auditor,,Stacey E. Pickering,R,162,
Calhoun,Pittsboro # 1,State Auditor,,Ashley Norwood,Reform,209,
Calhoun,Northeast Calhoun,State Auditor,,Stacey E. Pickering,R,523,
Calhoun,Northeast Calhoun,State Auditor,,Ashley Norwood,Reform,139,
Calhoun,Pittsboro # 2,State Auditor,,Stacey E. Pickering,R,322,
Calhoun,Pittsboro # 2,State Auditor,,Ashley Norwood,Reform,98,
Calhoun,Bruce # 3,State Auditor,,Stacey E. Pickering,R,685,
Calhoun,Bruce # 3,State Auditor,,Ashley Norwood,Reform,178,
Calhoun,Banner,State Auditor,,Stacey E. Pickering,R,263,
Calhoun,Banner,State Auditor,,Ashley Norwood,Reform,50,
Calhoun,Calhoun City 4,State Auditor,,Stacey E. Pickering,R,718,
Calhoun,Calhoun City 4,State Auditor,,Ashley Norwood,Reform,198,
Calhoun,Derma # 4,State Auditor,,Stacey E. Pickering,R,259,
Calhoun,Derma # 4,State Auditor,,Ashley Norwood,Reform,76,
Calhoun,Derma # 5,State Auditor,,Stacey E. Pickering,R,352,
Calhoun,Derma # 5,State Auditor,,Ashley Norwood,Reform,110,
Calhoun,Vardaman,State Auditor,,Stacey E. Pickering,R,502,
Calhoun,Vardaman,State Auditor,,Ashley Norwood,Reform,150,
Calhoun,Calhoun City # 1,State Treasurer,,Lynn Fitch,R,282,
Calhoun,Calhoun City # 1,State Treasurer,,Connie Moran,D,274,
Calhoun,Calhoun City # 1,State Treasurer,,Shawn O'Hara,Reform,11,
Calhoun,Pittsboro # 1,State Treasurer,,Lynn Fitch,R,115,
Calhoun,Pittsboro # 1,State Treasurer,,Connie Moran,D,310,
Calhoun,Pittsboro # 1,State Treasurer,,Shawn O'Hara,Reform,16,
Calhoun,Northeast Calhoun,State Treasurer,,Lynn Fitch,R,498,
Calhoun,Northeast Calhoun,State Treasurer,,Connie Moran,D,159,
Calhoun,Northeast Calhoun,State Treasurer,,Shawn O'Hara,Reform,24,
Calhoun,Pittsboro # 2,State Treasurer,,Lynn Fitch,R,300,
Calhoun,Pittsboro # 2,State Treasurer,,Connie Moran,D,138,
Calhoun,Pittsboro # 2,State Treasurer,,Shawn O'Hara,Reform,4,
Calhoun,Bruce # 3,State Treasurer,,Lynn Fitch,R,624,
Calhoun,Bruce # 3,State Treasurer,,Connie Moran,D,254,
Calhoun,Bruce # 3,State Treasurer,,Shawn O'Hara,Reform,32,
Calhoun,Banner,State Treasurer,,Lynn Fitch,R,241,
Calhoun,Banner,State Treasurer,,Connie Moran,D,70,
