county,precinct,office,district,candidate,party,votes,winner
Jefferson,Union Church 1010,Governor,,Phil Bryant,R,123,
Jefferson,Union Church 1010,Governor,,Johnny L. DuPree,D,119,
Jefferson,Harriston 1020,Governor,,Phil Bryant,R,19,
Jefferson,Harriston 1020,Governor,,Johnny L. DuPree,D,140,
Jefferson,Red Lick 1030,Governor,,Phil Bryant,R,45,
Jefferson,Red Lick 1030,Governor,,Johnny L. DuPree,D,197,
Jefferson,Stampley 2010,Governor,,Phil Bryant,R,12,
Jefferson,Stampley 2010,Governor,,Johnny L. DuPree,D,193,
Jefferson,Superintendent Office 2020,Governor,,Phil Bryant,R,12,
Jefferson,Superintendent Office 2020,Governor,,Johnny L. DuPree,D,247,
Jefferson,Mcnair 2030,Governor,,Phil Bryant,R,48,
Jefferson,Mcnair 2030,Governor,,Johnny L. DuPree,D,113,
Jefferson,Chancery Clerk 3010,Governor,,Phil Bryant,R,8,
Jefferson,Chancery Clerk 3010,Governor,,Johnny L. DuPree,D,189,
Jefferson,City Hall 3020,Governor,,Phil Bryant,R,12,
Jefferson,City Hall 3020,Governor,,Johnny L. DuPree,D,273,
Jefferson,Cannonsburg 4010,Governor,,Phil Bryant,R,11,
Jefferson,Cannonsburg 4010,Governor,,Johnny L. DuPree,D,146,
Jefferson,Church Hill 4020,Governor,,Phil Bryant,R,78,
Jefferson,Church Hill 4020,Governor,,Johnny L. DuPree,D,48,
Jefferson,Old Hollywood Church 4030,Governor,,Phil Bryant,R,57,
Jefferson,Old Hollywood Church 4030,Governor,,Johnny L. DuPree,D,323,
Jefferson,Lorman 5010,Governor,,Phil Bryant,R,52,
Jefferson,Lorman 5010,Governor,,Johnny L. DuPree,D,155,
Jefferson,Fayette Manor 5020,Governor,,Phil Bryant,R,9,
Jefferson,Fayette Manor 5020,Governor,,Johnny L. DuPree,D,245,
Jefferson,Highway 33 2040,Governor,,Phil Bryant,R,4,
Jefferson,Highway 33 2040,Governor,,Johnny L. DuPree,D,100,
Jefferson,Chambliss's Restaurant 5030,Governor,,Phil Bryant,R,13,
Jefferson,Chambliss's Restaurant 5030,Governor,,Johnny L. DuPree,D,206,
Jefferson,Union Church 1010,Lieutenant Governor,,Tate Reeves,R,161,
Jefferson,Union Church 1010,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,49,
