candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Scott,Beat 1/North Forest,0,
Newt Gingrich,President,,Republican,Scott,Beat 1/North Forest,19,
Jon Huntsman,President,,Republican,Scott,Beat 1/North Forest,0,
Gary Johnson,President,,Republican,Scott,Beat 1/North Forest,0,
Ron Paul,President,,Republican,Scott,Beat 1/North Forest,2,
Rick Perry,President,,Republican,Scott,Beat 1/North Forest,1,
Mitt Romney,President,,Republican,Scott,Beat 1/North Forest,15,
Rick Santorum,President,,Republican,Scott,Beat 1/North Forest,16,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 1/North Forest,0,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 1/North Forest,3,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/North Forest,49,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 1/North Forest,4,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/North Forest,50,
Michele Bachmann,President,,Republican,Scott,Beat 1/Harperville,0,
Newt Gingrich,President,,Republican,Scott,Beat 1/Harperville,33,
Jon Huntsman,President,,Republican,Scott,Beat 1/Harperville,1,
Gary Johnson,President,,Republican,Scott,Beat 1/Harperville,0,
Ron Paul,President,,Republican,Scott,Beat 1/Harperville,2,
Rick Perry,President,,Republican,Scott,Beat 1/Harperville,0,
Mitt Romney,President,,Republican,Scott,Beat 1/Harperville,26,
Rick Santorum,President,,Republican,Scott,Beat 1/Harperville,27,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 1/Harperville,4,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 1/Harperville,8,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/Harperville,75,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 1/Harperville,9,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Harperville,80,
Michele Bachmann,President,,Republican,Scott,Beat 1/Hillsboro,1,
Newt Gingrich,President,,Republican,Scott,Beat 1/Hillsboro,21,
Jon Huntsman,President,,Republican,Scott,Beat 1/Hillsboro,0,
Gary Johnson,President,,Republican,Scott,Beat 1/Hillsboro,0,
Ron Paul,President,,Republican,Scott,Beat 1/Hillsboro,3,
Rick Perry,President,,Republican,Scott,Beat 1/Hillsboro,1,
Mitt Romney,President,,Republican,Scott,Beat 1/Hillsboro,19,
Rick Santorum,President,,Republican,Scott,Beat 1/Hillsboro,28,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,2,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,3,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,66,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 1/Hillsboro,7,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Hillsboro,64,
Michele Bachmann,President,,Republican,Scott,Beat 2/South Forest,1,
Newt Gingrich,President,,Republican,Scott,Beat 2/South Forest,25,
Jon Huntsman,President,,Republican,Scott,Beat 2/South Forest,0,
Gary Johnson,President,,Republican,Scott,Beat 2/South Forest,0,
Ron Paul,President,,Republican,Scott,Beat 2/South Forest,1,
Rick Perry,President,,Republican,Scott,Beat 2/South Forest,0,
Mitt Romney,President,,Republican,Scott,Beat 2/South Forest,34,
Rick Santorum,President,,Republican,Scott,Beat 2/South Forest,13,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 2/South Forest,1,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 2/South Forest,1,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/South Forest,72,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 2/South Forest,3,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/South Forest,69,
Michele Bachmann,President,,Republican,Scott,Beat 2/Homewood,0,
Newt Gingrich,President,,Republican,Scott,Beat 2/Homewood,32,
Jon Huntsman,President,,Republican,Scott,Beat 2/Homewood,1,
Gary Johnson,President,,Republican,Scott,Beat 2/Homewood,0,
Ron Paul,President,,Republican,Scott,Beat 2/Homewood,3,
Rick Perry,President,,Republican,Scott,Beat 2/Homewood,0,
Mitt Romney,President,,Republican,Scott,Beat 2/Homewood,19,
Rick Santorum,President,,Republican,Scott,Beat 2/Homewood,38,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 2/Homewood,3,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 2/Homewood,0,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/Homewood,89,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 2/Homewood,3,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Homewood,86,
Michele Bachmann,President,,Republican,Scott,Beat 2/High Hill,1,
Newt Gingrich,President,,Republican,Scott,Beat 2/High Hill,22,
Jon Huntsman,President,,Republican,Scott,Beat 2/High Hill,0,
Gary Johnson,President,,Republican,Scott,Beat 2/High Hill,2,
Ron Paul,President,,Republican,Scott,Beat 2/High Hill,2,
Rick Perry,President,,Republican,Scott,Beat 2/High Hill,1,
Mitt Romney,President,,Republican,Scott,Beat 2/High Hill,10,
Rick Santorum,President,,Republican,Scott,Beat 2/High Hill,15,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 2/High Hill,3,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 2/High Hill,4,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/High Hill,46,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 2/High Hill,8,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/High Hill,43,
Michele Bachmann,President,,Republican,Scott,Beat 2/Lake,0,
Newt Gingrich,President,,Republican,Scott,Beat 2/Lake,26,
Jon Huntsman,President,,Republican,Scott,Beat 2/Lake,0,
Gary Johnson,President,,Republican,Scott,Beat 2/Lake,0,
Ron Paul,President,,Republican,Scott,Beat 2/Lake,1,
Rick Perry,President,,Republican,Scott,Beat 2/Lake,0,
Mitt Romney,President,,Republican,Scott,Beat 2/Lake,23,
Rick Santorum,President,,Republican,Scott,Beat 2/Lake,28,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 2/Lake,2,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 2/Lake,0,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/Lake,75,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 2/Lake,8,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Lake,68,
Michele Bachmann,President,,Republican,Scott,Beat 2/Usry,0,
Newt Gingrich,President,,Republican,Scott,Beat 2/Usry,22,
Jon Huntsman,President,,Republican,Scott,Beat 2/Usry,0,
Gary Johnson,President,,Republican,Scott,Beat 2/Usry,0,
Ron Paul,President,,Republican,Scott,Beat 2/Usry,0,
Rick Perry,President,,Republican,Scott,Beat 2/Usry,4,
Mitt Romney,President,,Republican,Scott,Beat 2/Usry,15,
Rick Santorum,President,,Republican,Scott,Beat 2/Usry,50,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 2/Usry,3,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 2/Usry,3,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/Usry,81,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 2/Usry,6,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Usry,81,
Michele Bachmann,President,,Republican,Scott,Beat 3/Northwest Forest,0,
Newt Gingrich,President,,Republican,Scott,Beat 3/Northwest Forest,24,
Jon Huntsman,President,,Republican,Scott,Beat 3/Northwest Forest,0,
Gary Johnson,President,,Republican,Scott,Beat 3/Northwest Forest,0,
Ron Paul,President,,Republican,Scott,Beat 3/Northwest Forest,9,
Rick Perry,President,,Republican,Scott,Beat 3/Northwest Forest,0,
Mitt Romney,President,,Republican,Scott,Beat 3/Northwest Forest,44,
Rick Santorum,President,,Republican,Scott,Beat 3/Northwest Forest,39,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,1,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,4,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 3/Northwest Forest,111,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 3/Northwest Forest,4,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Northwest Forest,110,
Michele Bachmann,President,,Republican,Scott,Beat 3/Eastwest Morton,1,
Newt Gingrich,President,,Republican,Scott,Beat 3/Eastwest Morton,84,
Jon Huntsman,President,,Republican,Scott,Beat 3/Eastwest Morton,0,
Gary Johnson,President,,Republican,Scott,Beat 3/Eastwest Morton,0,
Ron Paul,President,,Republican,Scott,Beat 3/Eastwest Morton,5,
Rick Perry,President,,Republican,Scott,Beat 3/Eastwest Morton,0,
Mitt Romney,President,,Republican,Scott,Beat 3/Eastwest Morton,93,
Rick Santorum,President,,Republican,Scott,Beat 3/Eastwest Morton,100,
E. Allen Hathcock,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,1,
Robert Maloney,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,15,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 3/Eastwest Morton,266,
Robert J. Allen,U.S. House,3,Republican,Scott,Beat 3/Eastwest Morton,11,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 3/Eastwest Morton,273,
Michele Bachmann,President,,Republican,Scott,Beat 3/Pulaski,0,
Newt Gingrich,President,,Republican,Scott,Beat 3/Pulaski,19,
Jon Huntsman,President,,Republican,Scott,Beat 3/Pulaski,0,
Gary Johnson,President,,Republican,Scott,Beat 3/Pulaski,0,
