candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Humphreys,Fourmile North - 1fm 1010,0,
Newt Gingrich,President,,Republican,Humphreys,Fourmile North - 1fm 1010,4,
Jon Huntsman,President,,Republican,Humphreys,Fourmile North - 1fm 1010,0,
Gary Johnson,President,,Republican,Humphreys,Fourmile North - 1fm 1010,0,
Ron Paul,President,,Republican,Humphreys,Fourmile North - 1fm 1010,0,
Rick Perry,President,,Republican,Humphreys,Fourmile North - 1fm 1010,0,
Mitt Romney,President,,Republican,Humphreys,Fourmile North - 1fm 1010,3,
Rick Santorum,President,,Republican,Humphreys,Fourmile North - 1fm 1010,3,
E. Allen Hathcock,U.S. Senate,,Republican,Humphreys,Fourmile North - 1fm 1010,1,
Robert Maloney,U.S. Senate,,Republican,Humphreys,Fourmile North - 1fm 1010,2,
Roger F. Wicker,U.S. Senate,,Republican,Humphreys,Fourmile North - 1fm 1010,7,
Bill Marcy,U.S. House,2,Republican,Humphreys,Fourmile North - 1fm 1010,8,
Michele Bachmann,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Newt Gingrich,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,6,
Jon Huntsman,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Gary Johnson,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Ron Paul,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Rick Perry,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Mitt Romney,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,13,
Rick Santorum,President,,Republican,Humphreys,Belzoni North - 1bnh51 1020,6,
E. Allen Hathcock,U.S. Senate,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Robert Maloney,U.S. Senate,,Republican,Humphreys,Belzoni North - 1bnh51 1020,0,
Roger F. Wicker,U.S. Senate,,Republican,Humphreys,Belzoni North - 1bnh51 1020,24,
Bill Marcy,U.S. House,2,Republican,Humphreys,Belzoni North - 1bnh51 1020,19,
Michele Bachmann,President,,Republican,Humphreys,Belzoni North - 1bnh34 1021,0,
