candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Simpson,Mendenhall 1,224,
Mitt Romney,President,,Republican,Simpson,Mendenhall 1,78,
Virgil Goode,President,,Constitution,Simpson,Mendenhall 1,0,
Gary Johnson,President,,Libertarian,Simpson,Mendenhall 1,2,
Jill Stein,President,,Green,Simpson,Mendenhall 1,0,
Barbara Dale Washer,President,,Reform,Simpson,Mendenhall 1,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Mendenhall 1,205,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Mendenhall 1,77,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Mendenhall 1,11,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Mendenhall 1,3,
Gregg Harper,U.S. House,3,Republican,Simpson,Mendenhall 1,127,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Mendenhall 1,82,
Barack Obama,President,,Democrat,Simpson,Magee 1,515,
Mitt Romney,President,,Republican,Simpson,Magee 1,71,
Virgil Goode,President,,Constitution,Simpson,Magee 1,0,
Gary Johnson,President,,Libertarian,Simpson,Magee 1,2,
Jill Stein,President,,Green,Simpson,Magee 1,0,
Barbara Dale Washer,President,,Reform,Simpson,Magee 1,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Magee 1,476,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Magee 1,83,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Magee 1,5,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Magee 1,5,
Gregg Harper,U.S. House,3,Republican,Simpson,Magee 1,176,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Magee 1,242,
Barack Obama,President,,Democrat,Simpson,Weathersby,687,
Mitt Romney,President,,Republican,Simpson,Weathersby,125,
Virgil Goode,President,,Constitution,Simpson,Weathersby,1,
Gary Johnson,President,,Libertarian,Simpson,Weathersby,1,
Jill Stein,President,,Green,Simpson,Weathersby,0,
Barbara Dale Washer,President,,Reform,Simpson,Weathersby,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Weathersby,614,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Weathersby,158,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Weathersby,9,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Weathersby,10,
Gregg Harper,U.S. House,3,Republican,Simpson,Weathersby,280,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Weathersby,311,
Barack Obama,President,,Democrat,Simpson,Jupiter,467,
Mitt Romney,President,,Republican,Simpson,Jupiter,128,
Virgil Goode,President,,Constitution,Simpson,Jupiter,2,
Gary Johnson,President,,Libertarian,Simpson,Jupiter,1,
Jill Stein,President,,Green,Simpson,Jupiter,1,
Barbara Dale Washer,President,,Reform,Simpson,Jupiter,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Jupiter,430,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Jupiter,145,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Jupiter,6,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Jupiter,3,
Gregg Harper,U.S. House,3,Republican,Simpson,Jupiter,233,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Jupiter,177,
Barack Obama,President,,Democrat,Simpson,Magee 2,240,
Mitt Romney,President,,Republican,Simpson,Magee 2,810,
Virgil Goode,President,,Constitution,Simpson,Magee 2,3,
Gary Johnson,President,,Libertarian,Simpson,Magee 2,1,
Jill Stein,President,,Green,Simpson,Magee 2,0,
Barbara Dale Washer,President,,Reform,Simpson,Magee 2,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Magee 2,217,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Magee 2,810,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Magee 2,10,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Magee 2,9,
Gregg Harper,U.S. House,3,Republican,Simpson,Magee 2,904,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Magee 2,93,
Barack Obama,President,,Democrat,Simpson,Oak Grove,306,
Mitt Romney,President,,Republican,Simpson,Oak Grove,260,
Virgil Goode,President,,Constitution,Simpson,Oak Grove,2,
Gary Johnson,President,,Libertarian,Simpson,Oak Grove,0,
Jill Stein,President,,Green,Simpson,Oak Grove,1,
Barbara Dale Washer,President,,Reform,Simpson,Oak Grove,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Oak Grove,259,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Oak Grove,280,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Oak Grove,5,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Oak Grove,6,
Gregg Harper,U.S. House,3,Republican,Simpson,Oak Grove,337,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Oak Grove,105,
Barack Obama,President,,Democrat,Simpson,Bowie,111,
Mitt Romney,President,,Republican,Simpson,Bowie,182,
Virgil Goode,President,,Constitution,Simpson,Bowie,2,
Gary Johnson,President,,Libertarian,Simpson,Bowie,2,
Jill Stein,President,,Green,Simpson,Bowie,0,
Barbara Dale Washer,President,,Reform,Simpson,Bowie,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Bowie,102,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Bowie,187,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Bowie,5,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Bowie,0,
Gregg Harper,U.S. House,3,Republican,Simpson,Bowie,210,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Bowie,52,
Barack Obama,President,,Democrat,Simpson,New Hope,128,
Mitt Romney,President,,Republican,Simpson,New Hope,100,
Virgil Goode,President,,Constitution,Simpson,New Hope,1,
Gary Johnson,President,,Libertarian,Simpson,New Hope,0,
Jill Stein,President,,Green,Simpson,New Hope,0,
Barbara Dale Washer,President,,Reform,Simpson,New Hope,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,New Hope,117,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,New Hope,106,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,New Hope,0,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,New Hope,4,
Gregg Harper,U.S. House,3,Republican,Simpson,New Hope,136,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,New Hope,51,
Barack Obama,President,,Democrat,Simpson,Saratoga,167,
Mitt Romney,President,,Republican,Simpson,Saratoga,115,
Virgil Goode,President,,Constitution,Simpson,Saratoga,0,
Gary Johnson,President,,Libertarian,Simpson,Saratoga,0,
Jill Stein,President,,Green,Simpson,Saratoga,1,
Barbara Dale Washer,President,,Reform,Simpson,Saratoga,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Saratoga,158,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Saratoga,114,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Saratoga,0,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Saratoga,3,
Gregg Harper,U.S. House,3,Republican,Simpson,Saratoga,159,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Saratoga,77,
Barack Obama,President,,Democrat,Simpson,Mendenhall 3,155,
Mitt Romney,President,,Republican,Simpson,Mendenhall 3,757,
Virgil Goode,President,,Constitution,Simpson,Mendenhall 3,3,
Gary Johnson,President,,Libertarian,Simpson,Mendenhall 3,11,
Jill Stein,President,,Green,Simpson,Mendenhall 3,0,
Barbara Dale Washer,President,,Reform,Simpson,Mendenhall 3,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Mendenhall 3,143,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Mendenhall 3,763,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Mendenhall 3,9,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Mendenhall 3,7,
Gregg Harper,U.S. House,3,Republican,Simpson,Mendenhall 3,812,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Mendenhall 3,79,
Barack Obama,President,,Democrat,Simpson,Sumrall,99,
Mitt Romney,President,,Republican,Simpson,Sumrall,307,
Virgil Goode,President,,Constitution,Simpson,Sumrall,0,
Gary Johnson,President,,Libertarian,Simpson,Sumrall,2,
Jill Stein,President,,Green,Simpson,Sumrall,0,
Barbara Dale Washer,President,,Reform,Simpson,Sumrall,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Sumrall,94,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Sumrall,296,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Sumrall,4,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Sumrall,1,
Gregg Harper,U.S. House,3,Republican,Simpson,Sumrall,324,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Sumrall,33,
Barack Obama,President,,Democrat,Simpson,D'Lo,39,
Mitt Romney,President,,Republican,Simpson,D'Lo,264,
Virgil Goode,President,,Constitution,Simpson,D'Lo,0,
Gary Johnson,President,,Libertarian,Simpson,D'Lo,2,
Jill Stein,President,,Green,Simpson,D'Lo,0,
Barbara Dale Washer,President,,Reform,Simpson,D'Lo,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,D'Lo,53,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,D'Lo,252,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,D'Lo,3,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,D'Lo,0,
Gregg Harper,U.S. House,3,Republican,Simpson,D'Lo,271,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,D'Lo,26,
Barack Obama,President,,Democrat,Simpson,Dry Creek,91,
Mitt Romney,President,,Republican,Simpson,Dry Creek,551,
Virgil Goode,President,,Constitution,Simpson,Dry Creek,1,
Gary Johnson,President,,Libertarian,Simpson,Dry Creek,8,
Jill Stein,President,,Green,Simpson,Dry Creek,0,
Barbara Dale Washer,President,,Reform,Simpson,Dry Creek,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Dry Creek,96,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Dry Creek,534,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Dry Creek,14,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Dry Creek,4,
Gregg Harper,U.S. House,3,Republican,Simpson,Dry Creek,580,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Dry Creek,46,
Barack Obama,President,,Democrat,Simpson,Magee 4 North,84,
Mitt Romney,President,,Republican,Simpson,Magee 4 North,395,
Virgil Goode,President,,Constitution,Simpson,Magee 4 North,2,
Gary Johnson,President,,Libertarian,Simpson,Magee 4 North,2,
Jill Stein,President,,Green,Simpson,Magee 4 North,1,
Barbara Dale Washer,President,,Reform,Simpson,Magee 4 North,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Magee 4 North,78,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Magee 4 North,390,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Magee 4 North,7,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Magee 4 North,7,
Gregg Harper,U.S. House,3,Republican,Simpson,Magee 4 North,419,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Magee 4 North,50,
Barack Obama,President,,Democrat,Simpson,Magee 4 South,223,
Mitt Romney,President,,Republican,Simpson,Magee 4 South,605,
Virgil Goode,President,,Constitution,Simpson,Magee 4 South,1,
Gary Johnson,President,,Libertarian,Simpson,Magee 4 South,3,
Jill Stein,President,,Green,Simpson,Magee 4 South,5,
Barbara Dale Washer,President,,Reform,Simpson,Magee 4 South,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Magee 4 South,196,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Magee 4 South,607,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Magee 4 South,13,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Magee 4 South,7,
Gregg Harper,U.S. House,3,Republican,Simpson,Magee 4 South,661,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Magee 4 South,107,
Barack Obama,President,,Democrat,Simpson,Shivers,202,
Mitt Romney,President,,Republican,Simpson,Shivers,165,
Virgil Goode,President,,Constitution,Simpson,Shivers,1,
Gary Johnson,President,,Libertarian,Simpson,Shivers,1,
Jill Stein,President,,Green,Simpson,Shivers,0,
Barbara Dale Washer,President,,Reform,Simpson,Shivers,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Shivers,179,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Shivers,174,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Shivers,4,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Shivers,4,
Gregg Harper,U.S. House,3,Republican,Simpson,Shivers,216,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Shivers,73,
Barack Obama,President,,Democrat,Simpson,Bridgeport,264,
Mitt Romney,President,,Republican,Simpson,Bridgeport,94,
Virgil Goode,President,,Constitution,Simpson,Bridgeport,1,
Gary Johnson,President,,Libertarian,Simpson,Bridgeport,0,
Jill Stein,President,,Green,Simpson,Bridgeport,0,
Barbara Dale Washer,President,,Reform,Simpson,Bridgeport,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Bridgeport,228,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Bridgeport,110,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Bridgeport,2,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Bridgeport,3,
Gregg Harper,U.S. House,3,Republican,Simpson,Bridgeport,149,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Bridgeport,99,
Barack Obama,President,,Democrat,Simpson,Pinola,124,
Mitt Romney,President,,Republican,Simpson,Pinola,187,
Virgil Goode,President,,Constitution,Simpson,Pinola,1,
Gary Johnson,President,,Libertarian,Simpson,Pinola,2,
Jill Stein,President,,Green,Simpson,Pinola,2,
Barbara Dale Washer,President,,Reform,Simpson,Pinola,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Pinola,110,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Pinola,196,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Pinola,3,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Pinola,3,
Gregg Harper,U.S. House,3,Republican,Simpson,Pinola,217,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Pinola,56,
Barack Obama,President,,Democrat,Simpson,Braxton,62,
Mitt Romney,President,,Republican,Simpson,Braxton,651,
Virgil Goode,President,,Constitution,Simpson,Braxton,1,
Gary Johnson,President,,Libertarian,Simpson,Braxton,1,
Jill Stein,President,,Green,Simpson,Braxton,1,
Barbara Dale Washer,President,,Reform,Simpson,Braxton,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Braxton,59,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Braxton,642,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Braxton,6,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Braxton,5,
Gregg Harper,U.S. House,3,Republican,Simpson,Braxton,657,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Braxton,40,
Barack Obama,President,,Democrat,Simpson,Harrisville,115,
Mitt Romney,President,,Republican,Simpson,Harrisville,597,
Virgil Goode,President,,Constitution,Simpson,Harrisville,1,
Gary Johnson,President,,Libertarian,Simpson,Harrisville,3,
Jill Stein,President,,Green,Simpson,Harrisville,0,
Barbara Dale Washer,President,,Reform,Simpson,Harrisville,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Harrisville,99,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Harrisville,595,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Harrisville,7,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Harrisville,5,
Gregg Harper,U.S. House,3,Republican,Simpson,Harrisville,639,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Harrisville,45,
Barack Obama,President,,Democrat,Simpson,Merit,77,
Mitt Romney,President,,Republican,Simpson,Merit,511,
Virgil Goode,President,,Constitution,Simpson,Merit,6,
Gary Johnson,President,,Libertarian,Simpson,Merit,2,
Jill Stein,President,,Green,Simpson,Merit,0,
Barbara Dale Washer,President,,Reform,Simpson,Merit,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Simpson,Merit,71,
Roger F. Wicker,U.S. Senate,,Republican,Simpson,Merit,502,
Thomas Cramer,U.S. Senate,,Constitution,Simpson,Merit,7,
Shawn O'Hara,U.S. Senate,,Reform,Simpson,Merit,5,
Gregg Harper,U.S. House,3,Republican,Simpson,Merit,523,
"John ""Luke"" Pannell",U.S. House,3,Reform,Simpson,Merit,41,
Barack Obama,President,,Democrat,Simpson,Fork Church,253,
Mitt Romney,President,,Republican,Simpson,Fork Church,99,
