candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Tunica,Robinsonville,235,
Mitt Romney,President,,Republican,Tunica,Robinsonville,77,
Virgil Goode,President,,Constitution,Tunica,Robinsonville,0,
Gary Johnson,President,,Libertarian,Tunica,Robinsonville,1,
Jill Stein,President,,Green,Tunica,Robinsonville,0,
Barbara Dale Washer,President,,Reform,Tunica,Robinsonville,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Tunica,Robinsonville,212,
Roger F. Wicker,U.S. Senate,,Republican,Tunica,Robinsonville,72,
Thomas Cramer,U.S. Senate,,Constitution,Tunica,Robinsonville,3,
Shawn O'Hara,U.S. Senate,,Reform,Tunica,Robinsonville,8,
Bill Marcy,U.S. House,2,Republican,Tunica,Robinsonville,70,
Bennie G. Thompson,U.S. House,2,Democrat,Tunica,Robinsonville,223,
Cobby Mondale Williams,U.S. House,2,Independent,Tunica,Robinsonville,4,
Lajena Williams,U.S. House,2,Reform,Tunica,Robinsonville,4,
Barack Obama,President,,Democrat,Tunica,Banks/Hambrick,563,
Mitt Romney,President,,Republican,Tunica,Banks/Hambrick,41,
Virgil Goode,President,,Constitution,Tunica,Banks/Hambrick,0,
Gary Johnson,President,,Libertarian,Tunica,Banks/Hambrick,1,
Jill Stein,President,,Green,Tunica,Banks/Hambrick,1,
Barbara Dale Washer,President,,Reform,Tunica,Banks/Hambrick,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Tunica,Banks/Hambrick,481,
Roger F. Wicker,U.S. Senate,,Republican,Tunica,Banks/Hambrick,57,
Thomas Cramer,U.S. Senate,,Constitution,Tunica,Banks/Hambrick,11,
Shawn O'Hara,U.S. Senate,,Reform,Tunica,Banks/Hambrick,15,
Bill Marcy,U.S. House,2,Republican,Tunica,Banks/Hambrick,48,
Bennie G. Thompson,U.S. House,2,Democrat,Tunica,Banks/Hambrick,503,
Cobby Mondale Williams,U.S. House,2,Independent,Tunica,Banks/Hambrick,9,
Lajena Williams,U.S. House,2,Reform,Tunica,Banks/Hambrick,5,
Barack Obama,President,,Democrat,Tunica,Watsonville,177,
Mitt Romney,President,,Republican,Tunica,Watsonville,5,
Virgil Goode,President,,Constitution,Tunica,Watsonville,0,
Gary Johnson,President,,Libertarian,Tunica,Watsonville,1,
Jill Stein,President,,Green,Tunica,Watsonville,0,
Barbara Dale Washer,President,,Reform,Tunica,Watsonville,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Tunica,Watsonville,128,
Roger F. Wicker,U.S. Senate,,Republican,Tunica,Watsonville,14,
Thomas Cramer,U.S. Senate,,Constitution,Tunica,Watsonville,5,
Shawn O'Hara,U.S. Senate,,Reform,Tunica,Watsonville,3,
Bill Marcy,U.S. House,2,Republican,Tunica,Watsonville,8,
Bennie G. Thompson,U.S. House,2,Democrat,Tunica,Watsonville,138,
Cobby Mondale Williams,U.S. House,2,Independent,Tunica,Watsonville,2,
Lajena Williams,U.S. House,2,Reform,Tunica,Watsonville,5,
Barack Obama,President,,Democrat,Tunica,Prichard,300,
Mitt Romney,President,,Republican,Tunica,Prichard,25,
Virgil Goode,President,,Constitution,Tunica,Prichard,0,
Gary Johnson,President,,Libertarian,Tunica,Prichard,0,
Jill Stein,President,,Green,Tunica,Prichard,0,
Barbara Dale Washer,President,,Reform,Tunica,Prichard,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Tunica,Prichard,257,
Roger F. Wicker,U.S. Senate,,Republican,Tunica,Prichard,28,
