candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Amite,Amite River,0,
Newt Gingrich,President,,Republican,Amite,Amite River,8,
Jon Huntsman,President,,Republican,Amite,Amite River,0,
Gary Johnson,President,,Republican,Amite,Amite River,0,
Ron Paul,President,,Republican,Amite,Amite River,0,
Rick Perry,President,,Republican,Amite,Amite River,0,
Mitt Romney,President,,Republican,Amite,Amite River,16,
Rick Santorum,President,,Republican,Amite,Amite River,7,
E. Allen Hathcock,U.S. Senate,,Republican,Amite,Amite River,3,
Robert Maloney,U.S. Senate,,Republican,Amite,Amite River,2,
Roger F. Wicker,U.S. Senate,,Republican,Amite,Amite River,26,
Robert J. Allen,U.S. House,3,Republican,Amite,Amite River,6,
Gregg Harper,U.S. House,3,Republican,Amite,Amite River,25,
Michele Bachmann,President,,Republican,Amite,Ariel,0,
Newt Gingrich,President,,Republican,Amite,Ariel,1,
Jon Huntsman,President,,Republican,Amite,Ariel,0,
Gary Johnson,President,,Republican,Amite,Ariel,0,
Ron Paul,President,,Republican,Amite,Ariel,0,
Rick Perry,President,,Republican,Amite,Ariel,0,
Mitt Romney,President,,Republican,Amite,Ariel,6,
Rick Santorum,President,,Republican,Amite,Ariel,1,
E. Allen Hathcock,U.S. Senate,,Republican,Amite,Ariel,1,
Robert Maloney,U.S. Senate,,Republican,Amite,Ariel,1,
Roger F. Wicker,U.S. Senate,,Republican,Amite,Ariel,6,
Robert J. Allen,U.S. House,3,Republican,Amite,Ariel,1,
Gregg Harper,U.S. House,3,Republican,Amite,Ariel,7,
Michele Bachmann,President,,Republican,Amite,Berwick,0,
Newt Gingrich,President,,Republican,Amite,Berwick,1,
Jon Huntsman,President,,Republican,Amite,Berwick,0,
Gary Johnson,President,,Republican,Amite,Berwick,0,
Ron Paul,President,,Republican,Amite,Berwick,0,
Rick Perry,President,,Republican,Amite,Berwick,0,
Mitt Romney,President,,Republican,Amite,Berwick,9,
Rick Santorum,President,,Republican,Amite,Berwick,4,
E. Allen Hathcock,U.S. Senate,,Republican,Amite,Berwick,0,
