candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Covington,Seminary,20,
Barack Obama,President,,Democrat,Covington,Strahan,13,
Barack Obama,President,,Democrat,Covington,West Collins,4,
Barack Obama,President,,Democrat,Covington,Richmond,4,
Barack Obama,President,,Democrat,Covington,Sanford,5,
Barack Obama,President,,Democrat,Covington,South Collins,1,
Barack Obama,President,,Democrat,Covington,Collins,89,
Barack Obama,President,,Democrat,Covington,Williamsburg,7,
Barack Obama,President,,Democrat,Covington,Dry Creek,53,
Barack Obama,President,,Democrat,Covington,Lone Star/Black Jack,17,
Barack Obama,President,,Democrat,Covington,Mt. Olive,94,
Barack Obama,President,,Democrat,Covington,Rock Hill,2,
Barack Obama,President,,Democrat,Covington,Killmer,50,
Barack Obama,President,,Democrat,Covington,Mitchell,1,
Barack Obama,President,,Democrat,Covington,Okahay,133,
Barack Obama,President,,Democrat,Covington,Station Creek,56,
Barack Obama,President,,Democrat,Covington,Yawn,25,
Barack Obama,President,,Democrat,Covington,,574,TRUE
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Seminary,14,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Strahan,4,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,West Collins,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Richmond,6,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Sanford,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,South Collins,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Collins,41,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Williamsburg,4,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Dry Creek,25,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Lone Star/Black Jack,7,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Mt. Olive,23,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Rock Hill,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Killmer,12,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Mitchell,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Okahay,52,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Station Creek,24,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,Yawn,5,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Covington,,221,
