candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Benton,Ashland District 3,0,
Newt Gingrich,President,,Republican,Benton,Ashland District 3,57,
Jon Huntsman,President,,Republican,Benton,Ashland District 3,0,
Gary Johnson,President,,Republican,Benton,Ashland District 3,2,
Ron Paul,President,,Republican,Benton,Ashland District 3,13,
Rick Perry,President,,Republican,Benton,Ashland District 3,2,
Mitt Romney,President,,Republican,Benton,Ashland District 3,37,
Rick Santorum,President,,Republican,Benton,Ashland District 3,50,
E. Allen Hathcock,U.S. Senate,,Republican,Benton,Ashland District 3,10,
Robert Maloney,U.S. Senate,,Republican,Benton,Ashland District 3,13,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Ashland District 3,131,
Robert Estes,U.S. House,1,Republican,Benton,Ashland District 3,30,
Alan Nunnelee,U.S. House,1,Republican,Benton,Ashland District 3,82,
Henry Ross,U.S. House,1,Republican,Benton,Ashland District 3,43,
Michele Bachmann,President,,Republican,Benton,Canaan District 1,0,
Newt Gingrich,President,,Republican,Benton,Canaan District 1,30,
Jon Huntsman,President,,Republican,Benton,Canaan District 1,0,
Gary Johnson,President,,Republican,Benton,Canaan District 1,1,
Ron Paul,President,,Republican,Benton,Canaan District 1,5,
Rick Perry,President,,Republican,Benton,Canaan District 1,0,
Mitt Romney,President,,Republican,Benton,Canaan District 1,23,
Rick Santorum,President,,Republican,Benton,Canaan District 1,45,
E. Allen Hathcock,U.S. Senate,,Republican,Benton,Canaan District 1,6,
Robert Maloney,U.S. Senate,,Republican,Benton,Canaan District 1,4,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Canaan District 1,90,
Robert Estes,U.S. House,1,Republican,Benton,Canaan District 1,21,
Alan Nunnelee,U.S. House,1,Republican,Benton,Canaan District 1,56,
Henry Ross,U.S. House,1,Republican,Benton,Canaan District 1,25,
Michele Bachmann,President,,Republican,Benton,Floyd District 4,3,
Newt Gingrich,President,,Republican,Benton,Floyd District 4,51,
Jon Huntsman,President,,Republican,Benton,Floyd District 4,1,
Gary Johnson,President,,Republican,Benton,Floyd District 4,1,
Ron Paul,President,,Republican,Benton,Floyd District 4,6,
Rick Perry,President,,Republican,Benton,Floyd District 4,0,
Mitt Romney,President,,Republican,Benton,Floyd District 4,26,
Rick Santorum,President,,Republican,Benton,Floyd District 4,81,
E. Allen Hathcock,U.S. Senate,,Republican,Benton,Floyd District 4,7,
Robert Maloney,U.S. Senate,,Republican,Benton,Floyd District 4,11,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Floyd District 4,148,
Robert Estes,U.S. House,1,Republican,Benton,Floyd District 4,48,
Alan Nunnelee,U.S. House,1,Republican,Benton,Floyd District 4,87,
Henry Ross,U.S. House,1,Republican,Benton,Floyd District 4,28,
Michele Bachmann,President,,Republican,Benton,Hickory Flat District 5,2,
Newt Gingrich,President,,Republican,Benton,Hickory Flat District 5,72,
Jon Huntsman,President,,Republican,Benton,Hickory Flat District 5,0,
Gary Johnson,President,,Republican,Benton,Hickory Flat District 5,1,
Ron Paul,President,,Republican,Benton,Hickory Flat District 5,6,
Rick Perry,President,,Republican,Benton,Hickory Flat District 5,1,
Mitt Romney,President,,Republican,Benton,Hickory Flat District 5,54,
Rick Santorum,President,,Republican,Benton,Hickory Flat District 5,92,
E. Allen Hathcock,U.S. Senate,,Republican,Benton,Hickory Flat District 5,10,
Robert Maloney,U.S. Senate,,Republican,Benton,Hickory Flat District 5,8,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Hickory Flat District 5,205,
Robert Estes,U.S. House,1,Republican,Benton,Hickory Flat District 5,43,
Alan Nunnelee,U.S. House,1,Republican,Benton,Hickory Flat District 5,115,
Henry Ross,U.S. House,1,Republican,Benton,Hickory Flat District 5,64,
Michele Bachmann,President,,Republican,Benton,Lamar District 2,0,
Newt Gingrich,President,,Republican,Benton,Lamar District 2,12,
Jon Huntsman,President,,Republican,Benton,Lamar District 2,0,
Gary Johnson,President,,Republican,Benton,Lamar District 2,0,
Ron Paul,President,,Republican,Benton,Lamar District 2,1,
Rick Perry,President,,Republican,Benton,Lamar District 2,0,
Mitt Romney,President,,Republican,Benton,Lamar District 2,13,
Rick Santorum,President,,Republican,Benton,Lamar District 2,17,
E. Allen Hathcock,U.S. Senate,,Republican,Benton,Lamar District 2,0,
Robert Maloney,U.S. Senate,,Republican,Benton,Lamar District 2,3,
Roger F. Wicker,U.S. Senate,,Republican,Benton,Lamar District 2,39,
Robert Estes,U.S. House,1,Republican,Benton,Lamar District 2,5,
Alan Nunnelee,U.S. House,1,Republican,Benton,Lamar District 2,24,
Henry Ross,U.S. House,1,Republican,Benton,Lamar District 2,14,
Michele Bachmann,President,,Republican,Benton,,5,
Newt Gingrich,President,,Republican,Benton,,222,
Jon Huntsman,President,,Republican,Benton,,1,
Gary Johnson,President,,Republican,Benton,,5,
Ron Paul,President,,Republican,Benton,,31,
Rick Perry,President,,Republican,Benton,,3,
Mitt Romney,President,,Republican,Benton,,153,
Rick Santorum,President,,Republican,Benton,,285,TRUE
E. Allen Hathcock,U.S. Senate,,Republican,Benton,,33,
Robert Maloney,U.S. Senate,,Republican,Benton,,39,
Roger F. Wicker,U.S. Senate,,Republican,Benton,,613,TRUE
Robert Estes,U.S. House,1,Republican,Benton,,147,
Alan Nunnelee,U.S. House,1,Republican,Benton,,364,TRUE
Henry Ross,U.S. House,1,Republican,Benton,,174,
