candidate,office,district,party,county,votes
Barack Obama,US President,,D,Adams,1214
"Albert N. Gore, Jr. ",U.S. Senate,,D,Adams,704
Will Oatis,U.S. Senate,,D,Adams,120
Roger Weiner,U.S. Senate,,D,Adams,212
Brad Morris,US House,1,D,Adams,
Heather McTeer,US House,2,D,Adams,
Bennie G. Thompson,US House,2,D,Adams,
Crystal Biggs,US House,3,D,Adams,930
Michael Herrington,US House,4,D,Adams,
Jason Vitosky,US House,4,D,Adams,
Barack Obama,US President,,D,Alcorn,247
"Albert N. Gore, Jr. ",U.S. Senate,,D,Alcorn,200
Will Oatis,U.S. Senate,,D,Alcorn,23
Roger Weiner,U.S. Senate,,D,Alcorn,91
Brad Morris,US House,1,D,Alcorn,278
Heather McTeer,US House,2,D,Alcorn,
Bennie G. Thompson,US House,2,D,Alcorn,
Crystal Biggs,US House,3,D,Alcorn,
Michael Herrington,US House,4,D,Alcorn,
Jason Vitosky,US House,4,D,Alcorn,
Barack Obama,US President,,D,Amite,669
"Albert N. Gore, Jr. ",U.S. Senate,,D,Amite,416
Will Oatis,U.S. Senate,,D,Amite,65
Roger Weiner,U.S. Senate,,D,Amite,103
Brad Morris,US House,1,D,Amite,
Heather McTeer,US House,2,D,Amite,
Bennie G. Thompson,US House,2,D,Amite,
Crystal Biggs,US House,3,D,Amite,546
Michael Herrington,US House,4,D,Amite,
Jason Vitosky,US House,4,D,Amite,
Barack Obama,US President,,D,Attala,1388
"Albert N. Gore, Jr. ",U.S. Senate,,D,Attala,641
Will Oatis,U.S. Senate,,D,Attala,301
Roger Weiner,U.S. Senate,,D,Attala,281
Brad Morris,US House,1,D,Attala,
Heather McTeer,US House,2,D,Attala,164
Bennie G. Thompson,US House,2,D,Attala,1310
Crystal Biggs,US House,3,D,Attala,
Michael Herrington,US House,4,D,Attala,
Jason Vitosky,US House,4,D,Attala,
Barack Obama,US President,,D,Benton,184
"Albert N. Gore, Jr. ",U.S. Senate,,D,Benton,96
Will Oatis,U.S. Senate,,D,Benton,41
Roger Weiner,U.S. Senate,,D,Benton,44
Brad Morris,US House,1,D,Benton,158
Heather McTeer,US House,2,D,Benton,
Bennie G. Thompson,US House,2,D,Benton,
Crystal Biggs,US House,3,D,Benton,
Michael Herrington,US House,4,D,Benton,
Jason Vitosky,US House,4,D,Benton,
Barack Obama,US President,,D,Bolivar,3371
"Albert N. Gore, Jr. ",U.S. Senate,,D,Bolivar,1422
Will Oatis,U.S. Senate,,D,Bolivar,231
Roger Weiner,U.S. Senate,,D,Bolivar,761
Brad Morris,US House,1,D,Bolivar,
Heather McTeer,US House,2,D,Bolivar,507
Bennie G. Thompson,US House,2,D,Bolivar,3090
Crystal Biggs,US House,3,D,Bolivar,
Michael Herrington,US House,4,D,Bolivar,
Jason Vitosky,US House,4,D,Bolivar,
Barack Obama,US President,,D,Calhoun,282
"Albert N. Gore, Jr. ",U.S. Senate,,D,Calhoun,164
Will Oatis,U.S. Senate,,D,Calhoun,54
Roger Weiner,U.S. Senate,,D,Calhoun,69
Brad Morris,US House,1,D,Calhoun,
Heather McTeer,US House,2,D,Calhoun,
Bennie G. Thompson,US House,2,D,Calhoun,
Crystal Biggs,US House,3,D,Calhoun,
Michael Herrington,US House,4,D,Calhoun,
Jason Vitosky,US House,4,D,Calhoun,
Barack Obama,US President,,D,Carroll,823
"Albert N. Gore, Jr. ",U.S. Senate,,D,Carroll,380
Will Oatis,U.S. Senate,,D,Carroll,81
Roger Weiner,U.S. Senate,,D,Carroll,224
Brad Morris,US House,1,D,Carroll,
Heather McTeer,US House,2,D,Carroll,92
Bennie G. Thompson,US House,2,D,Carroll,800
Crystal Biggs,US House,3,D,Carroll,
Michael Herrington,US House,4,D,Carroll,
Jason Vitosky,US House,4,D,Carroll,
Barack Obama,US President,,D,Chicksaw,731
"Albert N. Gore, Jr. ",U.S. Senate,,D,Chicksaw,405
Will Oatis,U.S. Senate,,D,Chicksaw,165
Roger Weiner,U.S. Senate,,D,Chicksaw,121
Brad Morris,US House,1,D,Chicksaw,
Heather McTeer,US House,2,D,Chicksaw,
Bennie G. Thompson,US House,2,D,Chicksaw,
Crystal Biggs,US House,3,D,Chicksaw,
Michael Herrington,US House,4,D,Chicksaw,
Jason Vitosky,US House,4,D,Chicksaw,
Barack Obama,US President,,D,Choctaw,373
"Albert N. Gore, Jr. ",U.S. Senate,,D,Choctaw,202
Will Oatis,U.S. Senate,,D,Choctaw,36
Roger Weiner,U.S. Senate,,D,Choctaw,88
Brad Morris,US House,1,D,Choctaw,284
Heather McTeer,US House,2,D,Choctaw,
Bennie G. Thompson,US House,2,D,Choctaw,
Crystal Biggs,US House,3,D,Choctaw,
Michael Herrington,US House,4,D,Choctaw,
Jason Vitosky,US House,4,D,Choctaw,
Barack Obama,US President,,D,Claiborne,2043
"Albert N. Gore, Jr. ",U.S. Senate,,D,Claiborne,1143
Will Oatis,U.S. Senate,,D,Claiborne,178
Roger Weiner,U.S. Senate,,D,Claiborne,334
Brad Morris,US House,1,D,Claiborne,
Heather McTeer,US House,2,D,Claiborne,197
Bennie G. Thompson,US House,2,D,Claiborne,1921
Crystal Biggs,US House,3,D,Claiborne,
Michael Herrington,US House,4,D,Claiborne,
