candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Adams,"Dist. 5, Airport",0,
Newt Gingrich,President,,Republican,Adams,"Dist. 5, Airport",27,
Jon Huntsman,President,,Republican,Adams,"Dist. 5, Airport",0,
Gary Johnson,President,,Republican,Adams,"Dist. 5, Airport",0,
Ron Paul,President,,Republican,Adams,"Dist. 5, Airport",2,
Rick Perry,President,,Republican,Adams,"Dist. 5, Airport",0,
Mitt Romney,President,,Republican,Adams,"Dist. 5, Airport",19,
Rick Santorum,President,,Republican,Adams,"Dist. 5, Airport",22,
E. Allen Hathcock,U.S. Senate,,Republican,Adams,"Dist. 5, Airport",3,
Robert Maloney,U.S. Senate,,Republican,Adams,"Dist. 5, Airport",3,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 5, Airport",59,
Robert J. Allen,U.S. House,3,Republican,Adams,"Dist. 5, Airport",7,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 5, Airport",61,
Michele Bachmann,President,,Republican,Adams,"Dist. 1, By-Pass Fire",0,
Newt Gingrich,President,,Republican,Adams,"Dist. 1, By-Pass Fire",33,
Jon Huntsman,President,,Republican,Adams,"Dist. 1, By-Pass Fire",0,
Gary Johnson,President,,Republican,Adams,"Dist. 1, By-Pass Fire",0,
Ron Paul,President,,Republican,Adams,"Dist. 1, By-Pass Fire",2,
Rick Perry,President,,Republican,Adams,"Dist. 1, By-Pass Fire",1,
Mitt Romney,President,,Republican,Adams,"Dist. 1, By-Pass Fire",26,
Rick Santorum,President,,Republican,Adams,"Dist. 1, By-Pass Fire",19,
E. Allen Hathcock,U.S. Senate,,Republican,Adams,"Dist. 1, By-Pass Fire",4,
Robert Maloney,U.S. Senate,,Republican,Adams,"Dist. 1, By-Pass Fire",5,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 1, By-Pass Fire",67,
Robert J. Allen,U.S. House,3,Republican,Adams,"Dist. 1, By-Pass Fire",7,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, By-Pass Fire",71,
Michele Bachmann,President,,Republican,Adams,"Dist. 1, Bellemonte",0,
Newt Gingrich,President,,Republican,Adams,"Dist. 1, Bellemonte",166,
Jon Huntsman,President,,Republican,Adams,"Dist. 1, Bellemonte",1,
Gary Johnson,President,,Republican,Adams,"Dist. 1, Bellemonte",1,
Ron Paul,President,,Republican,Adams,"Dist. 1, Bellemonte",16,
Rick Perry,President,,Republican,Adams,"Dist. 1, Bellemonte",2,
Mitt Romney,President,,Republican,Adams,"Dist. 1, Bellemonte",186,
Rick Santorum,President,,Republican,Adams,"Dist. 1, Bellemonte",121,
