candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Pike,(01) Progress Library,52,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(01) Progress Library,36,
Will Oatis,U.S. Senate,,Democrat,Pike,(01) Progress Library,5,
Roger Weiner,U.S. Senate,,Democrat,Pike,(01) Progress Library,9,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(01) Progress Library,50,
Barack Obama,President,,Democrat,Pike,(02) Leggett Community,72,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(02) Leggett Community,42,
Will Oatis,U.S. Senate,,Democrat,Pike,(02) Leggett Community,12,
Roger Weiner,U.S. Senate,,Democrat,Pike,(02) Leggett Community,9,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(02) Leggett Community,61,
Barack Obama,President,,Democrat,Pike,(03) Pike Baptist Assoc. Bldg.,52,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(03) Pike Baptist Assoc. Bldg.,30,
Will Oatis,U.S. Senate,,Democrat,Pike,(03) Pike Baptist Assoc. Bldg.,9,
Roger Weiner,U.S. Senate,,Democrat,Pike,(03) Pike Baptist Assoc. Bldg.,9,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(03) Pike Baptist Assoc. Bldg.,44,
Barack Obama,President,,Democrat,Pike,(04) Mepa Bldg. Hwy 98 East,16,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(04) Mepa Bldg. Hwy 98 East,9,
Will Oatis,U.S. Senate,,Democrat,Pike,(04) Mepa Bldg. Hwy 98 East,1,
Roger Weiner,U.S. Senate,,Democrat,Pike,(04) Mepa Bldg. Hwy 98 East,5,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(04) Mepa Bldg. Hwy 98 East,14,
Barack Obama,President,,Democrat,Pike,(05) Pleasant Grove Bapt Church,48,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(05) Pleasant Grove Bapt Church,31,
Will Oatis,U.S. Senate,,Democrat,Pike,(05) Pleasant Grove Bapt Church,7,
Roger Weiner,U.S. Senate,,Democrat,Pike,(05) Pleasant Grove Bapt Church,7,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(05) Pleasant Grove Bapt Church,42,
Barack Obama,President,,Democrat,Pike,(06) Jewel Rushing Community Ctr,32,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(06) Jewel Rushing Community Ctr,21,
Will Oatis,U.S. Senate,,Democrat,Pike,(06) Jewel Rushing Community Ctr,6,
Roger Weiner,U.S. Senate,,Democrat,Pike,(06) Jewel Rushing Community Ctr,4,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(06) Jewel Rushing Community Ctr,23,
Barack Obama,President,,Democrat,Pike,(07) S. Pike Comm. Ctr.,43,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(07) S. Pike Comm. Ctr.,29,
Will Oatis,U.S. Senate,,Democrat,Pike,(07) S. Pike Comm. Ctr.,0,
Roger Weiner,U.S. Senate,,Democrat,Pike,(07) S. Pike Comm. Ctr.,7,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(07) S. Pike Comm. Ctr.,32,
Barack Obama,President,,Democrat,Pike,(08) Alpha Center,55,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(08) Alpha Center,30,
Will Oatis,U.S. Senate,,Democrat,Pike,(08) Alpha Center,7,
Roger Weiner,U.S. Senate,,Democrat,Pike,(08) Alpha Center,8,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(08) Alpha Center,43,
Barack Obama,President,,Democrat,Pike,(09) Fernwood School,46,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(09) Fernwood School,33,
Will Oatis,U.S. Senate,,Democrat,Pike,(09) Fernwood School,4,
Roger Weiner,U.S. Senate,,Democrat,Pike,(09) Fernwood School,7,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(09) Fernwood School,43,
Barack Obama,President,,Democrat,Pike,(10) Magnolia Comm Ctr.,84,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(10) Magnolia Comm Ctr.,40,
Will Oatis,U.S. Senate,,Democrat,Pike,(10) Magnolia Comm Ctr.,8,
Roger Weiner,U.S. Senate,,Democrat,Pike,(10) Magnolia Comm Ctr.,28,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(10) Magnolia Comm Ctr.,59,
Barack Obama,President,,Democrat,Pike,(11) Courthouse,27,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(11) Courthouse,13,
Will Oatis,U.S. Senate,,Democrat,Pike,(11) Courthouse,1,
Roger Weiner,U.S. Senate,,Democrat,Pike,(11) Courthouse,8,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(11) Courthouse,22,
Barack Obama,President,,Democrat,Pike,(12) Courthouse,26,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(12) Courthouse,16,
Will Oatis,U.S. Senate,,Democrat,Pike,(12) Courthouse,3,
Roger Weiner,U.S. Senate,,Democrat,Pike,(12) Courthouse,8,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(12) Courthouse,24,
Barack Obama,President,,Democrat,Pike,(13) Holmesville Comm.,43,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(13) Holmesville Comm.,16,
Will Oatis,U.S. Senate,,Democrat,Pike,(13) Holmesville Comm.,6,
Roger Weiner,U.S. Senate,,Democrat,Pike,(13) Holmesville Comm.,17,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(13) Holmesville Comm.,31,
Barack Obama,President,,Democrat,Pike,(14) Calvary Baptist Church,33,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(14) Calvary Baptist Church,15,
Will Oatis,U.S. Senate,,Democrat,Pike,(14) Calvary Baptist Church,6,
Roger Weiner,U.S. Senate,,Democrat,Pike,(14) Calvary Baptist Church,10,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(14) Calvary Baptist Church,30,
Barack Obama,President,,Democrat,Pike,(15) Old Jones School,14,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(15) Old Jones School,11,
Will Oatis,U.S. Senate,,Democrat,Pike,(15) Old Jones School,1,
Roger Weiner,U.S. Senate,,Democrat,Pike,(15) Old Jones School,4,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(15) Old Jones School,16,
Barack Obama,President,,Democrat,Pike,(16) New Hope Baptist Church,102,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(16) New Hope Baptist Church,52,
Will Oatis,U.S. Senate,,Democrat,Pike,(16) New Hope Baptist Church,12,
Roger Weiner,U.S. Senate,,Democrat,Pike,(16) New Hope Baptist Church,19,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(16) New Hope Baptist Church,80,
Barack Obama,President,,Democrat,Pike,(17) Entergy,20,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(17) Entergy,10,
Will Oatis,U.S. Senate,,Democrat,Pike,(17) Entergy,1,
Roger Weiner,U.S. Senate,,Democrat,Pike,(17) Entergy,8,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(17) Entergy,17,
Barack Obama,President,,Democrat,Pike,(18) Summit Learn. Ctr,25,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(18) Summit Learn. Ctr,15,
Will Oatis,U.S. Senate,,Democrat,Pike,(18) Summit Learn. Ctr,3,
Roger Weiner,U.S. Senate,,Democrat,Pike,(18) Summit Learn. Ctr,5,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(18) Summit Learn. Ctr,20,
Barack Obama,President,,Democrat,Pike,(19) Summit City Hall,45,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(19) Summit City Hall,27,
Will Oatis,U.S. Senate,,Democrat,Pike,(19) Summit City Hall,9,
Roger Weiner,U.S. Senate,,Democrat,Pike,(19) Summit City Hall,8,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(19) Summit City Hall,44,
Barack Obama,President,,Democrat,Pike,(20) Southwest BSU Bldg.,27,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(20) Southwest BSU Bldg.,17,
Will Oatis,U.S. Senate,,Democrat,Pike,(20) Southwest BSU Bldg.,5,
Roger Weiner,U.S. Senate,,Democrat,Pike,(20) Southwest BSU Bldg.,4,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(20) Southwest BSU Bldg.,23,
Barack Obama,President,,Democrat,Pike,(21) Johnston Chapel Meth.,8,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(21) Johnston Chapel Meth.,6,
Will Oatis,U.S. Senate,,Democrat,Pike,(21) Johnston Chapel Meth.,1,
Roger Weiner,U.S. Senate,,Democrat,Pike,(21) Johnston Chapel Meth.,2,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(21) Johnston Chapel Meth.,9,
Barack Obama,President,,Democrat,Pike,(22) Pisgah Methodist Church,6,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(22) Pisgah Methodist Church,3,
Will Oatis,U.S. Senate,,Democrat,Pike,(22) Pisgah Methodist Church,0,
Roger Weiner,U.S. Senate,,Democrat,Pike,(22) Pisgah Methodist Church,3,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(22) Pisgah Methodist Church,5,
Barack Obama,President,,Democrat,Pike,(23) Legacy Motors,27,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(23) Legacy Motors,18,
Will Oatis,U.S. Senate,,Democrat,Pike,(23) Legacy Motors,6,
Roger Weiner,U.S. Senate,,Democrat,Pike,(23) Legacy Motors,3,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(23) Legacy Motors,27,
Barack Obama,President,,Democrat,Pike,(24) MLK Center,87,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(24) MLK Center,45,
Will Oatis,U.S. Senate,,Democrat,Pike,(24) MLK Center,11,
Roger Weiner,U.S. Senate,,Democrat,Pike,(24) MLK Center,15,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(24) MLK Center,70,
Barack Obama,President,,Democrat,Pike,(25) Pike Co. Nat. Bank,10,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(25) Pike Co. Nat. Bank,6,
Will Oatis,U.S. Senate,,Democrat,Pike,(25) Pike Co. Nat. Bank,3,
Roger Weiner,U.S. Senate,,Democrat,Pike,(25) Pike Co. Nat. Bank,1,
Crystal C. Biggs,U.S. House,3,Democrat,Pike,(25) Pike Co. Nat. Bank,10,
Barack Obama,President,,Democrat,Pike,(26) American Leg. Hut,8,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pike,(26) American Leg. Hut,5,
